,S15_PM10,S15_SO2,S15_NO2,S15_NOX,S15_NO,S15_O3,OUT
201,33.46,4.42,50.31,64.51,14.2,4.35,2
202,37.05,4.05,60.77,84.97,24.2,4.2,2
203,36.35,3.32,51.16,67.21,16.05,5.68,2
204,31.59,5.03,53.06,67.5,14.44,8.32,2
205,33.16,5.58,54.46,61.72,7.27,10.4,2
206,27.96,6.87,63.84,81.09,17.26,11.01,2
207,31.65,7.05,51.66,69.0,17.35,15.85,2
208,40.16,6.76,30.95,42.6,11.65,21.9,2
209,38.26,6.49,32.55,43.31,10.76,21.72,2
210,37.73,5.61,26.93,35.15,8.21,23.18,2
211,36.6,4.93,19.99,25.14,5.14,26.3,2
212,36.37,4.84,18.98,23.91,4.93,26.87,2
213,35.59,4.94,23.38,28.46,5.08,25.44,2
214,32.45,5.47,64.45,88.56,24.11,13.94,3
215,36.79,10.97,160.26,302.94,142.68,4.81,3
216,63.13,21.32,119.88,199.59,79.71,4.61,4
217,91.14,19.98,100.71,151.47,50.76,5.3,3
218,85.24,10.32,58.52,63.02,4.5,11.43,3
219,71.54,10.71,96.04,137.75,41.71,5.89,3
220,69.62,7.08,57.66,61.06,3.39,10.37,3
221,67.23,5.96,52.09,54.52,2.42,11.13,3
222,61.12,5.7,49.14,50.23,1.09,11.34,3
223,56.0,5.44,72.94,80.98,8.04,5.25,3
224,52.17,5.25,84.74,104.39,19.65,3.98,3
225,50.03,4.93,70.94,80.12,9.18,6.04,2
226,45.91,6.36,36.02,37.51,1.49,17.04,2
227,40.92,5.17,36.39,40.24,3.85,16.79,2
228,37.57,4.39,37.97,41.57,3.6,15.55,2
229,31.99,5.31,45.06,51.18,6.12,13.76,2
230,29.09,7.63,48.42,56.51,8.09,14.39,2
231,36.77,6.7,49.3,59.61,10.32,15.25,2
232,44.87,4.49,29.39,33.78,4.39,22.29,3
233,56.88,3.74,21.87,25.01,3.14,24.44,3
234,70.32,2.85,22.08,25.95,3.87,24.66,3
235,69.78,2.21,20.2,23.19,3.0,24.64,3
236,63.03,3.0,21.91,24.85,2.93,22.63,3
237,58.61,3.96,29.84,34.03,4.2,16.69,2
238,49.12,4.93,31.82,35.88,4.06,14.95,2
239,41.96,4.74,32.15,36.01,3.86,16.45,2
240,4.76,0.96,88.31,120.2,31.89,5.47,3
241,4.04,1.43,175.92,329.32,153.4,4.36,2
242,3.82,2.14,92.7,138.13,45.43,9.36,1
243,7.54,4.83,42.86,56.69,13.83,20.59,1
244,14.87,3.89,22.9,30.05,7.15,26.73,1
245,16.71,3.56,20.07,24.42,4.35,27.7,1
246,15.93,2.82,21.38,27.06,5.69,28.81,1
247,16.39,1.98,29.17,37.57,8.4,27.87,1
248,12.93,2.89,25.79,32.02,6.22,26.13,1
249,11.02,2.78,27.82,32.35,4.53,24.46,1
250,9.89,1.77,30.5,34.55,4.05,23.69,2
251,6.95,1.17,51.62,57.46,5.84,15.85,2
252,1.2,1.4,52.05,75.36,23.3,5.16,1
253,1.16,2.58,33.44,47.76,14.32,12.54,1
254,1.08,3.0,14.91,17.86,2.95,19.89,1
255,2.2,1.38,22.72,30.32,7.59,21.66,1
256,2.27,1.33,29.36,38.31,8.95,22.78,1
257,2.68,2.08,22.8,33.34,10.54,22.95,1
258,8.33,4.06,22.28,29.64,7.36,23.17,1
259,12.18,4.01,20.01,24.35,4.34,22.92,1
260,9.13,2.7,16.45,20.5,4.05,24.44,1
261,9.25,3.3,23.17,27.75,4.58,23.19,1
262,9.93,2.97,18.29,21.76,3.47,24.6,1
263,9.07,2.64,18.17,22.02,3.85,24.64,1
264,8.46,2.14,24.81,27.99,3.18,22.14,1
265,6.53,2.47,26.92,32.24,5.32,21.29,1
266,7.69,2.78,29.5,34.52,5.01,19.3,1
267,10.87,2.79,24.94,27.22,2.28,19.02,1
268,10.39,1.68,25.74,26.98,1.23,17.4,1
269,8.09,1.44,21.19,21.77,0.59,18.42,1
270,5.26,1.34,17.47,20.24,2.77,19.2,1
271,4.1,0.96,17.93,20.69,2.77,19.9,1
272,3.06,0.88,16.52,19.13,2.62,19.09,1
273,2.31,0.76,10.37,15.15,4.78,19.16,1
274,2.04,0.92,9.61,11.9,2.29,20.18,1
275,2.34,1.16,11.18,13.54,2.36,20.54,1
276,2.19,1.73,12.49,13.8,1.31,19.94,1
277,1.54,3.53,21.24,24.38,3.14,17.46,1
278,1.16,2.35,23.03,34.75,11.72,18.38,1
279,0.9,2.03,14.87,21.32,6.44,19.59,1
280,2.45,2.17,15.48,21.59,6.11,20.56,1
281,4.13,2.4,15.98,21.28,5.29,21.35,1
282,3.78,2.6,15.06,20.58,5.52,22.64,1
283,2.97,3.38,11.6,16.02,4.42,25.74,1
284,2.66,1.79,20.72,25.9,5.18,22.88,1
285,1.95,2.01,25.68,31.16,5.48,21.44,1
286,1.38,1.4,13.88,16.98,3.1,24.3,1
287,1.33,1.27,12.15,13.72,1.57,24.88,1
288,1.29,1.25,22.66,25.74,3.09,20.91,1
289,1.46,1.13,19.7,22.96,3.26,20.97,1
290,4.72,2.19,19.81,25.52,5.71,20.82,1
291,4.22,1.84,17.69,19.83,2.14,21.41,1
292,3.85,1.85,14.12,16.49,2.37,21.86,1
293,4.64,1.91,8.99,9.47,0.48,24.35,1
294,4.92,2.17,12.92,13.79,0.87,22.66,1
295,5.59,4.69,15.93,17.16,1.23,22.45,1
296,4.84,4.59,15.36,15.66,0.29,22.67,1
297,4.29,2.76,10.93,11.21,0.28,23.51,1
298,4.28,4.31,13.29,13.34,0.04,22.1,1
299,3.9,2.85,8.64,8.73,0.09,23.07,1
300,3.63,1.61,8.63,8.93,0.3,22.62,1
301,4.54,1.29,9.77,11.71,1.93,21.07,1
302,4.1,1.82,15.5,20.05,4.54,19.29,1
303,4.0,1.88,16.62,26.29,9.66,19.92,1
304,4.5,2.07,10.4,14.7,4.3,21.9,1
305,3.98,2.45,13.31,19.11,5.8,23.52,1
306,4.56,2.72,15.63,21.78,6.14,22.75,1
307,4.11,5.05,16.16,19.98,3.82,22.33,1
308,3.27,4.42,16.91,22.28,5.37,21.86,1
309,4.04,5.47,16.21,19.19,2.99,21.67,1
310,3.74,6.28,16.18,18.96,2.79,21.55,1
311,3.52,5.62,15.45,18.7,3.25,20.86,1
312,3.63,5.61,16.69,18.84,2.15,21.94,1
313,8.74,9.42,45.58,63.15,17.57,15.09,2
314,27.72,7.23,27.42,38.43,11.01,18.68,1
315,5.95,5.93,20.57,30.7,10.13,21.22,1
316,4.35,4.5,35.34,42.91,7.57,17.39,1
317,3.96,4.33,37.97,44.68,6.71,16.24,1
318,4.22,4.63,44.41,50.32,5.9,14.2,2
319,32.06,4.61,81.3,100.2,18.9,4.41,2
320,30.06,5.31,76.42,106.26,29.84,7.19,2
321,33.53,6.98,72.54,106.86,34.32,10.18,2
322,29.29,6.21,25.86,34.52,8.66,21.2,2
323,26.32,4.92,27.34,35.09,7.75,20.6,1
324,18.49,5.22,28.9,39.08,10.18,20.59,1
325,12.94,4.84,31.08,39.09,8.01,20.7,1
326,10.12,4.77,37.73,45.39,7.66,19.87,1
327,7.1,4.57,37.78,43.96,6.19,19.08,1
328,5.53,4.32,40.6,47.04,6.44,17.91,1
329,4.57,4.12,43.29,50.54,7.25,16.32,1
330,3.21,4.72,36.42,42.46,6.03,18.33,1
331,7.38,4.49,49.97,58.36,8.39,16.45,2
332,9.09,5.47,56.98,62.83,5.85,13.28,1
333,6.41,4.58,38.65,44.91,6.26,14.41,1
334,12.6,4.25,25.08,28.45,3.38,17.22,1
335,12.47,4.4,24.18,27.68,3.49,18.14,1
336,8.77,4.5,23.09,26.97,3.88,18.64,1
337,6.38,4.39,36.62,40.43,3.81,13.27,1
338,5.07,5.16,29.92,34.48,4.56,15.27,1
339,3.56,5.22,27.0,31.4,4.4,16.95,1
340,3.43,5.18,42.9,53.37,10.47,15.04,1
341,4.39,6.35,33.62,41.36,7.74,17.99,1
342,3.1,5.87,24.4,31.08,6.67,21.37,1
343,2.92,5.66,21.1,27.4,6.3,23.82,1
344,11.88,5.57,19.46,27.44,7.98,24.59,1
345,9.71,4.8,16.25,22.7,6.45,25.65,1
346,16.32,4.58,16.4,22.98,6.58,25.72,1
347,15.84,4.58,16.16,22.0,5.84,25.63,1
348,11.14,4.93,17.83,23.1,5.28,25.4,1
349,8.81,5.04,22.48,27.68,5.19,25.2,1
350,14.84,5.07,47.99,61.9,13.91,19.83,2
351,11.58,6.09,71.86,86.91,15.04,13.93,2
352,20.5,6.45,78.34,88.9,10.55,10.47,2
353,34.31,7.34,59.59,68.88,9.3,13.04,1
354,24.24,5.16,38.8,44.84,6.04,17.04,2
355,30.6,4.85,40.59,48.51,7.92,15.31,2
356,33.62,4.66,34.32,42.92,8.6,19.8,2
357,31.03,4.79,20.77,25.62,4.85,23.26,1
358,22.83,4.45,15.18,18.7,3.52,24.39,1
359,17.08,4.5,13.37,17.14,3.77,24.88,1
360,13.25,4.57,14.62,18.54,3.92,24.49,1
361,9.51,4.17,14.63,18.36,3.73,21.85,1
362,7.15,3.93,14.45,18.07,3.62,21.06,1
363,5.01,4.01,22.11,32.7,10.59,21.34,1
364,3.99,4.11,16.65,21.25,4.61,23.25,1
365,4.36,4.39,16.77,21.18,4.41,24.43,1
366,2.62,5.01,19.61,25.97,6.36,25.06,1
367,1.96,5.56,15.67,21.94,6.27,25.49,1
368,4.05,5.66,16.5,23.84,7.35,25.14,1
369,9.64,6.0,14.32,19.52,5.19,25.14,1
370,6.83,5.75,16.09,22.1,6.0,24.95,1
371,5.92,5.46,20.66,27.29,6.63,24.16,1
372,16.97,6.24,42.79,56.17,13.38,19.73,2
373,12.99,5.45,53.15,69.36,16.21,16.28,1
374,19.65,4.9,43.57,53.55,9.98,15.32,1
375,22.8,5.9,48.02,56.57,8.54,15.09,2
376,16.06,5.65,57.11,66.54,9.43,14.17,2
377,31.0,5.59,85.2,101.38,16.18,7.78,3
378,32.09,6.69,127.83,206.13,78.3,4.02,2
379,38.01,8.67,86.33,116.91,30.58,6.49,2
380,46.79,7.08,68.09,82.72,14.63,8.24,2
381,41.22,6.39,64.03,76.0,11.97,5.86,2
382,39.57,6.35,74.06,96.97,22.91,4.43,2
383,41.54,5.82,43.07,49.09,6.02,10.65,2
384,43.77,7.74,81.93,105.72,23.78,5.39,2
385,30.8,5.64,74.81,99.32,24.51,4.83,2
386,40.01,6.8,56.44,73.69,17.26,11.4,3
387,59.78,7.98,41.74,55.93,14.19,16.19,2
388,45.47,9.59,35.89,57.86,21.98,17.61,3
389,57.61,9.91,21.79,33.17,11.38,20.32,2
390,45.34,11.01,19.48,28.79,9.3,20.37,2
391,33.05,8.93,15.13,22.54,7.41,21.85,2
392,29.39,6.49,14.13,23.6,9.46,22.9,2
393,26.03,6.8,13.42,20.05,6.64,22.73,1
394,18.25,7.37,15.53,22.65,7.12,21.6,1
395,13.58,7.3,20.89,29.7,8.81,20.33,2
396,15.04,7.76,51.67,67.56,15.89,14.85,2
397,20.53,10.29,88.78,125.35,36.57,8.18,3
398,42.28,11.57,153.2,272.52,119.32,4.38,3
399,54.37,22.4,139.85,255.68,115.83,4.29,3
400,59.13,14.92,68.19,86.49,18.3,7.35,3
401,53.87,13.26,103.36,168.1,64.73,4.58,3
402,55.19,11.02,111.47,192.15,80.68,3.92,3
403,47.0,9.44,102.54,175.45,72.92,3.84,3
404,54.88,9.01,83.03,127.11,44.08,3.88,3
405,56.67,7.82,82.03,131.44,49.41,3.65,2
406,32.2,6.05,51.38,63.94,12.55,4.9,3
407,23.29,6.24,100.75,181.92,81.17,3.76,3
408,16.3,7.19,112.73,199.26,86.53,3.96,3
409,24.86,9.99,189.98,358.92,168.93,4.67,3
410,45.6,11.94,118.92,231.08,112.16,8.26,3
411,54.37,6.34,34.6,50.32,15.72,15.42,2
412,42.94,8.88,31.72,47.16,15.44,12.7,3
413,50.69,6.13,17.22,25.98,8.76,14.54,2
414,35.67,4.8,16.67,25.3,8.63,15.38,2
415,39.23,4.66,18.14,26.45,8.32,17.13,2
416,28.96,4.62,18.59,26.47,7.88,16.79,1
417,20.93,5.37,23.43,32.56,9.13,15.79,1
418,17.71,5.24,30.97,39.5,8.53,14.82,1
419,23.02,6.98,48.85,61.17,12.32,10.85,1
420,17.62,5.6,47.51,61.31,13.8,10.26,2
421,29.84,4.32,80.91,108.88,27.97,5.81,2
422,32.4,4.0,82.66,118.32,35.66,6.36,2
423,34.79,3.86,31.43,39.3,7.88,13.4,2
424,28.84,5.68,21.82,28.4,6.58,15.79,1
425,19.97,4.17,14.48,18.88,4.4,16.46,1
426,16.07,4.06,14.33,17.57,3.24,14.77,1
427,16.67,3.27,19.82,23.92,4.1,12.26,1
428,11.7,3.31,21.72,26.14,4.41,12.31,1
429,15.96,3.13,14.26,18.09,3.83,14.39,1
430,14.83,3.27,19.46,24.53,5.08,13.39,1
431,11.2,3.36,40.16,48.63,8.47,8.64,1
432,19.98,3.98,42.63,52.94,10.31,8.52,1
433,19.99,4.68,36.02,46.68,10.65,10.56,1
434,17.59,5.46,24.25,33.53,9.28,13.21,1
435,12.76,4.64,18.8,29.66,10.86,15.22,1
436,22.02,3.55,19.67,30.13,10.46,15.18,1
437,15.49,2.69,15.71,25.04,9.34,15.76,1
438,11.89,2.45,14.22,22.69,8.47,16.17,1
439,8.94,2.5,12.93,20.17,7.24,15.87,1
440,6.32,3.39,14.22,22.74,8.53,15.14,1
441,4.93,3.94,18.64,26.56,7.92,14.61,1
442,3.45,2.36,18.06,26.27,8.22,14.29,1
443,2.42,2.1,17.9,25.58,7.67,14.15,1
444,1.69,1.92,16.38,23.86,7.48,14.78,1
445,1.18,2.66,15.59,21.76,6.18,15.28,1
446,0.83,3.18,19.15,26.26,7.11,14.2,1
447,1.06,2.13,12.58,18.1,5.52,15.21,1
448,1.2,2.14,11.83,16.43,4.6,15.96,1
449,0.84,2.05,9.93,13.44,3.51,15.76,1
450,1.08,1.73,22.47,26.85,4.38,12.36,1
451,0.99,1.95,25.57,30.01,4.44,9.98,1
452,0.69,1.8,16.56,19.97,3.41,12.63,1
453,0.48,1.57,11.03,14.7,3.68,14.17,1
454,1.65,2.71,17.94,27.86,9.91,14.11,1
455,7.86,2.83,11.24,18.32,7.08,15.29,1
456,10.95,1.67,15.24,24.87,9.63,16.86,1
457,8.2,1.64,11.38,18.51,7.13,17.14,1
458,5.86,2.1,15.53,22.41,6.88,16.79,1
459,4.9,3.34,25.18,32.45,7.28,14.99,1
460,4.11,3.21,43.71,55.86,12.15,11.78,1
461,2.88,2.69,30.82,39.9,9.07,13.21,1
462,3.94,2.89,19.78,25.89,6.11,13.02,1
463,2.77,2.96,47.14,61.6,14.46,8.32,1
464,1.94,2.13,47.6,59.41,11.81,6.45,1
465,5.87,1.51,22.31,27.32,5.01,12.02,1
466,4.14,1.71,24.57,31.12,6.56,12.72,1
467,6.44,1.39,16.36,20.08,3.72,14.65,1
468,7.37,1.54,15.28,18.41,3.13,14.74,1
469,5.17,1.2,14.01,16.94,2.93,14.51,1
470,4.78,1.19,20.78,24.6,3.82,14.21,1
471,4.02,1.44,41.46,47.89,6.43,10.61,3
472,2.82,1.98,130.82,201.98,71.15,1.68,3
473,11.51,5.36,141.23,236.12,94.9,3.72,2
474,32.2,3.9,41.84,63.0,21.16,12.41,2
475,27.49,4.46,17.75,25.32,7.57,17.46,1
476,21.98,4.02,18.62,26.54,7.91,17.53,1
477,18.75,4.07,33.27,43.92,10.65,14.77,2
478,22.75,4.47,61.73,77.74,16.01,9.93,1
479,22.28,3.29,47.14,58.22,11.08,9.49,2
480,35.06,3.23,73.31,86.7,13.4,7.53,1
481,24.64,3.15,47.07,53.34,6.28,11.21,1
482,17.25,3.02,45.34,52.1,6.77,10.63,2
483,18.38,3.44,95.35,143.58,48.23,3.69,2
484,16.64,3.72,96.05,147.38,51.33,0.41,3
485,20.83,3.0,118.59,207.78,89.2,0.38,3
486,35.53,3.5,110.02,189.46,79.44,0.43,3
487,28.44,4.13,157.18,305.35,148.16,0.58,4
488,42.71,6.06,205.07,421.85,216.78,1.23,3
489,63.68,12.31,138.98,256.52,117.54,4.53,3
490,65.56,12.85,33.92,48.14,14.22,12.98,3
491,59.81,17.91,19.43,27.92,8.49,13.96,2
492,40.1,16.7,19.72,26.75,7.03,14.36,2
493,38.65,7.43,27.06,38.86,11.8,11.86,2
494,30.8,6.08,37.58,49.49,11.91,10.23,1
