,S17_PM10,S17_PM25,S17_SO2,S17_NO2,S17_NOX,S17_NO,S17_O3,OUT
0,168.93,72.57,8.7,232.58,592.46,359.88,3.1,4
1,168.93,72.57,8.7,232.58,592.46,359.88,3.1,4
2,175.13,85.43,11.11,262.78,673.75,410.96,2.72,5
3,181.77,95.19,11.17,263.56,681.37,417.82,3.55,4
4,179.82,89.47,9.9,219.58,559.38,339.79,2.71,4
5,168.9,83.5,9.41,187.11,466.77,279.66,2.2,3
6,73.82,34.18,19.36,168.85,337.11,168.26,6.24,5
7,360.41,48.35,18.3,280.6,650.71,370.11,4.05,5
8,293.69,75.65,18.43,344.89,844.81,499.92,3.52,5
9,276.3,95.37,13.56,154.38,307.09,152.71,2.62,4
10,171.18,69.34,13.82,221.93,519.15,297.22,3.41,5
11,188.62,102.51,12.08,188.25,425.23,236.98,2.83,4
12,153.95,95.98,10.47,160.1,348.71,188.61,2.62,4
13,146.86,101.41,10.34,142.6,303.6,160.99,2.46,4
14,131.02,74.01,10.0,124.8,259.84,135.04,2.21,4
15,127.31,68.83,9.08,98.74,185.06,86.31,2.32,4
16,116.37,66.74,8.54,80.94,140.7,59.76,2.08,4
17,102.3,66.9,8.52,75.02,129.24,54.21,2.13,3
18,82.87,44.72,8.6,87.06,169.28,82.23,2.29,3
19,86.48,44.75,8.99,91.63,188.3,96.67,2.34,4
20,94.94,54.36,9.6,166.61,396.6,230.0,2.91,4
21,92.37,65.62,11.13,268.16,669.04,400.88,3.55,4
22,108.42,67.86,10.09,155.76,345.5,189.74,2.44,3
23,83.21,37.85,13.11,73.2,125.8,52.6,7.54,3
24,69.33,33.37,13.51,86.84,151.71,64.87,5.22,3
25,72.54,32.36,13.55,73.13,119.87,46.74,7.51,3
26,72.84,24.62,14.55,72.01,120.8,48.79,8.47,3
27,75.8,34.62,12.78,71.67,114.45,42.78,5.74,3
28,72.99,30.67,12.28,88.07,154.37,66.3,3.89,3
29,69.02,22.91,12.08,99.28,187.38,88.1,2.64,3
30,69.21,32.75,11.37,122.0,256.22,134.23,2.29,3
31,75.69,33.1,11.15,137.34,309.27,171.93,2.54,3
32,65.73,37.74,11.18,132.36,294.42,162.06,2.48,3
33,73.84,45.88,10.75,128.66,289.09,160.43,2.08,3
34,80.17,54.64,10.52,131.33,300.81,169.48,2.57,4
35,87.17,63.14,9.85,150.99,359.25,208.26,2.06,4
36,92.08,59.66,9.73,149.82,365.37,215.55,2.41,4
37,98.32,62.04,9.99,118.07,270.04,151.98,2.94,3
38,89.13,49.02,9.74,94.29,198.41,104.13,1.95,3
39,86.79,53.96,9.47,75.29,140.33,65.04,1.67,3
40,63.52,35.25,8.56,41.8,57.0,15.2,7.28,3
41,56.62,25.88,8.7,70.86,132.08,61.23,4.77,3
42,51.13,28.68,8.48,90.38,179.36,88.98,1.95,2
43,44.88,25.76,8.39,61.59,92.52,30.93,3.6,2
44,48.62,28.54,9.11,72.67,114.96,42.3,3.75,2
45,46.84,27.56,9.57,83.99,143.51,59.52,4.96,3
46,59.51,27.78,9.21,79.09,131.65,52.56,7.61,2
47,49.06,24.83,9.35,76.92,126.28,49.36,7.55,2
48,43.31,22.27,9.3,81.86,132.53,50.67,6.57,3
49,36.12,30.41,8.87,86.28,135.54,49.26,5.24,2
50,35.05,22.58,8.69,88.2,131.74,43.54,3.62,3
51,35.62,30.56,8.52,86.69,123.34,36.65,1.91,2
52,39.28,29.03,8.35,82.93,117.25,34.32,1.95,2
53,30.99,24.01,8.16,78.69,107.16,28.46,2.24,2
54,38.22,29.32,8.29,72.75,93.19,20.44,2.23,3
55,45.06,31.76,7.98,72.47,91.93,19.46,2.56,2
56,43.12,23.87,7.79,71.81,92.99,21.18,2.27,2
57,31.02,21.36,7.93,72.41,89.22,16.81,2.19,2
58,22.88,15.34,7.72,70.42,83.86,13.45,2.37,2
59,30.81,15.09,7.34,64.5,73.96,9.46,3.95,2
60,33.37,11.28,7.22,62.37,71.42,9.05,5.19,2
61,26.19,8.85,7.21,68.81,79.06,10.25,2.98,2
62,26.53,6.96,7.37,72.61,87.24,14.63,2.71,2
63,31.95,7.17,7.25,74.23,89.34,15.11,2.37,2
64,32.87,5.09,7.31,77.71,101.12,23.42,2.76,2
65,36.29,5.11,7.35,81.98,118.53,36.55,4.38,2
66,36.76,12.48,7.45,79.12,118.06,38.94,6.93,2
67,33.11,8.75,7.93,80.2,124.37,44.16,8.1,2
68,36.21,7.61,8.15,81.58,127.53,45.95,10.25,2
69,42.29,21.41,8.23,77.6,120.88,43.28,12.43,2
70,31.89,23.73,8.09,87.9,143.73,55.83,9.17,2
71,41.35,25.02,7.9,86.81,137.28,50.46,9.56,2
72,44.37,27.16,7.72,78.81,115.6,36.79,7.51,2
73,22.2,13.02,6.79,68.58,84.88,16.31,3.09,2
74,25.75,13.79,6.86,70.67,92.72,22.05,2.17,2
75,24.53,9.65,7.2,77.68,105.96,28.28,1.88,2
76,17.93,8.16,7.07,84.59,121.28,36.69,2.13,2
77,22.53,20.87,7.05,83.21,115.78,32.58,2.47,2
78,28.01,23.4,7.11,37.17,45.52,8.35,16.34,2
79,29.02,24.71,7.22,32.34,39.94,7.6,20.23,2
80,28.89,24.4,7.07,31.73,41.45,9.72,26.91,2
81,20.37,17.48,7.32,35.39,48.53,13.14,26.8,2
82,17.86,16.59,8.19,69.12,103.1,33.97,15.62,2
83,36.7,16.62,9.28,90.16,154.32,64.16,10.76,3
84,40.93,36.07,8.95,102.14,177.29,75.15,5.26,2
85,35.27,18.94,8.56,59.98,86.59,26.6,21.46,3
86,36.3,25.55,10.22,124.26,195.06,70.8,5.72,3
87,83.18,52.92,11.68,109.19,170.59,61.4,7.32,4
88,124.71,55.62,15.55,116.08,193.68,77.6,8.94,4
89,173.38,88.2,17.33,184.35,309.73,125.38,18.66,4
90,162.66,89.74,8.9,93.92,132.52,38.6,28.51,4
91,123.15,66.66,7.97,78.55,106.24,27.69,34.43,4
92,97.2,42.59,11.1,98.74,140.4,41.66,23.69,4
93,82.27,34.07,11.59,210.81,428.18,217.38,6.54,5
94,152.5,40.51,15.09,555.4,1413.3,857.9,7.34,5
95,335.04,75.9,13.39,322.01,760.8,438.79,5.48,5
96,328.82,108.12,12.38,297.2,710.72,413.52,5.21,5
97,220.5,102.15,10.33,241.68,556.9,315.22,4.54,5
98,188.68,93.8,10.38,246.35,593.2,346.84,4.81,5
99,207.8,100.71,10.31,221.35,525.0,303.65,5.19,5
100,215.24,116.28,7.33,162.5,347.57,185.06,4.89,4
101,150.41,102.04,6.38,137.7,288.44,150.75,5.15,4
102,154.96,99.81,6.37,133.38,279.56,146.18,4.64,4
103,160.42,94.02,6.56,131.03,279.12,148.09,4.97,5
104,275.81,122.85,6.21,126.46,270.85,144.4,3.75,5
105,381.25,155.97,5.13,85.53,140.54,55.01,4.08,5
106,150.71,115.44,4.28,99.38,176.48,77.11,4.63,4
107,87.62,87.14,4.64,168.23,380.46,212.22,5.47,4
108,101.88,75.75,8.33,333.82,846.9,513.09,6.24,4
109,151.27,81.18,18.86,231.2,524.26,293.06,7.36,2
110,42.84,22.54,6.96,73.02,102.9,29.89,32.47,3
111,46.29,16.35,9.86,139.28,259.54,120.27,17.25,4
112,106.3,23.04,12.78,305.52,720.96,415.44,5.32,5
113,245.38,48.42,10.92,284.2,673.78,389.57,5.42,5
114,470.96,46.85,16.8,265.6,589.84,324.24,5.65,5
115,222.55,50.5,14.66,202.2,414.87,212.67,4.99,4
116,140.4,49.11,9.06,183.67,387.91,204.23,4.82,4
117,170.69,57.69,8.42,174.25,378.53,204.28,4.81,4
118,168.01,52.28,7.2,139.74,284.64,144.89,4.38,4
119,116.97,40.93,6.02,104.36,179.04,74.68,4.19,4
120,90.54,30.96,5.27,71.17,102.87,31.7,5.32,3
121,54.4,28.99,5.33,79.82,135.61,55.79,4.52,4
122,114.33,54.28,4.83,80.93,152.4,71.47,4.75,4
123,121.44,70.95,4.52,79.45,146.06,66.61,4.31,4
124,114.49,62.06,4.35,86.0,167.5,81.5,4.47,4
125,116.45,66.66,5.53,123.71,274.4,150.69,4.72,4
126,125.31,72.17,7.96,244.4,609.74,365.34,6.16,5
127,208.34,80.97,17.96,289.86,693.91,404.04,6.19,5
128,306.63,105.88,14.88,210.17,447.38,237.22,5.9,4
129,150.72,92.75,16.28,167.53,305.64,138.11,11.3,4
130,137.37,73.7,14.2,151.35,242.3,90.96,18.06,4
131,120.51,73.01,9.52,103.19,148.51,45.32,28.02,4
132,84.24,56.83,8.98,94.89,141.07,46.19,29.7,3
133,61.05,38.08,7.78,57.59,76.3,18.71,45.0,3
134,69.66,27.25,6.79,39.59,49.54,9.95,54.54,3
135,77.82,19.74,8.24,132.98,253.1,120.13,21.05,3
136,61.46,19.36,12.03,152.95,267.86,114.91,5.06,4
137,115.08,27.27,10.97,158.59,295.64,137.04,4.58,4
138,99.38,21.92,8.65,83.58,99.1,15.52,8.31,3
139,63.37,15.95,7.6,85.42,112.39,26.97,11.06,3
140,70.7,23.78,7.57,135.71,261.72,126.01,4.91,4
141,118.74,52.21,7.26,157.77,344.6,186.83,5.06,4
142,140.83,59.78,6.05,167.25,368.45,201.2,4.44,4
143,93.27,47.94,5.53,132.37,292.17,159.79,4.9,4
144,113.71,60.35,4.96,108.82,228.13,119.3,4.29,4
145,129.89,76.79,4.27,98.07,193.35,95.29,4.09,4
146,96.73,60.21,4.34,115.2,245.07,129.88,3.96,3
147,80.65,48.14,4.64,130.37,294.69,164.32,4.71,4
148,106.93,56.82,4.8,145.01,342.79,197.78,4.11,4
149,111.11,62.31,5.26,158.5,382.88,224.37,4.54,4
150,117.36,64.95,6.14,162.71,363.81,201.1,5.47,4
151,126.79,77.59,7.43,139.03,261.13,122.1,8.21,4
152,118.54,61.28,8.66,112.53,181.71,69.18,16.76,4
153,100.14,43.06,7.68,105.42,159.86,54.44,24.87,4
154,97.08,35.29,6.39,70.89,99.98,29.08,40.65,3
155,85.92,25.23,5.94,33.78,43.32,9.53,58.51,3
156,61.0,18.74,5.22,24.72,31.88,7.16,68.55,2
157,40.03,14.62,5.2,33.4,40.67,7.27,62.5,3
158,33.08,11.36,6.19,119.6,215.2,95.6,23.37,3
159,40.03,7.96,6.68,194.65,393.08,198.42,4.56,3
160,76.97,12.12,6.89,187.46,387.4,199.94,5.03,4
161,102.16,26.85,6.28,159.28,328.19,168.9,4.36,4
162,102.53,32.96,6.56,156.46,330.46,174.01,4.18,4
163,110.76,43.23,5.72,200.32,456.97,256.64,4.39,4
164,115.61,48.21,5.46,170.08,381.06,210.99,4.25,4
165,110.42,47.17,5.0,164.64,372.92,208.28,4.35,4
166,106.94,49.68,4.45,141.15,306.57,165.42,4.43,4
167,108.65,60.57,4.21,126.56,270.48,143.92,4.71,4
168,101.98,59.28,4.39,118.62,255.54,136.93,4.07,4
169,115.75,52.83,7.96,93.46,144.65,51.19,30.05,4
170,95.84,45.95,7.09,65.62,91.11,25.48,47.73,3
171,76.84,32.5,6.8,63.04,87.56,24.52,51.18,3
172,66.76,24.24,6.17,52.82,72.18,19.36,52.35,3
173,53.37,19.22,6.13,96.86,141.8,44.94,25.06,3
174,42.77,15.14,6.42,185.24,353.5,168.26,5.29,4
175,58.63,19.76,7.0,214.04,441.64,227.61,4.67,4
176,92.51,31.03,8.18,270.8,628.82,358.02,5.46,4
177,119.39,40.39,6.96,167.46,343.22,175.76,4.35,4
178,141.43,55.33,7.32,199.99,440.68,240.69,4.02,4
179,178.09,68.74,7.05,227.98,533.81,305.83,4.58,4
180,178.92,66.13,6.3,188.36,419.66,231.3,4.77,4
181,174.44,68.98,5.96,175.84,388.99,213.15,4.5,4
182,157.98,69.88,5.01,137.99,289.78,151.8,4.14,4
183,136.1,57.0,4.97,125.8,262.7,136.9,4.23,4
184,127.76,64.67,4.63,119.34,248.42,129.08,4.05,4
185,118.93,59.17,4.22,107.14,217.11,109.97,3.94,4
186,103.1,42.14,4.44,117.69,241.27,123.58,4.27,4
187,94.91,40.72,4.33,116.96,230.17,113.2,3.92,3
188,71.15,27.02,5.26,155.26,335.24,179.98,4.35,3
189,70.49,20.36,5.26,118.77,229.94,111.17,5.51,3
190,59.89,18.45,5.38,111.01,205.94,94.93,6.74,2
191,46.98,16.68,8.38,64.32,80.18,15.86,21.52,3
192,52.91,13.54,3.54,117.8,182.88,65.07,5.65,3
193,58.92,11.19,6.27,166.82,327.77,160.95,5.1,3
194,88.06,16.62,6.08,128.42,223.94,95.52,4.74,4
195,99.59,27.48,5.0,127.27,223.59,96.33,4.59,4
196,109.57,33.5,4.91,176.17,364.89,188.72,4.35,4
197,111.4,32.76,4.79,189.92,414.04,224.12,4.26,4
198,107.04,34.35,4.07,185.21,416.31,231.1,4.37,4
199,114.92,51.66,4.06,174.34,388.1,213.76,3.98,4
200,124.87,55.64,3.27,142.69,292.94,150.25,4.2,4
201,120.76,55.29,2.88,117.18,221.54,104.36,4.01,4
202,109.1,55.79,3.09,122.45,247.86,125.4,4.11,4
203,104.65,59.1,3.21,126.0,263.36,137.36,4.03,4
204,108.68,59.59,3.17,141.42,299.43,158.01,4.24,4
205,99.44,53.8,4.8,282.51,699.13,416.62,5.16,4
206,103.84,42.68,4.88,230.37,524.52,294.15,5.4,4
207,112.47,51.41,6.49,221.97,472.38,250.41,6.58,4
208,118.95,56.09,17.28,179.86,330.87,151.0,9.87,4
209,124.37,63.03,14.44,170.19,281.37,111.17,12.99,4
210,118.14,59.82,6.26,80.41,106.61,26.2,32.4,4
211,97.36,44.59,6.27,69.2,87.46,18.25,36.38,3
212,84.25,37.9,5.93,42.0,45.76,3.76,46.93,3
213,79.17,33.2,6.91,51.29,57.49,6.19,37.58,3
214,81.01,25.55,6.77,58.92,95.19,36.28,20.45,3
215,81.3,24.28,8.56,186.8,364.16,177.37,5.14,4
216,124.72,39.68,8.43,219.11,472.24,253.13,5.37,4
217,173.07,46.36,6.82,239.93,548.91,308.97,4.69,4
218,174.82,43.62,7.04,237.39,548.22,310.83,4.5,5
219,181.19,72.2,5.79,188.08,397.98,209.9,4.52,4
220,168.29,67.17,4.74,186.93,397.99,211.06,4.68,4
221,148.42,47.6,5.0,167.17,354.35,187.18,4.42,4
222,141.93,54.35,5.16,156.82,315.66,158.85,4.51,4
223,135.09,59.12,4.53,118.18,198.47,80.3,4.28,4
224,112.88,53.86,3.64,129.93,241.72,111.8,4.14,4
225,97.96,50.17,3.86,118.95,221.06,102.11,4.2,4
226,95.02,46.97,3.92,46.8,131.57,84.77,17.17,3
227,88.43,49.26,4.9,138.88,270.71,131.83,4.14,4
228,99.93,51.26,10.86,223.62,510.66,287.04,5.56,5
229,185.66,69.88,28.86,276.25,637.78,361.53,6.91,5
230,333.58,105.3,36.8,213.96,441.49,227.53,6.74,5
231,265.8,111.97,17.32,85.44,105.33,19.89,12.51,4
232,89.89,85.54,13.97,71.93,80.12,8.19,16.76,4
233,80.82,68.85,10.31,59.51,63.14,3.63,21.94,4
234,92.06,46.23,5.72,56.18,61.79,5.61,26.71,3
235,70.14,27.13,5.9,61.36,63.22,1.86,25.44,3
236,65.95,20.92,6.51,65.69,78.02,12.33,23.56,3
237,72.37,19.99,6.15,55.68,71.98,16.3,20.69,3
238,65.44,15.13,5.32,56.29,59.64,3.35,19.39,3
239,67.48,12.16,5.44,52.85,55.29,2.45,23.46,2
240,9.93,2.46,2.58,99.37,152.9,53.53,5.87,3
241,16.93,6.29,4.38,191.89,418.66,226.76,5.17,3
242,39.99,17.66,9.01,135.0,241.09,106.09,9.59,3
243,63.39,34.01,11.32,92.04,130.33,38.29,22.36,3
244,64.86,34.76,8.19,64.43,75.59,11.16,36.36,3
245,60.79,24.62,7.13,37.28,42.32,5.04,51.19,3
246,66.8,17.33,5.72,28.65,32.71,4.06,65.19,4
247,90.71,12.29,5.08,28.66,34.26,5.6,59.36,4
248,115.58,8.6,4.67,36.63,41.16,4.53,57.73,4
249,119.14,9.11,4.3,62.08,65.33,3.25,43.39,4
250,104.26,13.21,4.67,63.5,75.68,12.18,29.34,3
251,80.18,14.32,4.56,68.0,70.08,2.08,25.58,1
252,5.28,3.86,2.08,45.13,72.38,27.25,8.56,1
253,7.58,3.89,2.98,39.88,47.79,7.91,16.09,1
254,9.97,5.1,3.16,37.82,38.44,0.62,37.32,2
255,2.1,0.62,2.18,56.22,63.48,7.26,14.88,2
256,8.32,1.88,2.77,66.8,81.32,14.52,15.22,1
257,18.52,5.4,2.87,42.32,45.1,2.78,33.89,1
258,16.63,8.07,3.96,35.59,41.79,6.2,39.28,1
259,14.49,5.65,3.25,27.74,29.02,1.28,46.2,1
260,15.67,3.96,2.78,24.45,33.09,8.64,42.16,1
261,14.15,2.96,2.7,42.0,56.14,14.15,44.24,1
262,10.23,2.5,2.98,43.84,58.93,15.09,47.46,1
263,10.02,1.75,3.23,46.53,57.13,10.6,41.8,2
264,11.75,1.22,3.09,51.26,61.53,10.26,37.54,2
265,10.66,0.86,2.3,59.76,69.85,10.09,30.15,1
266,13.24,0.6,2.19,44.36,46.86,2.5,34.15,2
267,10.13,0.42,2.31,53.56,57.64,4.07,23.83,2
268,9.89,0.35,2.23,59.44,63.18,3.75,17.54,2
269,18.95,3.53,1.97,57.33,60.71,3.38,13.13,2
270,28.14,8.4,1.45,49.4,51.98,2.59,11.87,2
271,29.46,12.47,1.4,45.49,46.5,1.01,14.51,2
272,28.44,16.13,1.32,42.98,44.6,1.63,15.77,2
273,25.42,11.77,1.48,17.68,19.81,2.12,41.67,1
274,20.71,9.77,1.47,19.18,21.25,2.06,32.54,1
275,21.14,10.43,1.31,17.17,18.87,1.7,37.09,1
276,15.3,7.79,1.17,28.25,30.3,2.05,28.38,2
277,13.76,5.88,1.21,53.89,67.26,13.38,14.22,2
278,16.05,4.61,1.62,81.16,124.05,42.88,8.59,2
279,12.02,3.69,3.02,56.83,80.39,23.56,25.08,1
280,14.24,9.97,3.04,43.04,62.74,19.7,30.89,2
281,22.99,21.2,5.72,29.93,44.17,14.24,44.26,2
282,18.35,15.33,5.98,43.41,64.28,20.87,43.58,2
283,17.82,16.76,3.11,48.38,70.29,21.91,43.47,2
284,20.27,8.72,2.68,51.71,68.3,16.59,37.6,1
285,14.19,6.11,3.24,49.03,59.68,10.66,29.73,1
286,11.29,4.28,2.89,44.92,51.64,6.72,32.14,1
287,11.18,3.05,2.26,27.19,29.88,2.69,44.3,1
288,10.4,2.35,1.91,21.92,24.32,2.4,47.64,1
289,11.84,2.94,1.84,24.58,27.28,2.7,43.39,1
290,24.82,2.7,2.98,26.33,34.49,8.16,52.73,2
291,17.37,1.89,2.57,15.9,18.91,3.01,60.87,1
292,12.16,1.5,2.63,18.73,21.93,3.2,57.12,2
293,9.4,1.51,2.38,15.24,17.13,1.89,61.32,2
294,8.27,1.09,1.99,9.17,11.61,2.44,65.01,2
295,5.79,0.76,1.97,6.73,7.42,0.69,67.27,2
296,4.13,0.53,1.78,7.56,8.72,1.17,65.56,2
297,3.04,0.37,1.73,7.61,8.84,1.22,65.51,2
298,2.13,0.54,1.56,6.67,7.75,1.08,65.54,2
299,1.69,1.25,1.64,7.0,8.16,1.16,65.13,2
300,1.6,1.47,1.72,8.91,10.28,1.36,62.72,2
301,1.12,1.03,1.92,8.94,10.28,1.34,60.98,1
302,0.92,0.97,1.81,18.73,24.77,6.03,54.38,2
303,7.7,1.24,4.6,50.24,70.0,19.75,34.61,1
304,14.58,5.29,4.72,43.03,59.29,16.26,39.31,1
305,9.86,5.12,5.07,26.88,38.59,11.7,56.79,1
306,6.9,3.59,5.74,26.07,35.71,9.63,56.04,1
307,5.0,2.7,3.72,34.01,44.59,10.58,49.68,1
308,7.8,5.52,2.24,18.68,21.06,2.38,58.33,2
309,9.9,3.87,2.12,14.92,16.67,1.75,62.26,2
310,13.37,3.02,1.77,14.18,15.58,1.4,63.3,1
311,9.64,2.78,1.47,32.51,39.99,7.48,53.93,1
312,7.18,1.95,1.56,17.8,19.38,1.58,58.06,2
313,27.54,12.64,1.46,77.02,121.97,44.95,25.76,2
314,32.56,21.79,2.37,54.0,83.93,29.93,40.02,2
315,22.6,5.93,4.28,31.26,43.69,12.42,64.67,2
316,36.84,8.95,2.83,93.17,111.98,18.8,6.49,2
317,44.99,10.79,2.27,78.28,88.26,9.97,25.75,2
318,49.0,10.91,2.34,96.22,125.58,29.36,22.54,2
319,45.32,25.0,1.82,79.29,89.25,9.96,5.23,3
320,28.91,9.05,2.21,121.58,217.13,95.54,1.8,2
321,27.21,6.33,5.16,82.83,132.08,49.25,26.19,2
322,33.74,3.51,3.53,32.88,44.99,12.11,64.88,2
323,25.28,2.46,3.65,36.57,46.99,10.42,60.66,2
324,33.54,2.38,3.52,35.32,43.24,7.91,59.02,2
325,36.99,8.5,2.4,49.14,65.68,16.55,54.51,2
326,30.11,7.7,2.36,47.78,61.47,13.69,49.99,2
327,32.04,6.0,2.47,37.78,45.14,7.36,53.92,2
328,36.28,13.51,2.3,30.16,38.22,8.07,59.72,2
329,27.95,10.06,2.59,34.02,37.75,3.73,49.33,2
330,40.83,7.43,2.08,25.99,29.27,3.28,61.16,2
331,34.74,12.98,1.96,20.39,23.74,3.35,60.65,1
332,24.63,9.59,2.28,22.0,25.02,3.02,55.18,1
333,17.24,7.47,2.11,20.96,24.0,3.04,59.36,2
334,20.26,5.63,2.17,18.7,21.77,3.07,62.39,2
335,14.71,3.96,1.81,11.39,14.93,3.54,73.82,2
336,18.01,6.04,1.73,8.75,11.41,2.66,76.29,2
337,13.61,5.04,1.79,12.94,15.89,2.95,69.35,2
338,9.56,3.56,1.72,14.28,17.16,2.88,69.12,2
339,6.69,2.77,1.82,19.19,22.18,2.99,65.01,2
340,13.86,2.72,1.88,30.07,35.72,5.66,60.2,1
341,12.24,1.95,2.94,38.3,49.62,11.31,56.56,2
342,23.24,2.04,4.26,34.93,47.87,12.94,60.06,2
343,37.55,4.5,4.97,35.22,51.74,16.52,64.06,2
344,33.36,3.35,5.14,32.59,48.09,15.5,67.16,2
345,46.48,6.29,5.71,36.37,50.56,14.19,63.27,3
346,54.2,7.35,3.91,39.89,56.27,16.38,63.22,2
347,48.15,5.32,3.38,37.96,48.88,10.92,62.76,2
348,45.48,3.89,2.75,39.59,51.12,11.53,63.14,3
349,52.15,3.04,3.05,41.42,50.09,8.67,56.38,2
350,35.31,2.15,3.28,66.63,77.53,10.9,28.13,2
351,38.42,1.5,3.49,88.61,101.34,12.73,11.22,3
352,57.59,3.15,3.27,79.14,90.0,10.86,15.18,3
353,57.38,11.04,2.76,74.1,85.26,11.16,15.86,3
354,63.91,15.86,3.0,76.49,91.4,14.91,13.22,3
355,70.16,17.74,2.73,75.75,85.44,9.69,8.58,3
356,68.0,16.1,2.78,84.81,105.14,20.34,7.88,3
357,68.56,22.46,3.14,74.78,81.74,6.97,8.78,3
358,77.43,24.29,2.25,63.0,67.72,4.72,26.22,3
359,60.16,23.01,2.08,53.88,57.86,3.98,28.85,3
360,50.86,16.9,2.06,63.12,68.28,5.16,21.97,2
361,45.58,19.63,2.29,31.95,35.76,3.82,56.02,2
362,32.52,14.21,2.18,16.14,19.37,3.22,72.63,2
363,26.12,10.39,1.84,12.41,15.55,3.14,77.71,2
364,18.95,7.93,1.91,16.84,20.93,4.09,74.15,2
365,13.29,5.59,1.9,19.63,24.01,4.38,73.04,2
366,19.42,3.74,2.08,15.14,19.66,4.51,78.06,2
367,22.3,5.43,2.19,16.66,24.19,7.53,80.08,2
368,16.24,4.0,2.22,18.03,25.94,7.91,81.84,2
369,13.0,2.83,2.1,19.49,27.42,7.92,81.9,2
370,12.71,1.98,2.18,22.54,30.03,7.49,77.54,2
371,22.3,1.39,1.89,23.82,30.44,6.62,71.03,1
372,16.38,0.97,1.81,37.08,43.48,6.4,54.49,1
373,18.67,7.7,1.66,42.24,48.07,5.83,51.42,1
374,24.48,11.46,1.64,44.8,49.88,5.09,47.36,1
375,17.78,8.36,1.4,43.53,48.42,4.88,48.73,2
376,14.64,5.85,1.57,60.52,68.55,8.03,28.8,2
377,34.34,4.23,1.64,73.29,86.8,13.51,12.78,2
378,25.53,5.78,1.63,34.29,38.36,4.07,43.54,2
379,27.97,4.86,1.64,40.98,44.84,3.85,30.55,2
380,26.91,14.32,2.38,60.92,65.64,4.73,14.57,2
381,25.61,10.66,1.83,48.15,52.7,4.55,31.96,2
382,34.04,11.24,1.7,30.54,34.54,3.99,47.82,2
383,36.13,9.61,2.15,23.86,27.25,3.39,52.71,2
384,27.17,6.81,2.56,22.36,26.23,3.87,56.61,2
385,44.42,6.27,2.47,38.14,45.91,7.77,44.59,2
386,42.78,15.27,3.52,80.46,110.98,30.52,16.92,2
387,49.58,19.22,5.45,84.9,127.94,43.05,21.79,3
388,62.89,26.49,6.75,69.74,104.81,35.07,34.7,3
389,70.52,49.32,6.45,68.06,105.75,37.69,39.45,3
390,68.28,38.38,6.13,38.05,57.43,19.39,56.28,3
391,68.73,26.99,4.9,34.15,51.98,17.83,62.4,3
392,54.8,18.92,5.02,26.55,37.85,11.29,66.0,2
393,36.81,13.46,4.95,36.22,51.63,15.4,62.11,2
394,37.57,9.99,5.0,39.43,59.23,19.8,58.27,2
395,49.78,10.66,2.75,44.69,62.61,17.92,49.64,2
396,37.1,7.68,4.03,68.54,89.92,21.39,32.12,2
397,36.62,5.37,5.84,67.87,77.13,9.26,22.08,2
398,48.18,6.13,4.61,76.02,87.43,11.41,11.86,2
399,43.31,8.45,3.35,62.18,71.44,9.26,23.57,2
400,43.53,8.69,2.74,47.67,58.91,11.24,30.79,3
401,61.5,29.72,2.79,74.24,96.14,21.91,8.87,3
402,58.98,31.76,2.55,53.78,63.84,10.06,17.02,3
403,52.88,23.25,3.52,70.35,99.39,29.04,10.81,3
404,86.57,34.13,2.36,62.78,76.65,13.86,4.37,3
405,61.46,29.58,2.92,66.81,84.83,18.02,1.84,3
406,65.14,32.34,2.59,65.72,89.87,24.15,1.02,3
407,72.34,30.9,2.61,90.3,151.26,60.95,0.33,3
408,74.34,37.02,3.72,139.74,294.67,154.92,1.26,4
409,119.85,49.65,5.28,169.82,374.28,204.46,2.12,4
410,112.5,40.04,7.28,134.24,258.71,124.47,5.87,4
411,116.21,44.12,6.84,113.58,200.4,86.82,15.33,4
412,122.61,51.86,6.82,92.77,156.28,63.51,30.25,4
413,117.62,35.38,5.55,60.88,93.92,33.04,45.43,3
414,87.31,26.4,5.26,41.78,63.02,21.24,56.06,3
415,81.95,20.23,4.43,40.96,62.82,21.86,57.8,3
416,55.14,14.74,4.22,39.47,61.21,21.73,58.88,2
417,48.06,10.72,4.56,45.75,68.5,22.75,50.79,3
418,57.39,15.7,4.52,57.55,82.11,24.56,38.91,2
419,40.16,11.47,3.7,83.93,119.63,35.7,21.1,2
420,46.53,8.03,4.36,89.76,117.26,27.5,9.21,3
421,55.6,6.46,5.94,68.34,87.82,19.48,29.67,3
422,51.47,5.58,4.51,79.05,108.41,29.36,20.75,3
423,63.44,24.02,4.98,83.11,109.48,26.37,12.54,4
424,96.73,32.24,3.85,80.86,109.73,28.88,23.11,3
425,67.02,21.68,2.96,42.23,45.67,3.45,38.36,3
426,67.93,21.28,2.88,27.84,31.19,3.35,49.78,2
427,45.56,20.82,2.91,23.17,25.98,2.8,51.61,2
428,41.42,15.45,2.56,19.85,22.82,2.97,53.54,2
429,44.9,11.17,2.69,20.47,23.31,2.83,55.68,2
430,32.34,7.84,2.52,22.04,25.45,3.41,53.95,2
431,34.82,5.62,2.13,70.3,93.18,22.88,20.59,2
432,28.66,4.3,2.68,87.93,121.91,33.98,15.26,2
433,23.09,5.4,3.48,78.26,111.3,33.05,26.87,2
434,28.04,11.46,3.89,45.0,64.96,19.95,43.82,2
