,S2_PM10,S2_PM25,S2_SO2,S2_CO,S2_03
306,,,,1131.54,
307,,2.61,,,
308,41.3,,,,
309,,3.08,,,
310,,,,,10.6
311,,,2.13,,
312,30.7,,,,
313,,,,,8.11
314,,,,,9.02
315,,,,1315.96,
316,,5.0,,,
317,,,3.15,,
318,45.2,8.4,3.3,1480.18,8.39
319,33.3,,,,
320,,,,1759.98,
321,52.6,,,,
322,57.4,,,,
323,,7.5,,,
324,,,,1477.31,
325,,,,,10.25
326,,,3.83,,
327,,,,,10.2
328,,3.92,,,
329,44.7,,,,
330,,,,1448.54,
331,,,,1449.27,
332,,,,1605.8,
333,44.5,,,,
334,,,,1434.33,
335,,,,,14.49
336,24.1,,,,
337,22.2,,,,
338,,2.85,,,
339,,,,1361.13,
340,,,,,11.32
341,,2.76,,,
342,27.0,,,,
343,,,3.71,,
344,,,,,13.18
345,,,,,13.54
346,23.7,,,,
347,,,4.55,,
348,,,4.61,,
349,58.7,,,,
350,,,,,9.56
351,,2.24,,,
352,,,3.86,,
353,,,,,8.98
354,,,,1482.87,
355,,4.6,,,
356,,,,1594.46,
357,,,,1540.38,
358,,,,1461.43,
359,,,,,11.74
360,,5.89,,,
361,36.3,,,,
362,,3.77,,,
363,23.9,2.76,2.81,1243.93,12.29
364,43.1,,,,
365,,,3.26,,
366,,,,1273.11,
367,31.0,,,,
368,,7.4,,,
369,,,,,11.6
370,,,,,10.55
371,,7.19,,,
372,,5.03,,,
373,,,,,10.44
374,39.6,,,,
375,,5.95,,,
376,,,,1768.17,
377,,,,1768.61,
378,,3.96,,,
379,,,3.26,,
380,,,,1566.93,
381,,,2.93,,
382,,6.04,,,
383,,,,,7.55
384,,,,,6.59
385,47.1,,,,
386,,18.64,,,
387,56.6,,,,
388,,,,1906.76,
389,,,5.11,,
390,60.0,23.98,5.11,1765.74,13.44
391,,,,1696.81,
392,45.5,,,,
393,43.1,,,,
394,44.3,17.54,4.85,1699.1,10.61
395,,13.69,,,
396,,,7.11,,
397,,,6.77,,
398,,,,2189.43,
399,,,5.07,,
400,,7.84,,,
401,,,3.99,,
402,,,,1940.41,
403,58.1,,,,
404,,,,,7.39
405,,,3.4,,
406,,,3.42,,
407,,,3.5,,
408,,,,,5.99
409,53.3,,,,
410,64.0,,,,
411,,,,,7.88
412,,36.98,,,
413,,,,,10.64
414,,,,1626.09,
415,,,,1699.3,
416,57.7,,,,
417,47.6,,,,
418,,,,,7.26
419,,8.68,,,
420,51.5,8.28,4.66,2293.35,6.07
421,,,,2174.56,
422,,,,,8.85
423,,3.08,,,
424,,,,1881.86,
425,30.6,,,,
426,,,3.41,,
427,23.5,,,,
428,32.3,,,,
429,,,,,10.18
430,,,3.42,,
431,45.3,,,,
432,,,,2122.25,
433,,,,,8.52
434,,14.05,,,
435,,,,,9.02
436,,16.99,,,
437,,12.15,,,
438,47.0,,,,
439,,6.33,,,
440,,,,1737.48,
441,,3.38,,,
442,37.8,,,,
443,,,3.5,,
444,,,,,8.7
445,,,3.15,,
446,20.1,,,,
447,,0.82,,,
448,19.1,,,,
449,,,,,10.93
450,14.1,,,,
451,,0.56,,,
452,11.7,,,,
453,,,2.83,,
454,,0.32,,,
455,,,,,9.25
456,,,,,9.48
457,,6.43,,,
458,,,,,8.76
459,,,,,6.98
460,44.1,,,,
461,,,3.93,,
462,,3.28,,,
463,,,3.83,,
464,,,,2887.71,
465,,6.05,,,
466,,,4.14,,
467,,22.21,,,
468,63.2,,,,
469,,,,,5.8
470,,,,2509.65,
471,,,,2808.81,
472,,9.98,,,
473,,,4.28,,
474,68.8,,,,
475,,,,1826.17,
476,47.5,,,,
477,37.2,,,,
478,36.2,,,,
479,,,,2538.88,
480,,,,2246.94,
481,,3.85,,,
482,50.6,,,,
483,,,,1920.01,
484,,,,,6.06
485,,11.68,,,
486,,,,,6.03
487,,8.56,,,
488,,,,2835.83,
489,,,,,6.81
490,,,6.96,,
491,,17.57,,,
492,,,5.62,,
493,,,,2123.68,
494,,8.33,,,
495,,6.26,,,
496,49.3,,,,
497,41.0,,,,
498,29.8,,,,
