,S14_PM10,S14_PM25,S14_SO2,S14_NO2,S14_NOX,S14_NO,OUT
112,51.15,20.41,5.94,155.03,194.9,39.87,3
113,48.08,28.28,4.8,179.49,294.41,114.92,3
114,44.65,25.74,3.9,145.84,172.58,26.74,4
115,29.66,21.72,5.02,241.69,415.77,174.08,3
116,52.01,25.24,5.21,195.61,343.51,147.9,3
117,66.44,29.21,4.96,142.15,227.49,85.34,3
118,65.09,25.49,5.8,131.71,216.67,84.96,3
119,66.43,20.15,3.44,111.36,183.39,72.03,3
120,58.42,16.31,4.02,102.54,159.35,56.81,3
121,54.03,15.75,3.3,92.1,149.04,56.94,2
122,40.46,11.62,2.24,85.88,132.75,46.87,3
123,35.3,8.91,2.51,103.17,175.93,72.76,2
124,37.4,6.73,2.45,93.19,157.54,64.35,3
125,35.41,4.71,3.9,101.05,182.07,81.02,3
126,36.82,3.33,4.39,122.02,233.89,111.87,3
127,48.47,2.88,5.87,122.83,239.04,116.21,3
128,69.57,3.14,14.22,112.8,192.43,79.63,3
129,83.08,8.68,25.93,97.16,154.82,57.66,3
130,80.79,21.57,19.01,74.67,98.01,23.34,3
131,76.47,26.09,11.42,94.87,122.35,27.48,3
132,63.8,23.33,5.41,87.05,102.99,15.94,3
133,55.03,21.59,3.55,57.65,71.63,13.98,2
134,46.6,18.78,3.42,59.65,87.15,27.5,3
135,35.22,13.39,5.34,156.61,230.8,74.19,4
136,27.76,13.18,5.91,261.75,462.61,200.86,4
137,29.98,20.27,5.11,207.59,343.96,136.37,3
138,39.92,21.99,4.13,112.56,149.39,36.83,3
139,47.3,24.63,4.35,115.73,167.21,51.48,3
140,53.88,32.83,5.07,128.01,212.79,84.78,3
141,52.88,22.98,3.61,113.86,183.27,69.41,3
142,50.96,16.09,3.47,123.38,211.71,88.33,2
143,47.68,10.89,3.57,81.14,107.56,26.42,2
144,39.36,9.99,4.07,90.35,133.88,43.53,2
145,30.32,6.99,2.55,93.24,137.98,44.74,2
146,29.96,7.26,2.47,99.91,149.24,49.33,3
147,31.14,9.08,6.9,110.65,181.87,71.22,3
148,30.08,6.36,4.84,116.61,204.96,88.35,3
149,31.82,4.61,4.19,112.75,196.33,83.58,3
150,51.05,3.74,7.91,123.28,210.35,87.07,3
151,72.69,8.17,14.03,133.42,217.96,84.54,3
152,74.66,20.8,11.72,100.36,146.36,46.0,3
153,71.7,27.18,9.01,92.5,125.38,32.88,3
154,63.3,25.06,5.96,55.86,68.57,12.71,3
155,58.98,23.76,4.43,43.25,57.57,14.32,3
156,55.09,19.17,4.26,50.83,54.83,4.0,2
157,45.49,14.69,3.74,44.26,45.64,1.38,3
158,37.09,10.82,3.81,100.31,101.89,1.58,3
159,31.64,10.35,5.19,199.05,304.39,105.34,4
160,31.54,17.52,5.28,234.78,440.0,205.22,4
161,56.62,32.72,5.53,292.87,605.35,312.48,3
162,77.79,44.61,3.78,131.09,209.7,78.61,3
163,78.4,42.34,4.42,130.76,206.48,75.72,3
164,77.37,39.19,6.68,118.06,172.11,54.05,3
165,67.61,28.81,6.82,112.63,163.29,50.66,3
166,57.62,21.92,9.21,90.39,120.49,30.1,3
167,56.41,19.42,5.08,86.85,125.36,38.51,3
168,50.33,17.04,3.63,86.11,109.33,23.22,4
169,105.64,45.36,9.98,86.55,109.76,23.21,4
170,95.35,45.32,9.03,72.6,96.37,23.77,3
171,86.9,42.85,7.91,53.48,71.7,18.22,3
172,78.55,38.13,6.46,65.49,86.71,21.22,3
173,62.32,32.16,5.21,122.93,159.04,36.11,3
174,57.69,30.55,4.71,183.29,288.21,104.92,4
175,55.74,30.72,4.33,202.65,355.36,152.71,4
