,S9_PM10,S9_SO2,S9_NO2,S9_NOX,S9_NO,OUT
573,19.11,0.74,66.28,77.23,10.95,3
574,23.74,0.67,108.64,130.43,21.79,3
575,22.05,1.12,132.84,177.93,45.09,3
576,17.43,0.74,100.83,122.68,21.85,3
577,19.7,0.71,123.25,180.66,57.41,3
578,28.44,1.86,158.56,272.77,114.21,3
579,58.91,1.0,73.83,88.77,14.94,3
580,45.68,1.46,108.91,172.15,63.24,3
581,42.93,1.76,127.35,204.3,76.95,3
582,38.48,1.34,107.68,157.41,49.73,3
583,37.26,1.31,101.26,145.83,44.57,3
584,36.26,1.31,100.15,137.84,37.69,3
585,44.51,1.36,131.08,209.65,78.57,3
586,41.51,1.66,141.56,230.87,89.31,2
587,41.93,1.32,51.65,68.76,17.11,2
588,40.89,0.97,32.5,45.62,13.12,2
589,40.58,1.06,30.01,42.88,12.87,2
590,29.34,0.96,25.99,36.17,10.18,2
591,25.35,1.15,25.21,35.45,10.24,2
592,34.87,1.59,33.26,40.63,7.37,2
593,35.76,1.63,42.75,49.44,6.69,2
594,27.19,1.57,51.31,57.55,6.24,3
595,17.15,3.06,196.59,347.92,151.33,2
596,49.53,1.47,44.13,52.13,8.0,2
597,37.38,1.66,26.94,32.5,5.56,2
598,34.74,1.56,23.68,28.09,4.41,2
599,25.99,1.46,21.67,25.97,4.3,2
600,29.66,1.6,18.23,23.03,4.8,1
601,23.97,1.51,21.07,25.33,4.26,1
602,17.88,1.56,31.47,35.88,4.41,1
603,17.49,1.6,41.9,48.92,7.02,1
604,20.54,1.87,40.76,46.98,6.22,2
605,27.82,2.23,34.7,42.69,7.99,2
606,29.95,1.86,33.65,41.37,7.72,2
607,28.61,2.05,30.53,37.63,7.1,1
608,24.44,2.04,41.12,48.94,7.82,2
609,31.13,1.85,39.34,47.08,7.74,2
610,34.73,1.85,35.61,42.28,6.67,2
611,42.2,1.49,37.12,42.61,5.49,3
612,50.41,1.7,38.8,45.64,6.84,2
613,48.71,1.82,42.35,48.75,6.4,2
614,49.86,1.7,40.68,46.07,5.39,1
615,11.11,1.47,24.97,32.42,7.45,1
616,12.97,1.34,31.82,40.5,8.68,2
617,26.73,1.73,52.44,61.13,8.69,2
618,20.7,1.57,53.78,63.83,10.05,2
619,20.06,2.0,80.22,91.44,11.22,2
620,21.78,1.89,81.19,94.91,13.72,2
621,16.15,2.04,60.48,68.15,7.67,2
622,12.2,2.5,80.3,96.46,16.16,1
623,18.23,1.6,38.35,43.84,5.49,1
624,14.0,1.7,30.67,35.88,5.21,1
625,10.94,1.67,38.12,42.73,4.61,2
626,12.57,1.54,61.92,70.59,8.67,2
627,10.27,1.81,93.81,128.7,34.89,3
628,20.76,2.49,123.67,203.3,79.63,3
629,34.01,2.46,100.72,161.54,60.82,2
630,46.43,2.05,74.5,104.11,29.61,2
631,45.96,2.08,60.0,75.97,15.97,2
632,49.71,2.34,63.69,78.48,14.79,3
633,63.01,1.98,82.91,98.31,15.4,2
634,44.13,1.85,58.47,68.79,10.32,2
635,46.96,1.61,49.92,59.89,9.97,2
636,29.85,1.51,75.1,87.08,11.98,2
637,26.53,1.66,49.07,57.47,8.4,2
638,24.72,1.71,60.08,68.76,8.68,2
639,18.56,1.71,64.8,74.98,10.18,2
640,26.59,1.66,74.66,91.74,17.08,2
641,19.3,2.24,90.03,115.16,25.13,2
642,19.77,1.97,76.81,89.36,12.55,2
643,27.17,2.26,81.82,103.96,22.14,2
644,21.12,2.13,78.9,100.83,21.93,2
645,30.3,1.99,87.97,132.5,44.53,2
646,29.31,2.15,86.06,126.49,40.43,2
647,29.06,1.93,41.67,53.57,11.9,2
648,29.9,1.79,34.18,42.1,7.92,2
649,25.71,1.76,43.13,51.37,8.24,2
650,28.79,1.7,39.19,48.12,8.93,2
651,40.71,1.82,94.16,134.63,40.47,2
652,31.33,1.72,58.92,72.52,13.6,2
653,23.92,1.57,84.89,103.92,19.03,2
654,17.48,1.5,70.03,82.56,12.53,2
655,17.14,1.51,73.91,86.11,12.2,2
656,17.91,1.52,70.28,83.08,12.8,2
657,13.7,1.61,80.72,96.62,15.9,2
658,19.96,1.84,73.93,86.84,12.91,2
659,15.07,1.74,67.86,79.38,11.52,2
660,12.68,1.54,64.95,76.97,12.02,2
661,18.68,1.47,55.27,64.54,9.27,2
662,13.95,1.66,51.28,59.38,8.1,1
663,15.89,1.6,49.72,56.35,6.63,2
664,14.0,1.71,53.59,61.41,7.82,1
665,24.14,1.92,46.1,52.72,6.62,1
666,21.48,1.86,46.3,54.43,8.13,2
667,16.94,1.85,54.99,67.82,12.83,2
668,15.11,2.31,55.06,73.91,18.85,2
669,23.92,1.97,65.88,92.07,26.19,2
670,32.12,2.24,77.62,114.53,36.91,2
671,29.05,2.13,81.75,115.08,33.33,2
672,33.13,1.95,55.93,76.33,20.4,2
673,33.86,1.89,40.38,52.19,11.81,2
674,32.45,1.88,50.67,58.47,7.8,2
675,24.15,1.61,89.52,108.54,19.02,3
676,26.19,1.66,103.54,123.26,19.72,2
677,22.64,1.75,98.26,117.9,19.64,3
678,16.2,1.85,111.28,143.8,32.52,3
679,16.36,1.95,119.34,158.54,39.2,2
680,30.54,1.94,88.22,130.39,42.17,2
681,28.09,1.61,68.81,86.74,17.93,2
682,20.09,1.29,54.41,66.09,11.68,1
683,11.03,1.28,38.42,47.08,8.66,1
684,18.58,1.41,37.33,46.56,9.23,1
685,15.96,1.15,41.23,51.05,9.82,1
686,11.04,1.35,48.9,56.83,7.93,2
687,8.53,1.24,59.81,68.02,8.21,2
688,14.87,1.44,70.45,86.68,16.23,2
689,15.42,1.37,77.76,98.65,20.89,2
690,11.18,1.57,61.66,71.37,9.71,2
691,17.55,1.46,56.44,63.05,6.61,2
692,14.35,1.55,74.36,85.88,11.52,1
693,17.01,1.3,42.68,47.86,5.18,2
694,12.5,1.86,97.84,135.69,37.85,2
695,31.1,2.25,70.33,96.86,26.53,2
696,28.45,1.99,57.79,75.82,18.03,2
697,25.54,2.06,31.56,39.9,8.34,1
698,15.0,1.79,36.47,43.46,6.99,2
699,25.68,1.61,51.55,57.56,6.01,2
700,19.23,1.76,54.07,58.18,4.11,2
701,16.36,1.77,85.29,99.22,13.93,2
702,16.39,1.82,80.83,93.31,12.48,2
703,17.43,2.03,92.48,111.12,18.64,3
704,13.55,2.33,105.94,132.25,26.31,3
705,10.63,2.16,104.51,130.44,25.93,3
706,18.92,2.24,108.72,147.04,38.32,3
707,20.02,2.55,111.12,158.86,47.74,3
708,14.54,3.32,101.71,134.73,33.02,2
709,21.57,3.07,99.46,128.83,29.37,3
710,25.28,3.51,155.6,292.01,136.41,3
711,46.99,3.74,168.09,289.61,121.52,2
712,36.53,2.62,53.6,67.89,14.29,1
713,20.81,2.45,37.0,43.44,6.44,2
714,21.07,2.54,52.71,60.36,7.65,3
715,63.98,4.45,128.0,190.57,62.57,3
716,67.58,3.26,90.09,116.73,26.64,3
717,67.29,3.36,99.62,135.88,36.26,3
718,56.88,4.26,141.05,207.02,65.97,3
719,57.48,2.82,59.27,69.17,9.9,2
720,46.17,2.8,98.47,115.99,17.52,2
721,40.8,2.65,87.29,99.96,12.67,2
722,43.01,2.45,92.15,105.08,12.93,2
723,33.81,2.27,76.02,85.2,9.18,2
724,35.52,2.52,79.42,90.56,11.14,2
725,34.47,2.32,74.99,87.95,12.96,2
726,23.42,2.4,59.57,65.5,5.93,2
727,27.96,2.37,63.94,70.28,6.34,2
728,31.03,2.88,41.17,49.72,8.55,2
729,34.66,2.23,45.48,54.26,8.78,2
730,27.42,2.41,41.21,51.12,9.91,2
731,25.06,2.21,76.1,96.87,20.77,2
732,29.01,2.39,90.92,128.55,37.63,2
733,21.87,2.82,96.02,140.0,43.98,2
734,32.28,2.64,96.93,145.98,49.05,2
735,38.84,2.34,88.46,127.38,38.92,2
736,31.09,2.67,68.22,85.13,16.91,2
737,25.16,2.84,60.42,68.11,7.69,3
738,16.97,3.54,100.75,172.01,71.26,2
739,23.49,3.71,67.23,98.22,30.99,2
740,27.57,3.85,72.8,107.88,35.08,2
741,37.93,3.31,56.39,72.58,16.19,2
742,30.64,2.84,51.57,66.33,14.76,2
743,29.03,2.88,57.74,73.51,15.77,2
744,30.04,2.56,42.45,52.43,9.98,1
745,22.39,2.67,47.4,56.03,8.63,2
746,20.41,2.53,51.38,60.49,9.11,2
747,30.22,2.6,43.88,51.1,7.22,3
748,28.61,2.61,113.83,129.83,16.0,3
749,34.31,3.07,164.78,260.05,95.27,2
750,28.2,2.64,86.36,113.99,27.63,2
751,38.71,2.54,84.88,119.36,34.48,2
752,30.51,2.58,81.17,109.82,28.65,2
753,46.6,2.65,57.8,75.76,17.96,2
754,41.6,2.25,53.33,71.1,17.77,2
755,37.6,2.33,44.37,57.48,13.11,2
756,28.06,2.48,26.36,34.17,7.81,2
757,25.6,2.26,32.23,41.35,9.12,1
758,20.62,2.33,32.51,41.26,8.75,1
759,17.8,2.45,31.12,38.97,7.85,1
760,16.78,2.27,31.21,38.41,7.2,1
761,12.4,2.41,33.2,39.04,5.84,1
762,19.94,2.18,43.67,48.84,5.17,3
763,26.05,2.53,104.73,119.08,14.35,3
764,22.3,2.53,147.5,206.71,59.21,3
765,50.3,3.23,162.21,276.45,114.24,2
766,32.05,2.36,70.82,78.62,7.8,2
767,21.29,2.35,64.48,70.18,5.7,2
768,17.88,2.34,83.72,103.15,19.43,3
769,19.21,2.91,118.03,196.12,78.09,2
770,37.69,2.51,94.37,136.51,42.14,2
771,30.58,2.61,86.16,120.72,34.56,2
772,26.05,2.49,66.17,88.05,21.88,2
773,27.97,2.39,33.29,43.13,9.84,2
774,27.83,2.09,46.59,55.99,9.4,1
775,1.0,2.38,45.76,50.37,4.61,1
776,4.46,2.43,46.09,50.41,4.32,1
777,9.67,2.29,43.01,46.66,3.65,2
778,8.77,2.32,57.01,61.03,4.02,1
779,16.39,2.96,35.21,38.11,2.9,1
780,18.1,2.98,31.82,33.86,2.04,1
781,13.52,3.08,27.46,30.4,2.94,1
782,19.03,3.06,27.86,30.66,2.8,1
783,19.79,3.97,36.94,40.62,3.68,1
784,17.78,3.58,45.49,52.07,6.58,1
785,15.99,3.28,48.99,60.16,11.17,1
786,19.91,3.01,37.43,46.62,9.19,1
787,14.07,3.66,25.67,31.65,5.98,1
788,13.58,3.75,40.48,49.16,8.68,1
789,17.73,3.4,43.76,51.8,8.04,1
790,15.44,2.86,32.71,38.62,5.91,1
791,19.68,3.08,46.26,54.3,8.04,2
792,21.54,2.85,55.34,62.74,7.4,1
793,16.36,2.9,49.06,54.21,5.15,2
794,16.64,2.79,54.77,59.31,4.54,2
795,12.14,2.82,65.46,72.19,6.73,2
796,16.87,2.89,50.28,54.3,4.02,1
797,15.64,2.82,46.47,50.87,4.4,2
798,15.81,3.34,69.7,75.68,5.98,2
799,16.89,3.72,57.63,61.65,4.02,2
800,18.97,4.06,52.69,56.59,3.9,2
801,29.79,3.41,52.46,56.5,4.04,1
802,23.17,3.18,48.42,52.1,3.68,2
803,17.08,3.23,59.26,63.94,4.68,2
804,22.06,4.1,59.98,64.65,4.67,2
805,17.83,4.59,68.67,80.98,12.31,2
806,24.59,4.42,67.38,87.38,20.0,1
807,20.78,4.03,38.63,46.34,7.71,1
808,11.47,3.9,30.32,38.65,8.33,1
809,13.52,3.79,44.16,51.99,7.83,2
810,13.64,3.35,72.5,81.0,8.5,2
811,10.89,3.47,69.52,74.32,4.8,2
812,20.59,3.59,72.53,77.75,5.22,2
813,19.56,3.91,66.18,73.65,7.47,2
814,19.56,3.91,66.18,73.65,7.47,2
815,25.09,5.36,38.64,42.12,3.48,2
816,26.02,5.03,64.02,70.08,6.06,2
817,23.91,5.17,69.44,76.35,6.91,2
818,33.16,4.85,78.61,86.35,7.74,3
819,30.76,4.31,115.05,178.69,63.64,2
820,42.12,3.8,29.3,37.39,8.09,2
821,42.23,3.53,25.84,32.86,7.02,2
822,32.08,3.59,27.88,34.93,7.05,2
823,35.43,3.53,28.44,35.5,7.06,2
824,29.85,3.56,34.29,41.08,6.79,1
825,22.27,3.55,40.86,46.65,5.79,2
826,30.96,3.42,56.98,65.02,8.04,2
827,27.44,3.56,64.42,69.32,4.9,2
828,25.42,3.43,60.09,65.47,5.38,2
829,27.31,3.2,53.11,58.79,5.68,2
830,32.99,3.25,57.71,64.86,7.15,2
831,8.7,2.74,55.18,70.96,15.78,1
832,13.02,5.21,32.1,36.06,3.96,1
833,15.15,4.85,41.88,47.02,5.14,1
834,14.29,4.04,41.47,49.37,7.9,1
835,16.42,4.36,37.94,47.52,9.58,1
836,13.01,5.22,25.88,32.74,6.86,1
837,14.1,4.15,28.41,35.66,7.25,1
838,20.85,2.9,27.88,34.69,6.81,1
839,20.93,2.67,24.35,31.64,7.29,1
840,21.05,2.96,27.49,33.11,5.62,1
841,17.7,2.84,29.29,35.24,5.95,1
842,17.54,3.05,38.63,43.02,4.39,2
843,15.67,2.8,54.72,60.08,5.36,2
844,16.66,3.17,65.08,81.25,16.17,3
845,14.81,3.69,130.98,186.33,55.35,2
846,18.92,3.36,77.76,99.87,22.11,3
847,16.43,3.33,103.3,139.08,35.78,3
848,26.51,3.48,119.38,179.44,60.06,2
849,22.59,3.32,88.63,110.28,21.65,2
850,19.01,3.19,77.27,90.39,13.12,2
851,13.76,2.98,69.45,78.47,9.02,2
852,12.67,3.24,67.91,79.13,11.22,2
853,15.22,3.33,64.42,74.88,10.46,2
854,17.84,3.89,57.67,69.27,11.6,2
855,20.77,4.17,65.6,89.02,23.42,2
856,22.33,3.9,66.03,91.04,25.01,2
857,22.88,3.76,60.73,82.25,21.52,2
858,25.06,3.31,44.3,58.53,14.23,1
859,23.77,3.3,43.04,54.98,11.94,1
860,17.67,3.44,32.8,41.67,8.87,1
861,13.03,3.33,26.34,32.56,6.22,3
862,50.95,4.24,58.08,70.74,12.66,2
863,36.52,4.24,48.65,58.63,9.98,2
864,26.62,3.96,58.57,68.73,10.16,2
865,18.78,4.16,56.52,67.14,10.62,2
866,25.01,3.87,72.08,81.42,9.34,2
867,24.36,4.05,55.19,61.66,6.47,2
868,26.09,3.75,61.97,69.62,7.65,2
869,37.44,3.93,60.08,67.27,7.19,2
870,26.98,3.54,55.74,61.86,6.12,1
871,19.93,3.71,33.88,38.12,4.24,1
872,21.01,3.66,28.3,31.58,3.28,1
873,15.0,3.52,23.78,26.37,2.59,1
874,17.68,3.72,26.79,29.97,3.18,1
875,12.75,3.52,23.66,26.36,2.7,1
876,9.16,3.53,29.75,32.25,2.5,1
877,11.05,3.67,31.16,33.85,2.69,1
878,22.47,3.68,42.14,47.1,4.96,1
879,17.77,3.77,44.59,52.39,7.8,1
880,12.5,3.68,38.0,44.73,6.73,1
881,15.83,3.15,21.72,24.72,3.0,1
882,15.89,2.89,25.84,30.57,4.73,1
883,12.89,3.31,32.5,36.33,3.83,2
884,13.89,2.98,53.84,59.33,5.49,1
885,16.26,2.73,47.94,51.77,3.83,2
886,20.72,2.64,59.18,66.01,6.83,2
887,14.51,2.88,64.87,68.63,3.76,2
888,10.84,2.88,83.73,95.88,12.15,2
889,9.69,2.9,54.14,57.07,2.93,1
890,12.94,2.81,47.49,49.55,2.06,1
891,23.01,2.73,47.99,51.98,3.99,1
892,17.34,2.84,30.91,32.19,1.28,1
893,12.74,2.51,27.1,27.82,0.72,1
894,10.7,2.5,28.5,28.98,0.48,1
895,8.73,2.63,30.58,31.19,0.61,1
896,8.5,2.62,43.96,45.6,1.64,1
897,10.26,2.41,48.23,53.68,5.45,1
898,16.41,2.63,49.72,61.19,11.47,1
899,17.83,2.55,27.69,34.03,6.34,1
900,13.56,2.81,24.88,30.71,5.83,1
901,13.45,2.91,25.74,30.67,4.93,1
902,10.82,3.32,27.4,33.25,5.85,1
903,13.06,4.48,26.22,32.28,6.06,1
904,23.14,4.07,25.21,30.07,4.86,1
905,16.81,3.8,44.79,52.99,8.2,2
906,11.81,3.29,70.6,86.29,15.69,2
907,16.92,3.29,59.86,65.82,5.96,2
908,21.02,3.28,75.75,87.38,11.63,2
909,14.98,3.59,71.38,80.21,8.83,2
910,27.45,3.0,60.35,66.55,6.2,2
911,19.93,2.83,62.25,69.06,6.81,2
912,15.52,2.88,61.69,67.45,5.76,2
913,22.06,2.94,52.15,55.81,3.66,1
914,16.62,2.97,33.63,36.0,2.37,1
915,12.84,2.82,30.11,32.55,2.44,1
916,9.02,2.85,25.79,28.0,2.21,1
917,12.25,2.65,24.93,25.75,0.82,1
918,9.07,2.74,32.57,34.17,1.6,1
919,6.53,2.86,41.46,44.88,3.42,1
920,5.62,2.93,42.26,51.98,9.72,1
921,17.82,3.26,32.2,40.78,8.58,1
922,19.81,3.05,25.37,31.74,6.37,1
923,5.98,3.36,41.57,46.75,5.18,2
924,11.93,3.41,70.68,76.21,5.53,3
925,18.82,3.5,120.25,149.37,29.12,3
926,17.89,3.59,132.87,174.97,42.1,3
927,36.02,4.3,169.2,268.85,99.65,3
928,41.96,4.21,143.71,226.6,82.89,2
929,36.88,3.28,73.17,83.36,10.19,2
930,33.61,3.33,57.68,64.55,6.87,2
931,26.28,3.15,65.93,74.18,8.25,2
932,19.45,3.14,95.15,119.98,24.83,3
933,19.88,3.65,115.92,179.81,63.89,3
934,23.09,3.59,114.12,185.03,70.91,3
935,27.29,3.37,104.52,166.31,61.79,2
936,35.49,3.74,96.55,151.74,55.19,3
937,38.0,3.65,105.47,169.4,63.93,2
938,37.27,3.75,99.54,153.51,53.97,2
939,33.74,3.47,32.45,43.04,10.59,2
940,30.94,3.33,22.2,28.8,6.6,2
941,28.59,3.31,21.88,28.19,6.31,2
942,33.29,3.34,21.38,27.29,5.91,2
943,28.68,3.4,18.83,24.18,5.35,1
944,24.54,3.35,19.8,24.78,4.98,1
945,19.76,3.31,16.15,19.93,3.78,1
946,19.92,3.17,22.28,26.43,4.15,2
947,38.56,3.59,50.81,64.55,13.74,2
948,36.69,3.45,28.19,33.95,5.76,2
949,28.99,2.97,29.24,34.82,5.58,2
950,33.43,2.95,40.66,46.72,6.06,2
951,35.63,3.1,54.21,63.95,9.74,2
952,29.18,3.03,69.35,79.98,10.63,3
953,22.72,3.53,146.0,211.52,65.52,3
954,41.77,4.41,176.11,299.06,122.95,3
955,49.52,4.15,165.0,276.04,111.04,3
956,55.06,4.3,115.11,161.17,46.06,3
957,53.92,4.15,84.79,100.45,15.66,3
958,55.24,3.29,83.06,96.57,13.51,2
959,49.51,3.43,77.51,87.65,10.14,2
960,49.85,3.43,93.02,121.03,28.01,2
961,42.61,3.32,80.14,92.92,12.78,2
962,30.79,3.19,59.03,62.8,3.77,2
963,30.08,3.37,69.24,74.13,4.89,2
964,32.17,3.24,73.56,90.11,16.55,2
965,35.92,3.51,96.83,141.28,44.45,3
966,36.92,3.93,116.88,192.42,75.54,2
967,36.03,2.91,27.81,35.19,7.38,2
968,29.09,2.89,26.76,33.14,6.38,2
969,33.16,2.7,25.18,31.05,5.87,2
970,32.79,2.93,23.78,29.33,5.55,2
971,31.4,2.84,31.63,38.08,6.45,2
972,32.91,2.65,29.39,35.67,6.28,2
973,33.22,2.87,41.7,47.63,5.93,2
974,29.73,2.95,50.67,56.57,5.9,2
975,27.52,2.91,87.66,99.8,12.14,3
976,30.72,3.03,110.04,135.02,24.98,3
977,33.93,3.18,111.45,139.74,28.29,3
978,42.65,3.15,114.2,148.08,33.88,3
979,37.87,3.14,109.93,140.68,30.75,3
980,30.64,2.58,108.9,141.17,32.27,2
981,38.57,2.62,56.73,60.38,3.65,2
982,35.24,2.6,68.02,74.17,6.15,2
983,25.34,2.63,66.17,74.36,8.19,2
984,25.79,2.54,58.62,65.6,6.98,2
985,22.23,2.49,56.25,64.8,8.55,2
986,25.44,2.9,75.62,109.45,33.83,2
987,27.14,3.02,76.81,111.84,35.03,2
988,29.69,3.07,75.17,109.73,34.56,2
989,32.7,2.89,56.88,77.7,20.82,2
990,38.98,3.06,53.28,68.51,15.23,2
991,40.49,3.11,37.0,46.01,9.01,2
992,36.3,3.06,22.48,27.83,5.35,2
993,36.55,3.05,22.99,27.7,4.71,2
994,34.62,2.66,25.06,29.97,4.91,2
995,35.66,2.96,29.8,34.48,4.68,2
996,34.59,2.8,29.39,33.42,4.03,2
997,30.41,2.83,39.37,43.25,3.88,2
998,31.86,2.86,48.61,51.32,2.71,2
999,28.12,3.0,99.9,109.03,9.13,2
1000,32.2,2.88,89.97,96.31,6.34,2
1001,31.59,2.77,73.5,79.79,6.29,2
1002,27.33,2.59,73.62,81.58,7.96,2
1003,26.15,2.62,54.63,59.2,4.57,2
1004,39.44,2.54,37.04,39.84,2.8,2
1005,35.92,2.65,52.84,55.85,3.01,2
1006,32.17,2.64,66.02,69.0,2.98,2
1007,36.29,2.55,55.79,58.49,2.7,2
1008,31.35,2.55,29.34,30.01,0.67,1
1009,23.42,2.36,35.55,38.62,3.07,1
1010,24.85,2.76,46.8,54.12,7.32,1
1011,24.32,3.0,45.11,55.57,10.46,1
1012,19.81,3.5,38.2,47.47,9.27,1
1013,16.58,3.98,33.73,41.88,8.15,1
1014,22.79,3.47,27.9,34.41,6.51,1
1015,23.58,3.41,26.45,32.18,5.73,1
1016,24.7,2.94,24.89,30.2,5.31,2
1017,25.56,3.07,26.12,30.11,3.99,1
1018,21.64,3.01,22.37,25.99,3.62,1
1019,22.11,2.96,19.27,22.34,3.07,1
1020,18.95,3.13,22.49,26.2,3.71,1
1021,18.6,2.81,24.89,27.77,2.88,1
1022,15.1,2.69,27.06,29.58,2.52,1
1023,13.25,2.69,26.8,29.2,2.4,1
1024,10.41,2.73,36.59,39.26,2.67,2
1025,14.04,2.75,56.24,59.42,3.18,2
1026,12.97,2.83,67.4,73.48,6.08,2
1027,9.85,2.62,86.36,105.23,18.87,2
1028,12.28,2.45,59.89,64.47,4.58,1
1029,11.48,2.7,47.58,50.2,2.62,1
1030,12.33,2.68,48.67,51.72,3.05,1
1031,20.15,2.76,28.29,30.85,2.56,1
1032,18.53,2.77,29.22,31.78,2.56,1
1033,18.91,2.65,28.5,30.92,2.42,1
1034,20.75,2.6,25.99,28.12,2.13,1
1035,18.59,2.82,19.88,21.51,1.63,1
1036,19.05,2.97,19.36,23.18,3.82,1
1037,16.84,2.9,16.47,20.52,4.05,1
1038,21.41,2.64,15.89,19.39,3.5,1
1039,24.35,2.93,15.63,19.63,4.0,1
1040,22.99,2.86,16.64,20.59,3.95,1
1041,23.8,2.55,18.08,21.86,3.78,1
1042,22.87,2.67,17.81,21.85,4.04,1
1043,17.95,2.52,19.88,23.57,3.69,1
1044,13.67,2.67,21.16,23.98,2.82,1
1045,10.54,2.71,33.1,35.62,2.52,1
1046,12.38,3.09,36.6,40.03,3.43,1
1047,14.14,3.04,35.43,36.8,1.37,1
1048,20.84,2.8,37.09,39.43,2.34,2
1049,19.24,2.97,55.01,57.81,2.8,2
1050,15.99,2.63,52.43,55.55,3.12,1
1051,15.3,2.5,43.6,46.05,2.45,1
1052,12.49,2.4,29.25,31.49,2.24,1
1053,12.91,2.6,21.42,23.45,2.03,1
1054,19.86,2.9,19.81,20.34,0.53,1
1055,18.23,2.85,20.58,20.82,0.24,1
1056,13.77,2.58,22.95,23.55,0.6,1
1057,21.02,2.9,31.05,33.81,2.76,2
1058,25.24,2.88,20.57,22.82,2.25,2
1059,25.97,2.85,17.22,21.36,4.14,2
1060,32.47,3.04,16.25,20.49,4.24,2
1061,27.98,2.86,15.44,19.42,3.98,1
1062,20.39,2.79,14.23,17.93,3.7,1
1063,21.33,2.72,14.9,18.84,3.94,1
1064,18.54,2.77,15.06,19.04,3.98,1
1065,16.84,2.69,15.22,18.93,3.71,1
1066,24.39,2.7,17.2,20.43,3.23,2
1067,27.11,2.58,17.8,20.77,2.97,1
1068,21.23,2.81,23.04,25.65,2.61,1
1069,19.69,3.19,41.82,44.87,3.05,2
1070,16.11,2.99,59.47,61.78,2.31,3
1071,17.19,3.3,103.98,126.62,22.64,2
1072,31.62,3.41,83.7,92.7,9.0,2
1073,36.47,3.35,64.46,69.44,4.98,2
1074,42.13,3.5,52.28,55.92,3.64,2
1075,34.79,3.59,57.18,58.64,1.46,2
1076,30.19,3.14,64.06,71.52,7.46,2
1077,36.43,3.48,64.95,75.16,10.21,2
1078,37.39,3.31,53.89,58.48,4.59,2
1079,31.63,3.33,47.34,52.04,4.7,2
1080,28.23,3.51,35.13,39.83,4.7,2
1081,26.72,3.54,34.16,39.37,5.21,2
1082,27.77,3.54,36.47,44.94,8.47,2
1083,28.33,3.69,45.91,55.08,9.17,1
1084,23.04,3.23,37.84,43.1,5.26,2
1085,30.34,3.2,45.47,53.99,8.52,2
1086,29.71,3.28,35.71,43.12,7.41,1
1087,22.44,3.03,29.53,37.51,7.98,1
1088,16.38,3.24,33.08,38.83,5.75,1
1089,11.89,3.33,37.57,43.5,5.93,2
1090,10.75,3.2,50.96,56.48,5.52,1
1091,15.99,3.08,40.44,43.17,2.73,1
1092,19.72,3.0,48.91,53.12,4.21,2
1093,16.29,3.07,75.81,85.55,9.74,2
1094,22.24,3.08,50.99,55.01,4.02,2
1095,22.58,2.95,63.35,71.24,7.89,2
1096,20.0,3.24,92.97,120.48,27.51,2
1097,16.43,3.04,78.69,90.92,12.23,2
1098,12.58,2.96,55.52,60.76,5.24,1
1099,11.89,3.13,43.53,45.58,2.05,1
1100,10.42,3.18,44.75,46.26,1.51,1
1101,11.07,3.38,45.8,47.83,2.03,2
1102,9.22,3.12,60.32,67.76,7.44,2
1103,6.55,3.67,62.9,76.04,13.14,1
1104,21.34,4.09,45.26,58.1,12.84,1
1105,21.93,4.25,37.77,49.85,12.08,2
1106,25.99,4.27,40.89,54.12,13.23,1
1107,23.91,4.01,27.22,34.61,7.39,1
1108,24.86,3.64,23.66,29.25,5.59,1
1109,23.26,3.36,19.98,24.55,4.57,1
1110,22.45,3.27,21.7,25.54,3.84,1
1111,18.61,3.32,21.31,26.17,4.86,1
1112,14.26,3.19,25.96,30.56,4.6,1
1113,10.48,3.4,31.4,36.64,5.24,1
1114,7.96,3.4,38.61,44.23,5.62,2
1115,5.81,3.37,58.15,62.03,3.88,2
1116,5.59,3.1,98.5,112.19,13.69,3
1117,4.53,3.05,100.51,115.74,15.23,3
1118,13.26,3.23,122.76,154.0,31.24,3
1119,23.94,3.43,142.79,207.06,64.27,3
1120,25.67,3.79,159.21,259.07,99.86,3
1121,27.37,3.65,142.47,221.73,79.26,3
1122,27.53,3.61,136.48,214.89,78.41,3
1123,31.51,3.29,101.95,144.51,42.56,3
1124,39.46,3.31,110.93,174.06,63.13,2
1125,36.3,3.26,91.29,125.64,34.35,2
1126,27.81,3.05,80.23,106.17,25.94,1
1127,17.87,2.85,28.8,36.21,7.41,1
1128,19.31,2.47,25.49,31.13,5.64,1
1129,15.95,2.68,24.11,29.38,5.27,1
1130,16.04,2.49,23.76,28.59,4.83,1
1131,13.9,2.74,27.01,30.0,2.99,1
1132,15.47,2.6,28.56,31.41,2.85,1
1133,1.5,2.5,30.66,34.77,4.11,1
1134,5.04,2.43,35.02,39.11,4.09,1
1135,6.1,2.41,30.39,32.83,2.44,1
1136,4.38,2.31,28.09,30.09,2.0,1
1137,4.44,2.18,27.71,29.51,1.8,1
1138,5.99,2.17,27.19,28.88,1.69,1
1139,5.69,2.22,32.55,34.5,1.95,1
1140,8.35,2.63,30.52,32.54,2.02,1
1141,10.57,2.54,24.29,26.12,1.83,1
1142,14.16,2.45,31.51,33.57,2.06,2
1143,16.52,2.72,51.76,55.21,3.45,1
1144,15.89,2.66,40.38,43.21,2.83,1
1145,14.68,2.72,37.28,39.85,2.57,2
1146,12.36,2.9,52.45,58.76,6.31,2
1147,11.22,3.26,54.78,63.0,8.22,1
