,S9_PM10,S9_SO2,S9_NO2,S9_NOX,S9_NO,OUT
131,71.74,2.65,95.2,132.42,37.22,3
132,72.17,2.32,59.79,75.55,15.76,3
133,67.33,2.12,18.19,29.44,11.25,2
134,46.53,2.01,27.72,48.69,20.97,2
135,32.37,2.24,53.49,78.14,24.65,2
136,22.71,1.93,91.05,121.09,30.04,3
137,27.74,2.46,117.72,159.29,41.57,3
138,33.87,3.5,157.82,259.19,101.37,3
139,28.83,4.67,178.67,326.26,147.59,4
140,48.3,4.96,201.26,392.13,190.87,3
141,62.63,4.8,188.06,373.45,185.39,3
142,66.62,4.01,172.88,335.64,162.76,3
143,60.94,2.86,116.32,198.98,82.66,3
144,56.71,2.6,103.56,166.97,63.41,3
145,52.77,2.43,71.63,141.06,69.43,3
146,50.72,2.75,74.66,184.77,110.11,3
147,48.0,2.32,108.15,182.81,74.66,3
148,35.39,2.42,113.44,196.77,83.33,3
149,43.41,2.73,119.37,217.26,97.89,3
150,40.03,2.9,148.29,287.67,139.38,3
151,45.37,3.39,151.5,287.83,136.33,3
152,51.17,3.2,67.25,91.81,24.56,3
153,50.34,3.16,71.26,92.26,21.0,3
154,51.94,3.0,74.06,95.28,21.22,2
155,47.31,3.23,46.62,54.3,7.68,2
156,41.46,3.39,50.8,55.66,4.86,2
157,37.86,3.56,57.45,61.18,3.73,2
158,34.03,3.3,63.13,64.62,1.49,3
159,34.09,4.14,114.52,212.89,98.37,4
160,41.6,6.03,225.22,426.54,201.32,4
161,62.08,4.78,261.02,520.45,259.43,4
162,60.62,4.88,293.47,616.06,322.59,3
163,63.23,5.15,112.52,401.79,289.27,4
164,87.52,4.45,214.5,436.8,222.3,4
165,93.45,4.21,196.19,395.19,199.0,4
166,93.7,3.74,154.06,288.82,134.76,3
167,86.29,3.59,134.89,241.43,106.54,3
168,78.32,3.17,123.52,211.75,88.23,4
169,94.92,5.41,75.94,108.68,32.74,4
170,92.06,4.63,64.09,78.26,14.17,3
171,84.93,4.12,42.86,55.36,12.5,3
172,73.47,3.35,29.55,50.32,20.77,3
173,61.06,2.94,50.38,71.61,21.23,3
174,43.43,3.41,137.55,196.8,59.25,3
175,55.36,3.83,193.12,337.89,144.77,3
176,49.52,3.4,164.89,270.83,105.94,4
177,35.47,4.41,215.48,405.24,189.76,3
178,45.23,4.1,128.26,203.08,74.82,3
179,52.63,3.4,96.13,130.98,34.85,2
180,42.54,2.51,50.94,56.57,5.63,2
181,35.55,2.45,38.55,49.57,11.02,2
182,40.38,2.17,36.49,52.3,15.81,2
183,34.83,2.01,37.43,58.3,20.87,2
184,35.26,2.08,42.05,62.9,20.85,2
185,33.75,2.22,43.98,66.69,22.71,2
186,31.42,3.76,99.45,166.97,67.52,3
187,31.84,3.17,123.27,232.7,109.43,3
188,39.48,4.33,150.65,297.42,146.77,3
189,51.1,5.07,128.82,239.17,110.35,3
190,53.97,4.67,79.27,182.46,103.19,3
191,69.46,3.66,59.42,75.3,15.88,3
192,54.5,2.9,81.2,100.58,19.38,3
