,S15_PM10,S15_SO2,S15_NO2,S15_NOX,S15_NO,S15_O3
283,,,,,,25.74
284,,,,25.9,,
285,,2.01,,,,
286,,,,,,24.3
287,,,,,,24.88
288,,,,,3.09,
289,,1.13,,,,
290,,2.19,,,,
291,,,17.69,,,
292,,,14.12,,,
293,,,,9.47,,
294,,2.17,,,,
295,,,15.93,,,
296,,,,15.66,,
297,,2.76,,,,
298,,,13.29,,,
299,,2.85,,,,
300,,,8.63,,,
301,,,9.77,,,
302,,,,,,19.29
303,4.0,,,,,
304,,,,,4.3,
305,,,,,,23.52
306,,2.72,,,,
307,,5.05,,,,
308,3.27,,,,,
309,,,,,,21.67
310,,6.28,,,,
311,,,15.45,,,
312,,,,18.84,,
313,8.74,,,,,
314,,,27.42,,,
315,,,,30.7,,
316,,,,,7.57,
317,,,,44.68,,
318,,,44.41,,,
319,,,81.3,,,
320,30.06,,,,,
321,33.53,,,,,
322,29.29,,,,,
323,,,,,,20.6
324,,5.22,,,,
325,,,,,8.01,
326,,,,,,19.87
327,,,37.78,,,
328,,4.32,,,,
329,,,,50.54,,
330,,,36.42,,,
331,,,,58.36,,
332,9.09,,,,,
333,6.41,,,,,
334,,,,28.45,,
335,12.47,,,,,
336,,,,,3.88,
337,,,,40.43,,
338,,,,,,15.27
339,,,,,4.4,
340,,5.18,,,,
341,,6.35,,,,
342,,,,,6.67,
343,2.92,,,,,
344,,,,27.44,,
345,,,,22.7,,
346,,,16.4,,,
347,,,,,5.84,
348,,,,,,25.4
349,,,22.48,,,
350,,,,,13.91,
351,11.58,,,,,
352,,,,88.9,,
353,,,,68.88,,
354,,,38.8,,,
355,,4.85,,,,
356,,,,42.92,,
357,,,,25.62,,
358,,4.45,,,,
359,,,13.37,,,
360,,4.57,,,,
361,,,14.63,,,
362,,,14.45,,,
363,,4.01,,,,
364,,4.11,,,,
365,,,,,,24.43
366,,,,,6.36,
367,,,,,,25.49
368,,,,,,25.14
369,,,,,5.19,
370,,5.75,,,,
371,5.92,,,,,
372,16.97,,,,,
373,,,53.15,,,
374,,,43.57,,,
375,,,,,,15.09
376,16.06,,,,,
377,,5.59,,,,
378,,,,206.13,,
379,,8.67,,,,
380,,,,82.72,,
381,,,64.03,,,
382,39.57,,,,,
383,,,,,,10.65
384,,,,105.72,,
385,,5.64,,,,
386,,,,,17.26,
387,,,,,14.19,
388,,,,,21.98,
389,,,,,11.38,
390,,,,28.79,,
391,,,,,,21.85
392,,,,,9.46,
393,,,,,6.64,
394,,,,,7.12,
395,,,20.89,,,
396,,7.76,,,,
397,,,,,36.57,
398,,,153.2,,,
399,,,,255.68,,
400,,,,86.49,,
401,,13.26,,,,
402,,,,192.15,,
403,,9.44,,,,
404,,9.01,,,,
405,,,82.03,,,
406,,,,63.94,,
407,,,,181.92,,
408,,,,,,3.96
409,,9.99,,,,
410,,,,,112.16,
411,,,34.6,,,
412,,,31.72,,,
413,50.69,6.13,17.22,25.98,8.76,14.54
414,,,,,,15.38
415,39.23,,,,,
416,,,,,7.88,
417,,,23.43,,,
418,,,,39.5,,
419,,6.98,,,,
420,17.62,5.6,47.51,61.31,13.8,10.26
421,,4.32,,,,
422,32.4,,,,,
423,,,,39.3,,
424,,5.68,,,,
425,19.97,,,,,
426,,,14.33,,,
427,,,,,,12.26
428,,,,,,12.31
429,,,,18.09,,
430,14.83,,,,,
431,,,,,,8.64
432,19.98,,,,,
433,,,,,10.65,
434,,,24.25,,,
435,12.76,,,,,
436,,,,,,15.18
437,15.49,,,,,
438,,,,22.69,,
439,,,,,,15.87
440,,,,,8.53,
441,,3.94,,,,
442,,,,,,14.29
443,,,17.9,,,
444,,,,23.86,,
445,,,15.59,,,
446,,,,26.26,,
447,1.06,,,,,
448,,,,,,15.96
449,,,,13.44,,
450,,1.73,,,,
451,,,25.57,,,
452,,,,19.97,,
453,0.48,,,,,
454,,2.71,,,,
455,,2.83,,,,
456,,,,,9.63,
457,8.2,,,,,
458,,,,,6.88,
459,4.9,,,,,
460,,3.21,,,,
461,,,,39.9,,
462,,,19.78,,,
463,,,47.14,,,
464,,,47.6,,,
465,,,,27.32,,
466,,,,31.12,,
467,,1.39,,,,
468,7.37,,,,,
469,,1.2,,,,
470,,,,24.6,,
471,,,,47.89,,
472,,,,,71.15,
473,,,,236.12,,
474,32.2,,,,,
475,27.49,,,,,
476,21.98,,,,,
477,,4.07,,,,
478,,4.47,,,,
479,,,,58.22,,
480,,,,86.7,,
481,,,47.07,,,
482,17.25,,,,,
483,,,,,,3.69
484,,,,147.38,,
485,20.83,,,,,
486,,,110.02,,,
487,,,,,148.16,
488,,,205.07,,,
489,63.68,,,,,
490,65.56,12.85,33.92,48.14,14.22,12.98
491,,17.91,,,,
492,40.1,,,,,
493,,,,38.86,,
494,,6.08,,,,
495,21.56,,,,,
496,,,,,,12.28
497,,,30.58,,,
498,,,,,,10.56
499,5.92,,,,,
500,,,,,,6.42
501,,,,,42.66,
502,,,,,,10.54
503,,,,,11.84,
504,,,16.37,,,
505,,,,,,18.6
506,,,,49.44,,
507,,,,,5.43,
508,,,43.1,,,
509,,,39.13,,,
510,,,,,,10.44
511,,5.32,,,,
512,,,20.29,,,
513,,,,,,10.23
514,,5.39,,,,
515,,,,29.97,,
516,7.79,,,,,
517,,,,33.65,,
518,,4.95,,,,
519,6.67,,,,,
520,,5.66,,,,
521,18.98,4.28,16.94,24.4,7.46,16.45
522,,,,,,16.49
523,,,22.34,,,
524,23.52,3.06,23.22,31.21,7.99,17.03
525,,,,,,15.62
526,,,,68.3,,
527,,,,156.25,,
528,53.08,,,,,
529,,,35.01,,,
530,,,,,,7.35
531,,,71.24,,,
532,,4.7,,,,
533,,,,81.21,,
534,,,,,,11.55
535,,,,,,11.5
536,,,,,,10.76
537,,3.36,,,,
538,,3.16,,,,
539,,,212.61,,,
540,,,244.44,,,
541,,,,,106.98,
542,,,26.26,,,
543,,,,41.95,,
544,,,,206.24,,
545,,,33.06,,,
546,,4.67,,,,
547,,,19.6,,,
548,,,28.81,,,
549,,,,,15.39,
550,,,,,100.21,
551,,,,,152.64,
552,,,131.82,,,
553,,,,,,1.14
554,,,86.04,,,
555,47.55,,,,,
556,,,,131.65,,
557,,,,,,6.74
558,,,,,7.43,
559,,,24.83,,,
560,,,,20.86,,
561,,4.06,,,,
562,,,17.08,,,
563,,,,,,15.66
564,,,26.48,,,
565,,,81.95,,,
566,,11.14,,,,
567,,14.84,,,,
568,,14.26,,,,
569,,,,269.01,,
570,,,,,,0.52
571,140.77,,,,,
572,,,,80.43,,
573,,,,,19.56,
574,,,87.35,,,
575,34.62,,,,,
576,,,78.69,,,
577,,,,,,1.56
578,,3.52,,,,
579,32.66,,,,,
580,30.76,,,,,
581,,,,,29.31,
582,,,,,13.86,
583,,,65.02,,,
584,,,,,35.38,
585,,4.62,,,,
586,29.99,,,,,
587,53.25,,,,,
588,47.03,,,,,
589,,,,21.03,,
590,,,13.47,,,
591,,,,,6.91,
592,,,,,5.89,
593,,,,26.87,,
594,,,47.61,,,
595,,5.72,,,,
596,,,,22.4,,
597,,,,,3.69,
598,,,,,3.14,
599,,3.28,,,,
600,,,,,7.85,
601,,,,,4.42,
602,,3.43,,,,
603,,3.42,,,,
604,16.77,,,,,
605,,,,,,19.83
606,,,,24.03,,
607,45.57,,,,,
608,55.24,,,,,
609,,,15.62,,,
610,,,,,5.66,
611,,,,19.15,,
612,,,,,,22.77
613,,,,,,22.42
614,,,,,6.08,
615,,1.34,,,,
616,3.89,,,,,
617,,,,,,33.32
618,,,,32.4,,
619,,,,,4.46,
620,,,,,,19.47
621,,,28.88,,,
622,,,,,1.04,
623,,,,,,29.77
624,,,,13.43,,
625,,,,,0.63,
626,,,,21.49,,
627,,,,,,15.9
628,,,,,,6.6
629,,,58.59,,,
630,,,,,,33.66
631,26.13,,,,,
632,,,,,,41.23
633,,2.18,,,,
634,,,17.6,,,
635,,,,28.22,,
636,,2.1,,,,
637,,,,,56.46,
638,,,62.68,,,
639,40.85,,,,,
640,,1.87,,,,
641,,,14.06,,,
642,,,,16.14,,
643,5.02,1.73,19.42,20.48,1.07,31.73
644,,1.81,,,,
645,,,142.31,,,
646,,,24.79,,,
647,,,,27.24,,
648,,,15.42,,,
649,,,19.75,,,
650,,,,,6.88,
651,,,49.77,,,
652,,,52.9,,,
653,,,,39.61,,
654,,,,38.22,,
655,,1.32,,,,
656,,,,24.53,,
657,,,16.12,,,
658,,,16.23,,,
659,2.65,,,,,
660,,1.43,,,,
661,,,,,1.58,
662,,,,,0.57,
663,,,,,0.48,
664,1.8,,,,,
665,,,,,4.13,
666,1.08,,,,,
667,,,,,,17.5
668,,,,29.36,,
669,,,18.18,,,
670,4.22,,,,,
671,,,,,9.48,
672,6.39,,,,,
673,,,,21.17,,
674,,,,,,27.47
675,,,,,,29.8
676,3.48,,,,,
677,,,,23.48,,
678,,1.68,,,,
679,,,,,,20.34
680,,,,9.33,,
681,,,6.21,,,
682,,,8.3,,,
683,,,11.5,,,
684,4.0,,,,,
685,,,,22.41,,
686,,,,,5.04,
687,,,,21.76,,
688,,1.83,,,,
689,,,,,4.64,
690,3.67,,,,,
691,,2.43,,,,
692,,,8.03,,,
693,,,,,0.4,
694,,,12.54,,,
695,,,,19.46,,
696,,,,13.62,,
697,,,,,5.49,
698,,,,18.0,,
699,,,,43.71,,
700,,,,29.64,,
701,,,,,,24.77
702,,3.54,,,,
703,18.59,,,,,
704,,,,,,7.81
705,25.56,,,,,
706,,,,,1.28,
707,14.38,,,,,
708,,,,,9.35,
709,,,,,42.57,
710,18.53,,,,,
711,,,30.9,,,
712,,2.87,,,,
713,,,24.32,,,
714,,,,,5.58,
715,25.25,,,,,
716,31.96,4.51,36.84,46.1,9.26,26.63
717,,,,,10.07,
718,,4.13,,,,
719,,,,43.62,,
720,,,,56.81,,
721,,6.33,,,,
722,35.95,,,,,
723,,6.79,,,,
724,66.81,,,,,
725,,,,,3.66,
726,44.71,,,,,
727,,,,,1.15,
728,,,,18.67,,
729,,,,32.03,,
730,,,,21.67,,
731,15.33,,,,,
732,,,35.79,,,
733,14.5,,,,,
734,,,63.12,,,
735,,,,,10.18,
736,,2.37,,,,
737,,,44.63,,,
738,,1.79,,,,
739,,,,,,13.33
740,,,27.67,,,
741,,,,,9.25,
742,,,,,,25.48
743,,,,,,37.11
744,,3.74,,,,
745,,,,22.01,,
746,,,17.97,,,
747,,,,,,41.98
748,,,,139.12,,
749,,,,,72.34,
750,,,48.91,,,
751,,,70.27,,,
752,25.3,,,,,
753,,,,,9.16,
754,,,26.54,,,
755,25.95,,,,,
756,31.81,,,,,
757,,4.08,,,,
758,33.63,,,,,
759,,2.95,,,,
760,,2.57,,,,
761,,2.24,,,,
762,,,46.87,,,
763,,,,,,1.54
764,,,,307.89,,
765,,,,,83.76,
766,,,,,,32.44
767,5.46,,,,,
768,,,,95.49,,
769,,,,,72.56,
770,,,,,,17.77
771,,,,29.09,,
772,,,,,5.43,
773,,,,,,37.36
774,,,,,,33.5
775,,2.22,,,,
776,,,10.67,,,
777,,1.14,,,,
778,,,6.91,,,
779,,,,,0.48,
780,,0.97,,,,
781,5.25,,,,,
782,4.98,,,,,
783,,0.89,,,,
784,,,,,,33.09
785,,,,24.67,,
786,,,,15.22,,
787,,,,14.29,,
788,,,,,,41.39
789,,,,33.81,,
790,,,19.93,,,
791,,,20.33,,,
792,,,,,7.54,
793,,1.46,,,,
794,,,21.29,,,
795,,,18.53,,,
796,,,,,2.61,
797,,,,,2.31,
798,1.95,,,,,
799,,,,,4.81,
800,,,,,,7.48
801,,,,,,6.07
802,,,,75.61,,
803,,,47.09,,,
804,,,94.99,,,
805,,,,,70.38,
806,,,38.09,,,
807,,8.77,,,,
808,,,,19.4,,
809,,2.82,,,,
810,,,,51.19,,
811,,,33.67,,,
812,,,,,,30.86
813,,,22.76,,,
814,,,22.76,,,
815,,,,,,13.53
816,,,,,1.74,
817,,,,,,8.03
818,17.25,,,,,
819,21.57,,,,,
820,29.83,,,,,
821,,1.8,,,,
822,,,12.13,,,
823,,,,,,34.63
824,,1.85,,,,
825,,,,,5.27,
826,,,,33.72,,
827,25.71,,,,,
828,31.13,2.09,31.2,36.31,5.1,18.44
829,,2.03,,,,
830,,,33.22,,,
831,,1.27,,,,
832,,,,,2.55,
833,,,,,11.34,
834,,,,,6.6,
835,,,14.18,,,
836,,,9.18,,,
837,,,10.97,,,
838,,,,,3.3,
839,,,,,4.39,
840,,,,15.66,,
841,,0.85,,,,
842,,1.49,,,,
843,,,42.95,,,
844,5.58,,,,,
845,,,20.68,,,
846,,,,,,22.71
847,,,,10.99,,
848,,,8.83,,,
849,,0.91,,,,
850,,,,,2.5,
851,,,,37.37,,
852,,,62.58,,,
853,,,,,,2.87
854,,,,,,3.59
855,,,,66.74,,
856,,,,,5.74,
857,,,,19.8,,
858,19.56,,,,,
859,,,,,2.79,
860,,,,9.86,,
861,14.52,,,,,
862,,,,,7.07,
863,,,,,,20.16
864,45.08,,,,,
865,38.98,,,,,
866,,,,46.69,,
867,,,,,4.64,
868,,,,,,28.36
869,,,15.48,,,
870,,,,,2.87,
871,,,,,,20.38
872,,,,16.69,,
873,,,,9.04,,
874,,1.48,,,,
875,,1.43,,,,
876,,,26.15,,,
877,,1.55,,,,
878,,,,,11.53,
879,,,,30.69,,
880,,,13.46,,,
881,,,,20.07,,
882,,,12.5,,,
883,,,,23.7,,
884,,,27.61,,,
885,,,,30.91,,
886,,,,,,20.92
887,18.21,,,,,
888,,,61.19,,,
889,,,,,,22.65
890,11.68,,,,,
891,,1.18,,,,
892,,,,,,38.62
893,,,,,9.18,
894,,,,,,38.03
895,,1.05,,,,
896,3.34,,,,,
897,,,,,10.4,
898,,,,28.48,,
899,,10.31,,,,
900,,,,,,41.44
901,,,,21.84,,
902,,,,24.24,,
903,,,,22.27,,
904,37.62,,,,,
905,,3.52,,,,
906,,,,35.74,,
907,,,,31.76,,
908,,,,,8.09,
909,,1.8,,,,
910,,,,,,30.58
911,,,,,,29.76
912,,,,16.82,,
913,,,,12.84,,
914,4.31,,,,,
915,,,,,4.07,
916,,,,,3.98,
917,,,,,,30.87
918,1.68,,,,,
919,,,,,7.61,
920,,,,,9.23,
921,,,,26.56,,
922,,,15.69,,,
923,,2.26,,,,
924,,,60.54,,,
925,,,81.31,,,
926,31.25,,,,,
927,,,,,34.89,
928,,,,,61.06,
929,,,,,39.07,
930,,,,129.3,,
931,,,44.12,,,
932,,1.97,,,,
933,,,,31.69,,
934,,,,,,18.78
935,21.18,,,,,
936,,,,206.97,,
937,,,,,,20.06
938,45.48,,,,,
939,39.63,,,,,
940,29.74,,,,,
941,,,,,,38.16
942,,,12.46,,,
943,,2.33,,,,
944,,,,16.65,,
945,,,13.34,,,
946,8.47,,,,,
947,,,,,,25.88
948,,2.65,,,,
949,,,,,7.41,
950,59.86,,,,,
951,43.43,,,,,
952,,,37.98,,,
953,36.14,,,,,
954,35.65,,,,,
955,,,,,,22.91
956,,,,42.43,,
957,35.54,,,,,
958,,,,,,11.11
959,34.53,,,,,
960,,2.54,,,,
961,,,50.0,,,
962,,2.36,,,,
963,,,,70.84,,
964,,2.52,,,,
965,20.57,,,,,
966,,,,,18.38,
967,,2.74,,,,
968,,,15.9,,,
969,40.26,2.26,14.29,20.98,6.69,41.36
970,,1.93,,,,
971,,,13.28,,,
972,,,19.83,,,
973,,,,,7.02,
974,,,,53.08,,
975,,,44.54,,,
976,,,,,,15.32
977,,,,,5.64,
978,,,,,4.87,
979,,,,,,23.5
980,9.67,,,,,
981,14.58,,,,,
982,,2.0,,,,
983,,,,,,8.67
984,,,,67.46,,
985,,2.13,,,,
986,,,,,46.86,
987,,,,,29.41,
988,,,,32.39,,
989,,,,28.79,,
990,,3.64,,,,
991,51.66,4.53,9.49,15.17,5.68,41.4
992,,,10.18,,,
993,,,,,,42.64
994,,,,22.84,,
995,41.5,,,,,
996,,,23.92,,,
997,,2.77,,,,
998,,,,,,31.65
999,,,,,4.92,
1000,,,,,,37.15
1001,,,,,6.98,
1002,,,20.11,,,
1003,,,,23.52,,
1004,,,,,,38.98
1005,,,17.25,,,
1006,,,,,,29.51
1007,,,,,3.78,
1008,,,,18.67,,
1009,,1.78,,,,
1010,,1.9,,,,
1011,11.17,,,,,
1012,,,,,5.92,
1013,,,,,7.69,
1014,,2.48,,,,
1015,,,,,8.12,
1016,13.77,,,,,
1017,11.39,,,,,
1018,,,,,7.27,
1019,,1.92,,,,
1020,,,14.36,,,
1021,,,15.4,,,
1022,,1.99,,,,
1023,,,,23.21,,
1024,1.7,,,,,
1025,1.89,,,,,
1026,,,,,6.82,
1027,,,,,5.27,
1028,,,,,4.36,
1029,7.72,,,,,
1030,,,,,,21.98
1031,,,,24.5,,
1032,,1.27,,,,
1033,,,,48.9,,
1034,,,,,13.2,
1035,,2.59,,,,
1036,22.96,,,,,
1037,,,,,5.92,
1038,,2.78,,,,
1039,,2.14,,,,
1040,,,,,,40.42
1041,,,11.64,,,
1042,,,13.78,,,
1043,,,,16.89,,
1044,,,,26.16,,
1045,3.42,,,,,
1046,,,,42.64,,
1047,,,,,6.91,
1048,,,,23.22,,
1049,,,21.21,,,
1050,,,24.2,,,
1051,6.33,,,,,
1052,,,25.51,,,
1053,6.61,,,,,
1054,,,,,7.1,
1055,5.69,,,,,
1056,,1.57,,,,
1057,,1.75,,,,
1058,,2.24,,,,
1059,7.56,,,,,
1060,14.16,,,,,
1061,,,,,,37.73
1062,,,8.59,,,
1063,,,,12.9,,
1064,,2.1,,,,
1065,,2.08,,,,
1066,5.62,,,,,
1067,,,,,,42.98
1068,,,,,7.53,
1069,2.35,,,,,
1070,1.64,,,,,
1071,,,,85.2,,
1072,,,,,,3.45
1073,,2.54,,,,
1074,,,,116.56,,
1075,,,,75.38,,
1076,,1.76,,,,
1077,,,26.29,,,
1078,,,,,,26.78
1079,,,19.37,,,
1080,,,19.59,,,
1081,,,,17.51,,
1082,,,,,,27.51
1083,,,13.83,,,
1084,11.18,,,,,
1085,14.03,1.98,13.57,20.88,7.32,31.82
1086,,,,24.9,,
1087,,,,,,34.54
1088,14.88,,,,,
1089,,,,23.73,,
1090,,2.45,,,,
1091,,,,,7.67,
1092,,,,,10.5,
1093,,,,,,25.12
1094,,2.23,,,,
1095,1.75,,,,,
1096,,,,,6.54,
1097,,,,,5.99,
1098,,,41.82,,,
1099,,,36.32,,,
1100,,1.4,,,,
1101,,,,,,9.64
1102,,1.67,,,,
1103,,1.82,,,,
1104,33.55,2.24,27.05,40.39,13.34,20.98
1105,,,,,,37.87
1106,,,11.76,,,
1107,,,,,,41.42
1108,22.35,,,,,
1109,,1.64,,,,
1110,,1.88,,,,
1111,,,,,8.01,
1112,,,12.98,,,
1113,,,,20.21,,
1114,,,14.75,,,
1115,,,,43.78,,
1116,,,,162.28,,
1117,,,,,,2.6
1118,48.78,,,,,
1119,,2.87,,,,
1120,,,98.36,,,
1121,,,,134.69,,
1122,,,63.28,,,
1123,,,,108.45,,
1124,,,,,43.26,
1125,20.03,,,,,
1126,,,,,58.33,
1127,,1.61,,,,
1128,,,15.01,,,
1129,,,,,8.47,
1130,,,12.72,,,
1131,,,,,,37.92
1132,,,,,9.67,
1133,4.38,,,,,
1134,,,,23.79,,
1135,,,,,7.57,
1136,,,,,8.16,
1137,,,,,,36.49
1138,,,,26.45,,
1139,,2.57,,,,
1140,,,9.58,,,
1141,,,,11.64,,
1142,2.61,,,,,
1143,,,,,,36.28
1144,,1.22,,,,
1145,,1.11,,,,
1146,,,,,8.72,
1147,10.39,,,,,
1148,,,,,,31.22
1149,,,,,19.41,
1150,,,,27.09,,
1151,18.08,,,,,
1152,,,,20.6,,
1153,,,17.35,,,
1154,,2.06,,,,
1155,,2.24,,,,
1156,23.8,,,,,
1157,,2.48,,,,
1158,,2.12,,,,
1159,21.95,,,,,
1160,,3.9,,,,
1161,,,16.16,,,
1162,,,,19.4,,
1163,,2.16,,,,
1164,23.36,,,,,
1165,,,15.78,,,
1166,,,,,,23.29
1167,,,,,,19.08
1168,,,14.54,,,
1169,,1.57,,,,
1170,,,16.05,,,
1171,,1.62,,,,
1172,15.31,,,,,
1173,,,27.01,,,
1174,,,,29.7,,
1175,,,,,5.61,
1176,,1.58,,,,
1177,,1.6,,,,
1178,,1.46,,,,
1179,,1.61,,,,
1180,,,14.86,,,
1181,,,,,4.22,
1182,,,,,,25.27
1183,,,,,6.33,
1184,,,,,6.62,
1185,,,,,,14.5
1186,,,,,,10.58
1187,,,,,,21.67
1188,,,,25.47,,
1189,,,,,8.59,
1190,,,14.24,,,
1191,,,,,,42.56
1192,,,16.26,,,
1193,,,,,8.33,
1194,,,,46.9,,
1195,,,18.27,,,
1196,,,,,5.61,
1197,,,12.03,,,
1198,,1.44,,,,
1199,,,,,6.7,
1200,,,,47.69,,
1201,,,,,7.84,
1202,,,,,12.49,
1203,,,,,,41.67
1204,,,,,6.57,
1205,,,9.31,,,
1206,,,,,,44.44
1207,,1.28,,,,
1208,,,21.08,,,
1209,,,27.66,,,
1210,,,,,,21.23
1211,12.72,,,,,
1212,,,,24.98,,
1213,,,,,,34.68
1214,,,,,6.32,
1215,,,,,,53.68
1216,,,11.06,,,
1217,,,,19.11,,
1218,,,,,10.47,
1219,,,15.02,,,
1220,,,,,7.26,
1221,,0.99,,,,
1222,,,,,,10.36
