,S15_PM10,S15_SO2,S15_NO2,S15_NOX,S15_NO,S15_O3
1223,43.89,2.13,132.34,241.36,109.03,3.79
1224,,2.04,,,,
1225,,,,220.24,,
1226,77.31,,,,,
1227,82.04,,,,,
1228,,,,,,2.64
1229,,,,,,2.98
1230,,,,,,3.96
1231,,,,,,7.08
1232,,,,,,8.29
1233,,,42.66,,,
1234,,,,66.72,,
1235,,,,,,40.96
1236,,,,,,49.9
1237,,,,,5.9,
1238,40.29,,,,,
1239,,,,,,67.65
1240,,,10.5,,,
1241,,,,,5.67,
1242,,,,,,60.01
1243,,,15.01,,,
1244,,,,,,50.83
1245,,,15.43,,,
1246,,,,21.03,,
1247,,,,36.29,,
1248,,2.12,,,,
1249,,,,41.28,,
1250,14.34,,,,,
1251,,,,,,4.3
1252,,,48.52,,,
1253,22.16,,,,,
1254,,,10.38,,,
1255,,,,,,22.64
1256,,,,,4.29,
1257,,,,,12.11,
1258,,,23.95,,,
1259,9.56,,,,,
1260,,,,,,30.92
1261,10.07,,,,,
1262,,2.32,,,,
1263,7.49,,,,,
1264,,,,14.38,,
1265,,,,15.72,,
1266,,,,20.27,,
1267,9.18,,,,,
1268,,,15.6,,,
1269,,,,,,28.42
1270,,,,,,26.94
1271,,,31.41,,,
1272,8.35,,,,,
1273,,,38.37,,,
1274,,1.76,,,,
1275,,,,,,27.24
1276,,,,,,24.48
1277,,1.78,,,,
1278,,,,,,28.49
1279,6.6,,,,,
1280,11.55,,,,,
1281,,1.72,,,,
1282,,,,19.59,,
1283,8.03,,,,,
1284,,,,,,28.96
1285,,,,,4.35,
1286,,,12.15,,,
1287,6.84,,,,,
1288,,,10.81,,,
1289,,,,,6.49,
1290,,,,22.69,,
1291,,,37.37,,,
1292,,2.01,,,,
1293,,1.89,,,,
1294,,,24.59,,,
1295,,,21.97,,,
1296,6.27,,,,,
1297,,,17.42,,,
1298,7.03,,,,,
1299,,1.81,,,,
1300,,1.86,,,,
1301,5.46,,,,,
1302,14.38,,,,,
1303,,,,,4.26,
1304,,2.17,,,,
1305,,,,,3.7,
1306,,,,,4.01,
1307,,,,,,39.21
1308,,,14.22,,,
1309,,2.4,,,,
1310,,,,,,21.67
1311,,,64.85,,,
1312,,,,,2.13,
1313,5.85,,,,,
1314,,,,,,20.29
1315,,,,,3.43,
1316,,2.33,,,,
1317,,,31.41,,,
1318,,,,,,21.56
1319,,,18.33,,,
1320,,,,21.39,,
1321,,,15.2,,,
1322,,,,,8.41,
1323,,,,14.1,,
1324,,,11.95,,,
1325,,2.23,,,,
1326,,,,,6.16,
1327,,,51.31,,,
1328,,2.26,,,,
1329,,,,28.97,,
1330,20.25,,,,,
1331,,1.92,,,,
1332,20.07,,,,,
1333,,,,,4.91,
1334,,,14.21,,,
1335,,,12.94,,,
1336,,,,,4.61,
1337,,,,,5.99,
1338,17.1,,,,,
1339,,,,,10.93,
1340,,,34.68,,,
1341,,,,29.12,,
1342,,,,,3.19,
1343,,2.06,,,,
1344,,,,,,16.98
1345,,1.95,,,,
1346,,,30.68,,,
1347,,,,,,13.6
1348,,1.89,,,,
1349,,,12.05,,,
1350,,,,,4.06,
1351,,,14.72,,,
1352,,,,,4.49,
1353,,,,32.37,,
1354,,,18.92,,,
1355,,,25.65,,,
1356,,,,,,36.14
1357,17.56,,,,,
1358,,,,,,44.26
1359,,,,,5.75,
1360,,,66.66,,,
1361,,2.08,,,,
1362,,2.13,,,,
1363,,,,,63.38,
1364,,,,97.07,,
1365,,,,67.15,,
1366,,,,,,3.93
1367,,,60.26,,,
1368,,1.8,,,,
1369,,,,,21.91,
1370,,,,,,28.62
1371,,,16.86,,,
1372,,,,,3.74,
1373,25.84,,,,,
1374,,,,,5.06,
1375,,,,18.23,,
1376,,,,19.68,,
1377,,,,,6.94,
1378,,,21.72,,,
1379,,,,,3.0,
1380,,2.88,,,,
1381,,2.86,,,,
1382,,,,,3.69,
1383,,2.6,,,,
1384,,,30.45,,,
1385,,,,60.64,,
1386,,,50.6,,,
1387,,,,,11.78,
1388,,,,,28.1,
1389,,,,42.14,,
1390,38.86,,,,,
1391,,,,,,31.66
1392,,,,19.42,,
1393,,,13.65,,,
1394,,1.99,,,,
1395,,,11.87,,,
1396,,,,23.25,,
1397,,,,16.68,,
1398,,2.6,,,,
1399,,,36.48,,,
1400,18.52,,,,,
1401,,,,81.08,,
1402,,,,59.2,,
1403,12.13,,,,,
1404,8.85,,,,,
1405,,,,,,22.22
1406,,2.27,,,,
1407,,,,,,3.95
1408,,,,,16.27,
1409,12.16,,,,,
1410,18.24,,,,,
1411,,2.22,,,,
1412,11.76,,,,,
1413,,,,26.55,,
1414,,,,25.57,,
1415,,,9.17,,,
1416,,1.89,,,,
1417,,,,18.78,,
1418,,,8.99,,,
1419,,,,16.12,,
1420,9.29,,,,,
1421,,,43.53,,,
1422,,,,,,23.8
1423,,,,,,31.64
1424,,,,20.93,,
1425,,,13.68,,,
1426,,,,,,28.81
1427,,,,,,37.84
1428,,,,,,40.66
1429,,,,,1.96,
1430,,,,,,28.52
1431,,,,,2.44,
1432,,,,,,26.54
1433,,,,,7.02,
1434,16.42,,,,,
1435,,,11.81,,,
1436,,,14.15,,,
1437,,,,,,44.94
1438,,,,,,48.05
1439,,2.1,,,,
1440,,,,,,65.29
1441,,2.0,,,,
1442,,2.26,,,,
1443,,2.21,,,,
1444,,,,23.16,,
1445,,,22.93,,,
1446,,,,23.89,,
1447,,,,,,35.93
1448,16.51,,,,,
1449,,,,50.97,,
1450,,,29.64,,,
1451,,,8.72,,,
1452,,,,,,34.46
1453,,,,9.96,,
1454,13.72,,,,,
1455,13.03,,,,,
1456,10.83,,,,,
1457,,,,,,36.24
1458,,1.63,,,,
1459,,,,,,53.25
1460,,,,,,38.35
1461,,1.82,,,,
1462,,,,,,27.78
1463,26.5,,,,,
1464,,,,,,30.05
1465,,1.87,,,,
1466,,,47.32,,,
1467,15.7,,,,,
1468,,,32.61,,,
1469,11.21,,,,,
1470,,,,,,32.68
1471,,,,,,38.77
1472,7.77,,,,,
1473,14.82,,,,,
1474,,,,,,36.13
1475,,,,11.64,,
1476,,,,36.76,,
1477,11.67,,,,,
1478,,1.36,,,,
1479,16.38,,,,,
1480,,,15.68,,,
1481,,1.35,,,,
1482,19.96,,,,,
1483,,,,27.23,,
1484,,,25.59,,,
1485,,1.47,,,,
1486,,,,,5.53,
1487,12.94,,,,,
1488,,,27.92,,,
1489,19.15,,,,,
1490,,,,,,12.67
1491,,,,,8.4,
1492,,,,,,10.96
1493,,1.53,,,,
1494,,,,,,22.46
1495,6.67,,,,,
1496,,,,,,40.34
1497,,,13.68,,,
1498,,,,,,57.95
1499,,,,,6.88,
1500,,,,13.92,,
1501,,,,17.66,,
1502,,,,,2.91,
1503,4.6,,,,,
1504,,,,24.91,,
1505,,,9.62,,,
1506,3.56,,,,,
1507,,2.29,,,,
1508,,,,13.26,,
1509,,,,22.13,,
1510,,,16.89,,,
1511,3.58,,,,,
1512,,,,26.78,,
1513,,,19.21,,,
1514,,,,,3.78,
1515,,,,14.49,,
1516,,1.76,,,,
1517,,,,,,47.88
1518,13.1,,,,,
1519,,,,,8.54,
1520,,,16.23,,,
1521,,,70.98,,,
1522,,,,,11.5,
1523,,,,,20.8,
1524,,,,63.19,,
1525,,,7.22,,,
1526,,,9.96,,,
1527,15.82,,,,,
1528,,,,18.63,,
1529,13.28,,,,,
1530,10.9,,,,,
1531,,2.27,,,,
1532,,,25.8,,,
1533,,,,,,38.56
1534,,,,,,38.65
1535,,,,,3.21,
1536,24.4,,,,,
1537,,,,,1.42,
1538,,,,,,57.05
1539,,,17.51,,,
1540,3.13,,,,,
1541,,,18.97,,,
1542,,2.68,,,,
1543,,,,,,32.21
1544,,,,,2.12,
1545,,,,8.3,,
1546,,,,,2.42,
1547,,,,19.13,,
1548,6.89,,,,,
1549,7.36,,,,,
1550,,,,,4.03,
1551,13.67,,,,,
1552,,,,,60.68,
1553,,,,,89.95,
1554,,2.29,,,,
1555,,,,33.06,,
1556,,,16.24,,,
1557,,,,,,37.69
1558,,,13.32,,,
1559,,,,,4.51,
1560,,,,26.8,,
1561,,2.2,,,,
1562,,,7.26,,,
1563,,,,15.32,,
1564,,,,15.66,,
1565,,,9.64,,,
1566,,,,,,65.58
1567,,2.48,,,,
1568,,,,16.08,,
1569,,,12.25,,,
1570,,,,,5.04,
1571,,,77.33,,,
1572,,,86.37,,,
1573,,,,,5.37,
1574,,,,29.05,,
1575,,,6.76,,,
1576,13.79,,,,,
1577,10.26,,,,,
1578,,3.26,,,,
1579,,,,49.82,,
1580,,,,,13.05,
1581,,,,29.46,,
1582,,,,23.3,,
1583,,,,20.6,,
1584,,,,16.88,,
1585,,,,,6.18,
1586,11.66,,,,,
1587,,,,,5.74,
1588,,,35.86,,,
1589,,,,,7.12,
1590,,3.25,,,,
1591,,3.09,,,,
1592,,,,,5.14,
1593,28.67,,,,,
1594,25.08,,,,,
1595,,,,,9.48,
1596,,,,,,10.37
1597,,3.07,,,,
1598,,,,,,14.98
1599,,,,,,26.24
1600,,,32.38,,,
1601,,2.97,,,,
1602,,,18.31,,,
1603,,,18.18,,,
1604,,,,28.41,,
1605,,2.92,,,,
1606,16.64,,,,,
1607,13.81,,,,,
1608,,,29.1,,,
1609,,,26.97,,,
1610,,,,,,37.77
1611,,,,,7.53,
1612,5.3,,,,,
1613,,3.41,,,,
1614,,,9.49,,,
1615,,,,,6.98,
1616,,,14.99,,,
1617,,3.08,,,,
1618,9.24,,,,,
1619,,,11.81,,,
1620,,,11.01,,,
1621,,,,,9.72,
1622,8.31,3.22,14.45,22.86,8.41,54.67
1623,11.28,,,,,
1624,,,,,6.7,
1625,,,,,,37.95
1626,,,,,7.17,
1627,,,,15.8,,
1628,,,,18.28,,
1629,,,,18.33,,
1630,,3.77,,,,
1631,,,,,10.48,
1632,,,,45.02,,
1633,,,,,,8.48
1634,,,40.92,,,
1635,,,,,14.64,
1636,19.31,3.39,17.74,28.01,10.27,37.38
1637,,,,,7.88,
1638,,,9.06,,,
1639,,2.92,,,,
1640,,,9.03,,,
1641,,,,,6.08,
1642,,,,,,60.04
1643,,,9.66,,,
1644,,3.45,,,,
1645,,,14.27,,,
1646,,,,,9.61,
1647,,,,,,63.9
1648,,,,,,39.08
1649,,3.44,,,,
1650,,,,37.94,,
1651,,,,61.73,,
1652,,,,,10.38,
1653,,,,,,41.8
1654,,,,,9.07,
1655,,,9.8,,,
1656,,3.54,,,,
1657,,,,,6.4,
1658,,,9.57,,,
1659,,,9.86,,,
1660,,,,,,63.24
1661,9.43,,,,,
1662,,,13.12,,,
1663,,,,,6.56,
1664,,,10.93,,,
1665,,,,,7.06,
1666,,,,,6.21,
1667,,2.55,,,,
1668,,,,,5.88,
1669,,,,23.03,,
1670,,,16.2,,,
1671,,,,,6.33,
1672,14.6,,,,,
1673,,,11.08,,,
1674,,,,,5.13,
1675,,2.96,,,,
1676,,2.99,,,,
1677,,,,,5.22,
1678,,,,,,43.84
1679,,3.2,,,,
1680,,3.13,,,,
1681,,3.02,,,,
1682,,,,,4.48,
1683,,3.1,,,,
1684,8.56,,,,,
1685,,,,17.07,,
1686,,,14.38,,,
1687,,,,,5.7,
1688,,,34.75,,,
1689,,3.45,,,,
1690,,,17.0,,,
1691,,,,,,67.04
1692,,,,,,79.8
1693,13.3,,,,,
1694,,,,13.89,,
1695,,2.99,,,,
1696,,,,,,119.09
1697,14.06,,,,,
1698,,,,14.93,,
1699,,,13.26,,,
1700,,,,,6.2,
1701,,,,,5.45,
1702,10.24,,,,,
1703,,,,,,9.4
1704,,,90.3,,,
1705,,,,177.02,,
1706,,4.21,,,,
1707,,,,,21.08,
1708,,4.1,,,,
1709,,,,,4.25,
1710,18.12,,,,,
1711,,,56.56,,,
1712,19.32,,,,,
1713,,3.96,,,,
1714,,,,,8.39,
1715,,,,,8.0,
1716,11.58,,,,,
1717,12.38,,,,,
1718,,,,,5.81,
1719,13.87,,,,,
1720,,,,,,133.31
1721,13.17,,,,,
1722,,,,,5.64,
1723,,,,,,127.64
1724,,4.07,,,,
1725,,,,,5.31,
1726,,,,,5.3,
1727,,,,73.27,,
1728,,,97.89,,,
1729,,,,,52.94,
1730,,,95.2,,,
1731,,,,85.78,,
1732,,,,61.69,,
1733,15.36,,,,,
1734,,4.52,,,,
1735,,,,,13.2,
1736,,,15.95,,,
1737,,,,,6.1,
1738,,,,,,93.65
1739,,,,16.54,,
1740,,,,17.2,,
1741,,,,14.09,,
1742,,,10.5,,,
1743,,,,,,13.88
1744,,5.1,,,,
1745,,5.12,,,,
1746,,,,24.23,,
1747,,,,,14.0,
1748,,4.68,,,,
1749,,,,,,56.0
1750,29.62,,,,,
1751,,3.87,,,,
1752,,,,,,70.39
1753,,3.64,,,,
1754,,,17.34,,,
1755,,,,,,76.12
1756,,3.81,,,,
1757,,,,,6.05,
1758,,,,,,95.39
1759,,,16.84,,,
1760,,4.07,,,,
1761,,3.9,,,,
1762,,3.99,,,,
1763,,,,,6.4,
1764,,4.21,,,,
1765,,,,12.74,,
1766,,4.58,,,,
1767,,4.6,,,,
1768,,,,,4.73,
1769,,4.97,,,,
1770,,,17.33,,,
1771,,,,,6.38,
1772,12.02,,,,,
1773,,,9.74,,,
1774,,,,13.41,,
1775,,,8.73,,,
1776,,4.01,,,,
1777,,,,,,41.42
1778,,,11.75,,,
1779,,4.25,,,,
1780,,,,,,40.16
1781,,,,13.08,,
1782,,,9.78,,,
1783,,,,,,33.92
1784,,4.58,,,,
1785,,,,28.12,,
1786,,,,,,36.46
1787,9.94,,,,,
1788,,3.58,,,,
1789,,,,,4.84,
1790,13.88,,,,,
1791,,3.31,,,,
1792,,,,,,65.65
1793,,,,,,48.12
1794,,,,,5.48,
1795,,,,14.58,,
1796,,,6.83,,,
1797,6.48,,,,,
1798,6.79,,,,,
1799,,,,,5.61,
1800,,,9.81,,,
1801,,,9.55,,,
1802,4.1,,,,,
1803,,4.03,,,,
1804,,,,,,48.46
1805,,,,21.52,,
1806,,,,,,44.43
1807,,,,,,41.15
1808,,,,,,42.76
1809,,,,,,38.93
1810,,,,20.26,,
1811,,4.68,,,,
1812,,,,,4.47,
1813,,,,,4.78,
1814,,,,,4.88,
1815,,,,,5.41,
1816,,,,15.29,,
1817,,,,,4.91,
1818,3.4,,,,,
1819,,,7.76,,,
1820,,5.28,,,,
1821,3.62,,,,,
1822,3.37,,,,,
1823,,,11.78,,,
1824,,,,,,93.99
1825,,6.95,,,,
1826,,,,24.22,,
1827,,3.39,,,,
1828,20.93,,,,,
1829,,2.8,,,,
1830,,,,21.46,,
1831,,,,,5.19,
1832,,,,45.27,,
1833,,,,53.69,,
1834,,,,45.52,,
1835,,,,31.14,,
1836,26.51,3.77,36.37,40.84,4.47,43.23
1837,20.99,,,,,
1838,21.48,,,,,
1839,,,,,4.13,
1840,,,,,4.11,
1841,14.21,,,,,
1842,,,,73.26,,
1843,,,,,,29.82
1844,,,,,,53.91
1845,,,,,7.35,
1846,20.9,,,,,
1847,,,,,5.22,
1848,,,,,6.39,
1849,13.41,,,,,
1850,10.22,,,,,
1851,,,,,,114.29
1852,,,,,6.15,
1853,,3.43,,,,
1854,41.11,,,,,
1855,46.2,,,,,
1856,35.92,,,,,
1857,,,,28.87,,
1858,26.21,,,,,
1859,,,,,,48.72
1860,,,,11.26,,
1861,,,,,4.65,
1862,21.32,,,,,
1863,,,,,,33.9
1864,,,,,,35.69
1865,,,,25.4,,
1866,,,,,,36.25
1867,19.88,,,,,
1868,,,17.28,,,
1869,,,,,,67.47
1870,,4.5,,,,
1871,,,,,,68.59
1872,21.56,,,,,
1873,,,12.44,,,
1874,,,,,6.78,
1875,18.39,,,,,
1876,,,,,,53.41
1877,,,,24.88,,
1878,21.45,,,,,
1879,,,,,,45.07
1880,,,20.42,,,
1881,26.19,,,,,
1882,,,,,4.81,
1883,,,,,,45.88
1884,16.5,,,,,
1885,,,,,,50.11
1886,33.34,,,,,
1887,,,,,,52.29
1888,,,10.71,,,
1889,20.31,,,,,
1890,,,,,6.18,
1891,,2.64,,,,
1892,,,,17.06,,
1893,,,,,7.72,
1894,,,,,,57.04
1895,,,,19.94,,
1896,12.28,,,,,
1897,,2.69,,,,
1898,,,,24.37,,
1899,,,,,,41.04
1900,,,,,5.7,
1901,,,,,,39.82
1902,,,,,4.4,
1903,,,,,4.19,
1904,,,5.41,,,
1905,,,,20.58,,
1906,,,,18.27,,
1907,,,,,,50.88
1908,,3.3,,,,
1909,,3.06,,,,
1910,,,,,,41.87
1911,,2.91,,,,
1912,3.35,,,,,
1913,,,,,,45.06
1914,,,,17.75,,
1915,,,11.03,,,
1916,,2.68,,,,
1917,,2.47,,,,
1918,,,,,,38.07
1919,,,12.91,,,
1920,,3.07,,,,
1921,,3.65,,,,
1922,1.29,,,,,
1923,,,4.04,,,
1924,,,,8.01,,
1925,,4.36,,,,
1926,,,,18.49,,
1927,,10.28,,,,
1928,,,,,7.44,
1929,,,,,,66.86
1930,,,,,,84.44
1931,,,,,,80.41
1932,,,,19.77,,
1933,,,,17.79,,
1934,,,,,,77.26
1935,,,,19.6,,
1936,,,16.4,,,
1937,,2.77,,,,
1938,,,,24.65,,
1939,,,,,5.59,
1940,,,18.71,,,
1941,,,,,4.36,
1942,,,,,6.78,
1943,,,,34.22,,
1944,,3.55,,,,
1945,12.55,,,,,
1946,,,,,26.59,
1947,14.41,,,,,
1948,,,,68.57,,
1949,,,,18.2,,
1950,,,,14.88,,
1951,,,11.34,,,
1952,,,,,,86.52
1953,,,,17.22,,
1954,,3.13,,,,
1955,,,,,6.7,
1956,,4.27,,,,
1957,,,,,,83.7
1958,,,,,9.32,
1959,,,,42.77,,
1960,14.52,3.92,41.81,50.17,8.36,48.53
1961,,3.89,,,,
1962,,,,,8.49,
1963,13.4,,,,,
1964,,3.92,,,,
1965,20.78,,,,,
1966,,,,,,8.83
1967,23.42,,,,,
1968,,,,,,8.1
1969,,,,100.73,,
1970,,,,,,36.9
1971,,,10.68,,,
1972,30.46,,,,,
1973,,3.92,,,,
1974,,,,,,81.69
1975,,,10.91,,,
1976,22.68,,,,,
1977,17.42,,,,,
1978,,,,,,74.7
1979,,,40.98,,,
1980,,,,,7.13,
1981,,,,30.2,,
1982,,,17.07,,,
1983,,,,14.87,,
1984,,,,,,47.41
1985,,,,,,45.94
1986,,,9.69,,,
1987,17.74,,,,,
1988,14.6,,,,,
1989,,3.52,,,,
1990,,,14.39,,,
1991,,,,13.76,,
1992,,,,,5.82,
1993,,,,,,77.69
1994,,,,,,96.67
1995,,,,18.42,,
1996,,,,,6.0,
1997,13.19,,,,,
1998,,,,,5.8,
1999,,,,,5.66,
2000,3.19,,,,,
2001,,,,,,57.18
2002,,,28.35,,,
2003,15.59,,,,,
2004,,,,,,59.44
2005,35.14,2.83,12.08,17.3,5.22,69.62
2006,,2.81,,,,
2007,,3.2,,,,
2008,,,,,4.62,
2009,,3.27,,,,
2010,19.14,,,,,
2011,,,,,5.13,
2012,,,,,,55.57
2013,,,,,10.42,
2014,22.41,,,,,
2015,,,,,,79.56
2016,,,,18.03,,
2017,,,,17.3,,
2018,,,,15.75,,
2019,,,,,5.85,
2020,,,,,,103.12
2021,,,12.32,,,
2022,,,,,5.45,
2023,,,18.13,,,
2024,,,,,,67.86
2025,28.41,,,,,
2026,,,,36.37,,
2027,,,,,,35.27
2028,,,,,4.74,
2029,,,,,5.96,
2030,,,17.51,,,
2031,39.26,,,,,
2032,,3.82,,,,
2033,,,13.11,,,
2034,13.85,,,,,
2035,,3.07,,,,
2036,,,,12.46,,
2037,,,11.35,,,
2038,,,,,,77.16
2039,,,,,6.19,
2040,,,,,6.57,
2041,27.3,,,,,
2042,,,12.72,,,
2043,24.99,,,,,
2044,,,,21.69,,
2045,,,14.17,,,
2046,,3.05,,,,
2047,12.6,,,,,
2048,,,,20.96,,
2049,,,13.9,,,
2050,,,13.61,,,
2051,,3.49,,,,
2052,,,,15.8,,
2053,,4.0,,,,
2054,,4.22,,,,
2055,,,,,4.69,
2056,,,,17.15,,
2057,,,,,6.58,
2058,10.29,,,,,
2059,,3.06,,,,
2060,,3.59,,,,
2061,7.51,,,,,
2062,,,,,5.53,
2063,9.22,3.12,9.76,14.99,5.23,112.99
2064,7.79,,,,,
2065,,,,,5.53,
2066,,,,,,105.9
2067,,,18.37,,,
2068,,,,,,72.64
2069,14.05,,,,,
2070,10.52,,,,,
2071,17.12,,,,,
2072,,,19.3,,,
2073,,,,28.83,,
2074,,,,,,30.53
2075,18.01,,,,,
2076,,3.87,,,,
2077,,,,,,40.65
2078,,,,,,46.54
2079,,,15.08,,,
2080,,,,22.85,,
2081,,,,,6.04,
2082,,,10.27,,,
2083,,,13.3,,,
2084,,,,,,113.47
2085,,3.06,,,,
2086,,3.16,,,,
2087,,,,,,138.33
2088,,,,,5.46,
2089,,,,,,123.51
2090,17.5,,,,,
2091,,,,36.76,,
2092,28.93,,,,,
2093,,,,22.21,,
2094,,3.76,,,,
2095,23.8,,,,,
2096,,,,,4.28,
2097,,,18.07,,,
2098,,4.1,,,,
2099,,,,15.49,,
2100,24.77,,,,,
2101,,,,,6.61,
2102,,,,,,52.39
2103,,,,19.82,,
2104,,,,,,66.87
2105,18.95,,,,,
2106,,,10.74,,,
2107,,,,16.81,,
2108,17.98,,,,,
2109,,,,,5.9,
2110,,,,21.17,,
2111,,,,,6.12,
2112,,2.96,,,,
2113,,,,,4.73,
2114,23.6,,,,,
2115,,3.18,,,,
2116,,,,37.39,,
2117,,,,,5.11,
2118,,,,,4.42,
2119,,3.77,,,,
2120,,3.77,,,,
2121,,,,23.91,,
2122,,,,27.03,,
2123,,4.0,,,,
2124,,,,,,31.98
2125,,,,24.19,,
2126,,,,23.6,,
2127,,,14.23,,,
2128,18.49,,,,,
2129,17.41,,,,,
2130,,,,,,111.91
2131,12.05,,,,,
2132,16.86,,,,,
2133,,2.8,,,,
2134,,,15.28,,,
2135,,,,18.39,,
2136,,2.6,,,,
2137,,,,,,81.9
2138,,,,,5.13,
2139,,2.59,,,,
2140,,,27.92,,,
2141,,,30.21,,,
2142,26.03,,,,,
2143,,,,,,51.12
2144,,,15.51,,,
2145,,3.11,,,,
2146,,,,22.53,,
2147,,,,,,34.54
2148,,,,,5.04,
2149,17.06,,,,,
2150,,3.07,,,,
2151,,,,,5.25,
2152,,,,,,76.98
2153,,2.87,,,,
2154,,,,,,97.03
2155,,,,,,91.41
2156,,2.52,,,,
2157,,,,,8.82,
2158,10.64,,,,,
2159,,,,27.49,,
2160,,,,,,78.62
2161,9.49,,,,,
2162,,,156.73,,,
2163,,,134.7,,,
2164,,5.22,,,,
2165,,,18.49,,,
2166,,,,,,44.23
2167,,,,,4.65,
2168,,,13.27,,,
2169,,4.95,,,,
2170,18.69,4.82,48.73,60.91,12.18,18.76
2171,,,,,34.4,
2172,,,57.52,,,
2173,,,38.53,,,
2174,,,12.48,,,
2175,,5.13,,,,
2176,,,,17.74,,
2177,,3.95,,,,
2178,,,,,,86.82
2179,,,11.68,,,
2180,,4.43,,,,
2181,,4.28,,,,
2182,,,,,,65.13
2183,29.5,,,,,
2184,,,,,7.46,
2185,,,17.3,,,
2186,,3.11,,,,
2187,29.82,,,,,
2188,,3.23,,,,
2189,21.23,,,,,
2190,,,,,4.22,
2191,,,,39.78,,
2192,,,,,7.94,
2193,,,,,,15.94
2194,,,,,,40.07
2195,,,14.0,,,
2196,,,,,,52.46
2197,,,,17.36,,
2198,,,11.01,,,
2199,,2.94,,,,
2200,,,,,6.03,
2201,30.95,,,,,
2202,,3.63,,,,
2203,,3.99,,,,
2204,,,14.01,,,
2205,,,,,6.82,
2206,,,,,,79.09
2207,24.05,,,,,
2208,17.89,,,,,
2209,,,,,4.95,
2210,,3.21,,,,
2211,,3.44,,,,
2212,,,,,,38.56
2213,,,,,8.25,
2214,,,,,,26.36
2215,,,48.4,,,
2216,,,,,,17.86
2217,,,,,,19.65
2218,,4.46,,,,
2219,24.48,,,,,
2220,,4.08,,,,
2221,,,,13.97,,
2222,,,,,,82.32
2223,,,,15.86,,
2224,,3.94,,,,
2225,32.9,3.7,15.71,26.34,10.64,65.06
2226,,,,27.07,,
2227,25.99,,,,,
2228,33.8,,,,,
2229,,,,21.39,,
2230,,,14.94,,,
2231,,,,20.42,,
2232,,,,,5.14,
2233,,,,13.96,,
2234,,,9.8,,,
2235,,,,,,69.53
2236,,,,15.8,,
2237,,3.14,,,,
2238,,,12.67,,,
2239,,,,21.66,,
2240,,,,,,74.1
2241,,,,27.22,,
2242,,,,21.47,,
2243,,,,,,49.59
2244,,,,,6.73,
2245,7.45,,,,,
2246,,2.67,,,,
2247,,,,19.13,,
2248,6.3,,,,,
2249,,,,12.84,,
2250,8.98,,,,,
2251,,,11.2,,,
2252,,,12.4,,,
2253,3.44,,,,,
2254,4.75,,,,,
2255,,,,,7.52,
2256,,,,,6.79,
2257,,,,,8.12,
2258,,,,17.22,,
2259,,,13.28,,,
2260,,,,,6.04,
2261,,6.44,,,,
2262,,,14.19,,,
2263,,,,19.88,,
2264,,,,,,129.88
2265,,,,27.6,,
2266,,,,,,114.36
2267,,,,101.54,,
2268,,,,172.77,,
2269,,5.69,,,,
2270,,,,172.02,,
2271,,,,,14.0,
2272,53.0,,,,,
2273,,,,,26.98,
2274,,,,,6.32,
2275,,,35.48,,,
2276,,,,,,23.11
2277,,,,72.03,,
2278,,,,,,10.9
2279,,,32.18,,,
2280,37.94,,,,,
2281,,,,,6.14,
2282,,,,,7.55,
2283,,,,,6.79,
2284,,3.82,,,,
2285,,,,,6.19,
2286,,,,,9.8,
2287,,3.95,,,,
2288,,,,226.79,,
2289,,,,,,4.36
2290,,,,,,3.94
2291,,4.97,,,,
2292,,4.81,,,,
2293,,,109.01,,,
2294,,,116.01,,,
2295,78.14,,,,,
2296,,,31.59,,,
2297,,,,127.76,,
2298,,5.04,,,,
2299,62.84,5.09,61.93,99.54,37.62,32.35
2300,,,,,,72.02
2301,,,,29.13,,
2302,72.39,,,,,
2303,67.23,,,,,
2304,,4.48,,,,
2305,,,,19.97,,
2306,,,,,6.45,
2307,,,,,,84.78
2308,,3.59,,,,
2309,110.0,,,,,
2310,56.46,,,,,
2311,11.64,,,,,
2312,,,,10.86,,
2313,,,,9.76,,
2314,,,7.47,,,
2315,,,,,,68.5
2316,,6.12,,,,
2317,,7.72,,,,
2318,,6.45,,,,
2319,4.93,,,,,
2320,3.7,4.21,10.64,16.99,6.35,93.96
2321,,4.04,,,,
2322,,,,,,100.9
2323,,4.03,,,,
2324,,4.1,,,,
2325,,,,,7.01,
2326,,,,,17.95,
2327,,4.77,,,,
2328,14.73,,,,,
2329,,,,,61.6,
2330,,,,22.6,,
2331,,,,,4.4,
2332,25.66,,,,,
2333,,,,,4.21,
2334,,4.84,,,,
2335,,,,,4.75,
2336,9.57,,,,,
2337,6.89,,,,,
2338,,,,,9.6,
2339,14.14,,,,,
2340,15.31,,,,,
2341,11.54,,,,,
2342,,,,,6.17,
2343,,,13.78,,,
2344,15.61,,,,,
2345,,3.96,,,,
2346,,,,24.04,,
2347,12.24,,,,,
2348,,,16.06,,,
2349,,,,,,91.27
2350,,,,,7.4,
2351,19.45,,,,,
2352,,,,,,60.12
2353,20.09,,,,,
2354,,4.5,,,,
2355,,,10.54,,,
2356,,4.68,,,,
2357,9.73,,,,,
2358,7.83,,,,,
2359,14.28,,,,,
2360,,,,,4.9,
2361,,,16.14,,,
2362,,,,35.45,,
2363,11.7,,,,,
2364,,3.96,,,,
2365,,,,,,71.53
2366,,,,,6.52,
2367,,,,,11.29,
2368,,,,,9.61,
2369,17.62,,,,,
2370,,,,,8.79,
2371,10.7,,,,,
