,S1_PM10,S1_PM25,S1_SO2,S1_NO2,S1_NOX,S1_NO,S2_PM10,S2_PM25,S2_SO2,S2_CO,S2_03,S5_PM10,S5_CO,S7_PM10,S9_PM10,S9_SO2,S9_NO2,S9_NOX,S9_NO,S10_PM10,S10_PM25,S10_CO,S11_PM10,S12_CO,S13_PM10,S13_PM25,S13_SO2,S14_PM10,S14_PM25,S14_SO2,S14_NO2,S14_NOX,S14_NO,S15_PM10,S15_SO2,S15_NO2,S15_NOX,S15_NO,S15_O3,S17_PM10,S17_PM25,S17_SO2,S17_NO2,S17_NOX,S17_NO,S17_O3
0,25.78,59.82,12.86,159.93,334.79,174.86,191.1,42.08,6.73,2132.53,4.84,114.1,983.84,92.66,108.09,5.52,80.31,309.27,228.96,5.29,38.78,3201.01,157.0,240.31,101.29,70.41,5.81,85.04,39.7,44.23,122.76,227.33,104.57,107.99,6.18,108.15,237.45,129.3,1.24,168.93,72.57,8.7,232.58,592.46,359.88,3.1
1,25.78,59.82,12.86,159.93,334.79,174.86,171.0,44.11,6.94,1972.46,4.57,114.1,983.84,90.08,108.09,2.52,80.31,309.27,228.96,3.41,42.99,3908.12,157.0,358.86,94.76,74.15,5.43,85.04,39.7,44.23,122.76,227.33,104.57,107.99,6.18,108.15,237.45,129.3,1.24,168.93,72.57,8.7,232.58,592.46,359.88,3.1
2,8.58,59.39,12.96,125.96,245.34,119.38,143.5,43.53,5.5,1696.22,3.94,63.97,1449.95,91.1,103.25,5.93,67.07,219.06,151.99,2.74,33.51,5601.02,147.26,454.97,90.35,72.82,5.1,68.79,45.3,31.73,147.37,302.99,155.62,102.72,4.41,83.61,172.76,89.14,3.97,175.13,85.43,11.11,262.78,673.75,410.96,2.72
3,23.25,64.53,12.15,129.92,263.59,133.67,125.5,39.14,5.5,1304.05,3.36,64.85,1810.38,87.92,95.99,6.16,159.63,334.99,175.36,14.05,51.62,4111.79,154.42,129.38,93.79,69.63,5.29,67.06,38.21,30.38,166.26,356.46,190.2,95.37,4.27,98.43,212.22,113.78,4.13,181.77,95.19,11.17,263.56,681.37,417.82,3.55
4,25.34,57.17,10.96,150.52,324.17,173.65,112.8,35.81,4.94,1132.15,3.18,69.91,1660.51,82.45,93.67,6.46,214.21,484.93,270.72,3.05,49.07,2885.23,156.54,231.18,82.58,66.63,4.78,65.8,44.14,27.07,169.47,365.31,195.84,86.68,3.63,80.92,163.4,82.48,3.86,179.82,89.47,9.9,219.58,559.38,339.79,2.71
5,6.25,51.6,10.07,120.23,236.76,116.53,105.7,36.95,4.4,1026.48,3.06,70.04,1395.78,80.55,93.9,5.63,64.67,274.33,209.66,80.11,35.34,2300.2,155.05,551.25,63.03,62.21,4.36,63.29,43.99,22.42,104.59,194.21,89.62,63.75,3.3,54.39,96.72,42.33,3.7,168.9,83.5,9.41,187.11,466.77,279.66,2.2
115,7.53,62.1,19.51,100.47,136.94,36.47,65.3,15.6,6.2,1063.04,2.43,54.02,338.65,22.67,45.06,6.49,68.93,89.54,20.61,22.54,7.39,1894.19,48.44,181.65,29.94,6.43,5.5,93.22,39.09,32.67,208.63,370.71,162.08,57.1,7.75,76.2,113.26,37.06,10.37,73.82,34.18,19.36,168.85,337.11,168.26,6.24
116,77.74,50.78,16.38,90.07,118.25,28.18,70.3,15.54,6.12,1022.34,2.72,48.48,619.84,20.03,45.34,6.44,127.21,200.02,72.81,38.79,5.25,1778.92,45.16,216.54,42.45,6.23,5.85,93.09,40.56,29.9,219.65,411.17,191.52,52.92,7.34,167.42,338.5,171.09,4.43,360.41,48.35,18.3,280.6,650.71,370.11,4.05
117,86.57,46.81,14.85,135.21,229.25,94.04,78.0,16.52,5.94,838.01,2.44,44.46,1243.24,18.1,45.88,6.26,138.13,227.31,89.18,40.23,3.67,1457.2,96.45,196.17,52.58,6.34,7.53,93.59,33.72,29.05,285.14,586.3,301.16,71.82,9.66,226.56,504.08,277.53,5.17,293.69,75.65,18.43,344.89,844.81,499.92,3.52
118,82.19,35.64,13.03,126.09,219.0,92.91,64.7,16.81,4.92,566.27,2.38,50.0,1193.87,14.54,45.44,6.2,124.97,203.84,78.87,29.97,2.57,1416.77,80.04,88.38,73.85,6.58,6.56,110.66,35.26,26.82,298.82,623.01,324.19,120.82,15.22,204.49,460.19,255.69,4.92,276.3,95.37,13.56,154.38,307.09,152.71,2.62
119,80.65,36.79,12.05,95.11,161.02,65.91,55.7,18.19,5.14,456.41,2.56,50.6,1572.65,15.55,45.32,5.44,102.39,145.33,42.94,28.28,1.8,1400.34,55.29,77.11,82.4,6.55,7.4,104.81,32.2,21.86,180.06,357.42,177.36,125.14,7.97,128.89,256.21,127.31,3.64,171.18,69.34,13.82,221.93,519.15,297.22,3.41
120,60.62,33.39,11.67,109.83,192.5,82.67,45.2,18.93,4.26,423.17,2.36,63.32,1531.89,13.68,44.53,5.39,107.38,167.47,60.09,20.45,1.26,1507.35,54.54,75.69,85.56,6.65,6.06,93.37,27.28,19.33,138.21,255.62,117.41,116.65,7.8,205.12,458.97,253.86,4.18,188.62,102.51,12.08,188.25,425.23,236.98,2.83
121,46.97,20.87,11.35,154.79,308.85,154.06,43.1,19.14,4.49,373.67,2.14,62.58,1284.28,14.05,39.29,5.5,150.36,283.51,133.15,16.81,1.32,1339.34,57.18,81.64,72.08,6.87,5.23,95.23,27.29,17.39,129.02,233.64,104.62,116.04,5.35,98.35,163.47,65.12,4.07,153.95,95.98,10.47,160.1,348.71,188.61,2.62
122,67.11,30.53,11.51,126.68,246.72,120.04,36.4,21.93,4.09,338.77,2.32,65.31,1387.66,11.64,36.2,5.08,113.24,196.52,83.28,12.66,0.97,1318.7,59.04,104.65,41.2,7.25,3.79,91.26,31.01,11.6,151.76,286.22,134.46,80.9,5.04,146.14,300.48,154.34,3.92,146.86,101.41,10.34,142.6,303.6,160.99,2.46
123,78.45,39.72,10.2,115.31,222.23,106.92,40.9,18.84,3.8,269.44,2.68,59.31,1070.32,14.95,38.32,5.02,96.54,156.57,60.03,14.77,1.67,1383.06,80.24,106.8,26.14,7.31,4.04,90.6,29.58,12.94,133.69,257.01,123.32,71.54,5.07,192.2,430.15,237.95,3.91,131.02,74.01,10.0,124.8,259.84,135.04,2.21
124,71.55,37.94,10.57,102.58,191.41,88.83,35.1,14.79,4.29,246.86,2.68,56.39,907.98,19.17,33.69,4.52,63.81,122.75,58.94,24.68,1.55,1427.61,84.25,113.03,29.43,6.85,3.47,89.28,38.17,11.27,106.91,196.25,89.34,68.71,4.55,140.01,301.59,161.58,3.88,127.31,68.83,9.08,98.74,185.06,86.31,2.32
125,70.92,37.5,10.63,110.03,218.84,108.81,26.1,13.56,3.57,208.96,2.94,49.29,900.48,20.6,32.94,4.29,60.09,112.25,52.16,23.21,1.12,1467.97,75.22,137.36,31.33,6.5,3.14,81.16,32.99,10.86,98.78,179.96,81.18,59.11,4.41,94.98,184.42,89.44,3.7,116.37,66.74,8.54,80.94,140.7,59.76,2.08
126,86.68,42.04,10.15,88.93,166.29,77.36,22.4,12.18,4.09,190.75,2.69,47.97,913.86,16.79,30.84,4.2,72.63,101.67,29.04,13.99,1.77,1400.92,79.88,158.13,28.49,6.82,2.99,67.7,29.27,10.68,96.62,173.47,76.85,62.09,3.9,97.12,179.71,82.59,3.82,102.3,66.9,8.52,75.02,129.24,54.21,2.13
127,91.52,36.96,10.23,90.17,168.32,78.15,26.2,11.19,4.07,215.54,2.38,41.8,705.71,15.65,27.48,4.34,80.49,122.27,41.78,20.79,1.89,1607.63,80.3,174.84,22.82,7.1,3.01,62.15,32.79,14.19,101.62,185.57,83.95,61.9,3.59,112.78,221.02,108.23,3.82,82.87,44.72,8.6,87.06,169.28,82.23,2.29
128,85.84,44.76,10.22,70.94,118.17,47.23,30.8,21.09,4.3,626.98,2.47,36.05,1011.67,22.34,25.58,4.79,111.15,196.07,84.92,16.51,1.38,1625.12,73.91,179.92,26.21,7.06,3.25,46.68,31.66,18.57,155.18,313.57,158.39,52.66,3.6,132.77,276.6,143.84,3.75,86.48,44.75,8.99,91.63,188.3,96.67,2.34
129,74.87,32.13,9.13,72.0,118.78,46.78,30.7,18.61,4.27,579.32,2.56,37.3,1350.85,27.07,22.31,5.68,65.2,211.27,146.07,14.28,1.53,2099.49,77.76,222.8,39.32,7.02,4.6,53.51,41.89,19.77,149.11,305.56,156.45,50.89,4.48,169.69,365.39,195.7,4.09,94.94,54.36,9.6,166.61,396.6,230.0,2.91
130,64.0,19.58,8.7,106.59,210.47,103.88,39.6,13.48,5.28,804.7,3.43,40.37,2140.08,32.84,29.2,6.92,174.23,367.96,193.73,29.72,6.73,3264.64,82.59,245.32,45.19,7.08,5.25,70.82,50.35,18.14,139.31,276.65,137.34,60.74,5.36,275.12,596.27,321.15,4.34,92.37,65.62,11.13,268.16,669.04,400.88,3.55
131,45.97,15.47,8.93,85.87,161.79,75.92,54.0,16.35,5.61,863.86,3.63,47.88,2612.11,31.45,36.45,10.11,165.97,344.46,178.49,32.22,5.22,2256.96,89.51,238.85,74.92,7.0,7.9,76.6,48.93,19.3,137.34,273.88,136.54,78.88,11.3,245.7,554.08,308.38,4.91,108.42,67.86,10.09,155.76,345.5,189.74,2.44
133,48.29,34.86,10.03,56.8,91.26,34.46,103.7,21.56,6.77,1053.92,4.1,81.66,2136.82,8.03,47.18,9.53,154.42,296.61,142.19,30.54,6.03,1906.34,81.44,214.37,104.8,6.52,10.83,86.61,48.19,21.09,71.19,111.15,39.96,151.17,9.42,41.94,66.35,24.41,9.86,83.21,37.85,13.11,73.2,125.8,52.6,7.54
134,51.96,27.4,12.59,48.92,78.81,29.89,112.6,29.29,7.82,991.65,3.89,101.28,1080.78,20.12,63.3,11.57,167.33,325.02,157.69,42.05,4.47,2452.94,70.79,220.1,92.78,6.8,11.37,76.73,46.77,19.78,69.32,102.06,32.74,98.24,9.77,34.55,51.19,16.64,11.41,69.33,33.37,13.51,86.84,151.71,64.87,5.22
135,45.92,28.87,13.64,68.31,114.07,45.76,122.5,28.06,7.28,982.07,3.46,104.55,635.37,26.32,70.42,12.09,132.14,247.83,115.69,63.01,3.67,2412.73,73.71,227.94,78.91,6.76,10.6,69.08,35.03,21.68,74.52,117.17,42.65,90.49,12.62,46.23,67.57,21.33,10.77,72.54,32.36,13.55,73.13,119.87,46.74,7.51
136,41.79,28.13,11.61,47.7,69.66,21.96,130.2,28.0,7.16,975.24,3.3,91.66,584.77,18.56,75.29,10.09,107.8,185.97,78.17,68.34,21.46,2303.67,78.11,216.4,70.87,6.7,9.16,69.69,30.21,19.16,76.98,123.71,46.73,83.25,14.9,43.69,61.88,18.2,11.36,72.84,24.62,14.55,72.01,120.8,48.79,8.47
137,50.42,33.28,11.53,48.86,71.32,22.46,121.3,30.75,5.82,1036.51,3.22,83.78,690.99,27.76,76.07,9.28,65.73,138.93,73.2,63.61,16.73,2005.1,69.33,5766.24,50.27,7.94,7.5,63.32,25.99,17.16,88.0,138.24,50.24,66.0,15.36,37.81,50.1,12.3,11.95,75.8,34.62,12.78,71.67,114.45,42.78,5.74
138,64.06,37.64,11.96,55.99,83.71,27.72,113.3,29.09,6.34,1405.06,3.46,81.01,619.04,38.47,82.76,7.09,107.0,183.38,76.38,65.81,11.95,1949.49,66.83,2973.43,41.0,8.06,7.24,54.43,18.19,15.46,97.46,166.64,69.18,63.88,13.77,58.38,89.71,31.32,7.59,72.99,30.67,12.28,88.07,154.37,66.3,3.89
139,67.46,29.24,10.82,51.7,78.87,27.17,111.9,25.0,6.48,1459.56,3.16,64.2,831.86,27.14,76.68,6.77,140.56,268.63,128.07,57.13,19.71,1926.33,63.38,4307.28,53.29,7.62,6.75,58.99,19.01,13.23,81.36,131.65,50.29,53.52,12.04,62.31,95.66,33.36,6.72,69.02,22.91,12.08,99.28,187.38,88.1,2.64
140,52.37,25.77,11.06,58.69,90.19,31.5,107.8,25.03,6.58,1333.1,3.27,56.27,744.61,53.49,77.56,6.91,70.97,214.5,143.53,42.27,14.83,1727.2,68.67,5221.77,65.32,7.53,7.72,61.23,24.68,14.72,117.03,214.1,97.07,46.4,10.24,89.47,161.36,71.89,4.06,69.21,32.75,11.37,122.0,256.22,134.23,2.29
141,57.28,28.14,10.97,51.23,106.2,54.97,110.4,24.57,6.06,1259.17,3.08,63.33,1115.37,62.83,76.52,12.01,75.33,293.51,218.18,29.28,11.26,1545.04,76.72,3788.42,69.56,7.32,7.27,68.29,23.3,16.6,152.92,299.59,146.67,56.12,8.03,134.53,277.52,142.98,4.14,75.69,33.1,11.15,137.34,309.27,171.93,2.54
142,51.14,33.6,11.07,113.99,223.91,109.92,104.1,25.87,6.63,1112.05,3.01,69.04,1278.53,41.15,79.06,9.18,151.82,303.17,151.35,32.43,12.19,1596.98,84.29,2611.84,63.23,6.95,7.96,72.35,37.26,15.95,153.16,298.09,144.93,62.54,6.54,121.38,259.32,137.93,3.94,65.73,37.74,11.18,132.36,294.42,162.06,2.48
143,51.74,43.09,12.69,134.11,275.72,141.61,102.7,27.44,6.07,1007.34,2.75,65.04,1207.84,29.28,81.06,8.26,155.06,320.92,165.86,31.79,8.91,1592.69,83.74,2009.81,64.17,7.02,6.72,72.06,44.52,16.51,192.12,398.97,206.85,56.64,4.89,95.77,194.98,99.21,3.85,73.84,45.88,10.75,128.66,289.09,160.43,2.08
144,72.4,53.53,10.81,87.39,154.85,67.46,92.7,26.26,6.54,994.5,2.5,63.74,1603.42,25.57,83.81,8.5,59.33,171.31,111.98,35.5,6.59,1408.51,84.81,3448.33,67.31,7.29,5.98,70.83,40.37,14.99,132.78,273.54,140.76,54.63,4.29,75.18,141.6,66.42,3.86,80.17,54.64,10.52,131.33,300.81,169.48,2.57
145,68.12,51.26,11.18,175.53,392.29,216.76,83.8,21.95,5.91,1121.6,2.54,79.64,1394.13,27.62,73.66,8.44,92.55,159.18,66.63,22.24,5.61,1393.73,92.84,3360.93,52.84,7.44,5.32,83.04,68.02,16.37,167.08,352.54,185.46,57.35,3.86,69.74,125.55,55.81,3.63,87.17,63.14,9.85,150.99,359.25,208.26,2.06
146,64.96,41.6,11.13,145.14,319.12,173.98,72.1,22.76,5.16,973.04,2.76,70.83,1188.75,26.26,52.67,9.33,106.63,203.3,96.67,18.91,4.01,1361.8,80.92,2122.59,47.32,7.45,4.72,97.19,87.48,16.83,230.07,519.16,289.09,45.66,4.45,100.7,208.44,107.75,3.86,92.08,59.66,9.73,149.82,365.37,215.55,2.41
147,79.86,48.41,9.98,120.53,251.75,131.22,55.2,20.36,5.29,908.06,2.51,72.46,812.99,26.24,45.52,8.08,98.05,180.95,82.9,16.65,3.14,1314.5,85.25,1432.91,49.35,7.01,4.32,93.5,83.14,13.04,142.79,282.18,139.39,50.2,4.5,80.32,155.85,75.54,3.8,98.32,62.04,9.99,118.07,270.04,151.98,2.94
149,66.16,43.55,11.33,173.36,394.58,221.22,52.5,15.24,4.45,542.59,2.16,59.14,757.12,30.38,36.05,6.75,71.39,106.56,35.17,18.26,2.4,1367.5,99.2,467.04,50.54,6.66,3.96,109.3,106.52,20.35,134.72,267.0,132.28,44.84,3.93,75.75,146.56,70.81,3.7,89.13,49.02,9.74,94.29,198.41,104.13,1.95
150,18.76,54.99,10.62,140.42,308.26,167.84,52.3,11.85,5.1,385.54,2.5,47.67,431.78,22.55,32.01,6.98,44.92,55.68,10.76,15.11,2.68,1388.92,92.33,464.39,42.89,6.87,3.85,106.53,62.59,21.04,95.19,168.55,73.36,48.16,2.88,72.07,137.0,64.92,3.74,86.79,53.96,9.47,75.29,140.33,65.04,1.67
151,71.06,55.53,9.35,96.08,183.98,87.9,41.5,15.11,4.34,384.3,2.6,45.09,414.26,19.58,29.21,6.79,54.16,65.52,11.36,19.99,3.06,1411.65,86.72,365.36,33.1,6.97,3.33,108.34,35.88,17.21,83.12,136.56,53.44,51.04,2.83,48.32,71.6,23.28,3.9,63.52,35.25,8.56,41.8,57.0,15.2,7.28
152,21.72,64.87,10.24,106.27,223.5,117.23,30.5,17.9,4.87,570.92,2.27,39.49,428.49,18.09,21.78,6.85,74.96,113.19,38.23,13.03,2.24,1514.35,84.04,367.31,32.62,6.88,3.09,104.74,23.86,21.57,89.82,153.98,64.16,36.91,2.71,56.7,92.48,35.78,3.77,56.62,25.88,8.7,70.86,132.08,61.23,4.77
153,5.41,62.34,9.46,92.67,182.79,90.12,35.1,18.15,4.72,554.9,2.44,41.73,454.37,23.24,21.23,6.65,85.67,139.18,53.51,8.92,2.73,1611.15,76.72,977.78,37.88,6.97,2.73,89.22,23.48,20.48,77.35,119.55,42.2,45.84,2.73,57.96,88.48,30.52,3.89,51.13,28.68,8.48,90.38,179.36,88.98,1.95
154,19.17,50.79,8.67,56.37,89.82,33.45,36.0,14.39,4.69,541.57,2.46,38.3,680.37,21.52,23.79,5.51,57.89,77.0,19.11,17.25,2.89,1759.75,85.36,1231.41,37.14,6.86,2.86,76.65,35.64,21.93,81.86,130.38,48.52,42.68,2.87,60.54,90.2,29.66,5.36,44.88,25.76,8.39,61.59,92.52,30.93,3.6
155,67.03,50.57,8.7,60.89,87.57,26.68,47.3,13.58,4.22,572.57,2.79,37.02,639.13,21.42,28.8,5.83,66.23,90.12,23.89,19.0,2.1,1818.16,70.77,1252.03,40.71,6.49,3.02,75.81,37.89,22.7,79.92,130.03,50.11,30.78,3.1,59.57,97.33,37.76,7.24,48.62,28.54,9.11,72.67,114.96,42.3,3.75
158,36.19,14.62,8.64,55.08,78.06,22.98,45.2,19.61,4.67,561.61,3.43,42.87,676.7,64.19,34.58,8.96,72.91,109.49,36.58,14.65,7.79,1884.38,51.65,1431.63,60.8,6.52,3.84,49.33,13.1,13.53,76.81,117.69,40.88,21.51,2.75,31.54,42.12,10.58,14.8,46.84,27.56,9.57,83.99,143.51,59.52,4.96
159,48.89,46.25,8.62,49.08,68.77,19.69,54.5,18.41,4.94,610.23,3.51,49.3,752.61,60.29,38.32,9.16,69.12,106.36,37.24,22.74,6.48,1882.63,57.52,1406.15,61.24,6.51,3.83,46.3,13.62,11.84,62.76,90.29,27.53,21.86,3.58,33.35,45.06,11.71,16.44,59.51,27.78,9.21,79.09,131.65,52.56,7.61
160,39.88,33.74,8.42,33.56,44.43,10.87,61.9,17.23,5.05,694.98,3.2,55.23,837.14,48.6,35.34,7.02,74.63,113.9,39.27,27.47,19.6,1842.43,45.5,1609.53,64.82,6.45,3.9,41.85,20.47,11.49,67.28,94.03,26.75,22.48,3.82,39.72,55.91,16.19,13.52,49.06,24.83,9.35,76.92,126.28,49.36,7.55
161,39.49,30.42,8.9,36.38,50.99,14.61,57.0,21.07,4.87,693.3,2.89,55.9,852.14,35.7,43.17,6.54,70.71,102.68,31.97,21.0,15.98,1852.85,43.06,1829.74,50.47,7.2,3.85,45.3,20.22,11.68,68.95,96.78,27.83,17.97,3.73,35.27,44.72,9.45,14.96,43.31,22.27,9.3,81.86,132.53,50.67,6.57
162,26.7,22.45,8.56,46.5,63.06,16.56,60.6,25.51,4.69,728.05,2.44,65.12,786.99,35.98,44.66,5.85,58.13,87.89,29.76,23.31,14.6,1928.48,43.27,2303.86,41.43,7.16,3.67,44.29,14.67,11.08,65.63,82.53,16.9,23.29,3.28,39.05,47.69,8.64,14.67,36.12,30.41,8.87,86.28,135.54,49.26,5.24
163,34.02,12.62,9.06,55.96,77.13,21.17,64.4,20.76,4.92,793.22,2.55,61.64,715.0,38.34,43.03,5.83,84.62,119.66,35.04,35.63,11.1,2044.51,36.03,1761.35,51.17,6.93,3.88,42.39,15.27,10.42,72.65,94.4,21.75,21.13,2.68,43.37,54.63,11.26,13.51,35.05,22.58,8.69,88.2,131.74,43.54,3.62
164,26.54,18.45,9.01,59.53,79.32,19.79,57.1,21.98,4.28,715.53,2.26,52.38,769.75,28.22,43.39,5.4,92.64,137.18,44.54,48.82,7.82,2033.03,38.32,1467.56,68.65,8.37,3.82,42.01,18.23,10.12,67.33,82.58,15.25,15.3,2.67,44.14,52.78,8.64,11.88,35.62,30.56,8.52,86.69,123.34,36.65,1.91
165,41.12,24.58,8.38,65.75,89.54,23.79,54.2,20.92,4.68,676.66,2.33,51.56,716.73,26.32,50.82,5.28,88.2,126.11,37.91,45.76,5.9,2141.84,39.37,1194.85,59.35,8.8,4.05,41.55,12.76,9.6,61.95,73.94,11.99,14.69,2.62,56.77,72.96,16.19,8.89,39.28,29.03,8.35,82.93,117.25,34.32,1.95
166,41.25,21.05,8.17,73.46,96.72,23.26,56.0,21.09,4.24,670.39,2.34,49.36,633.46,33.87,49.74,5.08,96.88,147.43,50.55,42.52,13.03,1787.68,41.21,1233.82,42.03,7.72,3.73,38.48,14.23,8.76,51.39,62.7,11.31,30.1,3.03,39.48,44.61,5.13,11.24,30.99,24.01,8.16,78.69,107.16,28.46,2.24
167,51.21,26.49,8.03,60.66,74.3,13.64,50.0,24.29,4.44,724.58,2.46,38.95,734.0,38.14,45.14,4.93,91.19,135.84,44.65,37.37,9.92,1768.2,34.43,1154.41,38.01,7.84,3.3,36.84,19.56,9.06,59.94,74.34,14.4,21.86,2.7,36.47,40.92,4.45,11.91,38.22,29.32,8.29,72.75,93.19,20.44,2.23
168,46.37,30.91,7.81,58.36,71.92,13.56,52.7,23.97,4.56,532.57,2.17,40.11,703.59,43.75,45.48,5.1,82.08,113.3,31.22,36.74,7.56,1823.65,43.24,1136.27,27.93,7.7,2.81,32.06,17.89,8.9,61.41,77.03,15.62,20.86,2.38,39.46,46.16,6.7,10.4,45.06,31.76,7.98,72.47,91.93,19.46,2.56
169,42.39,20.54,7.96,54.9,65.76,10.86,49.5,19.86,4.03,491.08,1.89,36.94,570.57,36.96,47.83,4.93,78.78,102.82,24.04,32.87,12.42,1781.92,34.76,1354.53,35.52,6.91,2.63,37.85,21.66,8.69,61.19,74.2,13.01,22.36,2.26,40.55,45.5,4.95,9.37,43.12,23.87,7.79,71.81,92.99,21.18,2.27
171,38.67,20.51,7.67,61.07,74.55,13.48,47.8,17.04,4.23,619.47,2.05,35.7,639.14,33.1,36.01,5.77,76.01,92.72,16.71,28.63,7.72,1768.95,40.02,1050.11,41.99,7.18,2.42,35.86,14.54,10.02,57.04,68.36,11.32,13.48,2.01,26.55,29.38,2.83,14.77,31.02,21.36,7.93,72.41,89.22,16.81,2.19
172,34.38,27.15,7.71,58.34,68.39,10.05,42.9,13.86,3.69,468.67,2.13,41.05,663.07,32.73,35.02,4.72,75.43,89.62,14.19,28.06,6.44,1737.32,33.45,807.79,37.45,6.43,2.24,36.62,19.34,9.85,53.86,64.84,10.98,12.55,1.6,25.39,27.06,1.67,15.18,22.88,15.34,7.72,70.42,83.86,13.45,2.37
173,29.34,25.91,7.64,54.87,61.64,6.77,42.0,16.23,4.01,485.3,2.31,41.01,587.14,30.74,42.21,4.1,61.45,71.22,9.77,25.49,4.59,1662.26,34.2,728.79,37.71,6.88,2.06,39.73,25.3,9.38,48.5,59.17,10.67,9.7,1.73,25.21,26.64,1.43,15.02,30.81,15.09,7.34,64.5,73.96,9.46,3.95
174,32.89,17.19,7.61,46.45,51.79,5.34,46.8,14.97,3.64,460.38,2.02,35.54,533.88,30.45,39.23,4.14,70.67,81.16,10.49,32.59,4.32,1709.64,36.65,817.47,34.74,7.29,2.05,38.96,28.01,9.55,69.3,81.81,12.51,12.17,1.72,24.98,26.43,1.46,14.54,33.37,11.28,7.22,62.37,71.42,9.05,5.19
175,40.36,10.73,7.54,37.81,41.7,3.89,40.5,12.97,3.68,488.65,2.13,35.89,555.08,27.12,33.8,4.05,73.96,86.64,12.68,19.55,3.35,1834.51,34.51,843.16,25.65,6.89,1.94,51.17,45.94,9.74,81.25,97.04,15.79,11.87,1.46,23.0,24.53,1.53,15.59,26.19,8.85,7.21,68.81,79.06,10.25,2.98
176,42.1,19.95,7.73,42.26,45.68,3.42,36.1,16.3,3.68,473.93,1.89,29.19,592.75,19.24,35.91,3.98,66.9,84.57,17.67,30.74,2.37,1789.19,36.98,1203.73,34.46,7.07,1.94,45.72,45.3,9.07,64.89,79.17,14.28,8.86,1.29,22.12,25.11,3.0,17.5,26.53,6.96,7.37,72.61,87.24,14.63,2.71
177,38.92,23.7,8.29,55.53,61.12,5.59,35.5,15.39,3.36,485.15,2.27,32.83,625.48,18.36,39.85,3.88,79.36,97.47,18.11,27.74,2.81,1825.95,35.89,1098.85,35.69,7.17,2.02,36.09,30.38,9.28,82.3,100.16,17.86,6.63,1.62,21.24,23.65,2.41,17.08,31.95,7.17,7.25,74.23,89.34,15.11,2.37
178,43.22,17.2,7.44,56.45,63.23,6.78,35.5,12.73,3.74,478.18,2.69,33.48,604.77,21.84,34.61,4.18,82.49,115.69,33.2,42.76,5.88,1854.86,27.14,802.55,25.98,6.67,2.01,26.21,21.89,9.22,73.21,93.73,20.52,6.54,1.58,21.32,23.68,2.36,17.24,32.87,5.09,7.31,77.71,101.12,23.42,2.76
179,28.54,14.54,7.1,56.55,62.21,5.66,30.0,15.68,3.76,503.05,3.31,29.24,656.02,17.42,36.93,4.16,82.01,117.2,35.19,49.02,4.46,1923.86,35.35,726.11,35.2,7.34,2.15,26.92,16.01,9.12,51.0,68.76,17.76,5.25,1.68,23.66,28.64,4.98,16.63,36.29,5.11,7.35,81.98,118.53,36.55,4.38
180,30.07,20.52,7.23,70.91,87.72,16.81,46.4,19.14,4.19,590.02,3.46,26.23,663.35,38.13,39.91,4.33,79.19,113.8,34.61,49.39,3.41,2000.96,33.68,915.03,48.31,7.63,2.44,20.0,11.7,9.42,63.42,91.31,27.89,5.01,1.73,29.86,39.36,9.5,14.71,36.76,12.48,7.45,79.12,118.06,38.94,6.93
181,36.91,28.44,7.59,70.03,93.14,23.11,60.5,15.63,3.86,577.46,4.58,27.71,685.92,42.45,43.13,4.58,80.64,120.58,39.94,32.23,13.51,2041.12,37.61,1190.94,49.05,7.38,2.56,24.72,8.19,9.93,85.23,124.91,39.68,8.46,1.52,31.43,39.62,8.19,14.49,33.11,8.75,7.93,80.2,124.37,44.16,8.1
182,26.79,22.19,7.58,63.36,88.5,25.14,64.3,17.33,4.29,635.6,4.83,23.96,731.94,42.4,43.7,5.12,57.34,99.94,42.6,31.78,11.18,2173.92,39.14,1211.9,45.93,7.84,2.94,33.42,5.97,9.92,89.47,132.97,43.5,7.42,1.73,31.67,40.72,9.05,15.0,36.21,7.61,8.15,81.58,127.53,45.95,10.25
183,24.65,16.25,7.92,70.31,101.15,30.84,73.4,18.44,4.69,677.45,4.41,26.67,919.11,37.59,47.71,5.56,83.62,127.26,43.64,37.33,18.76,2048.61,42.25,1350.88,40.57,7.94,2.91,31.02,4.94,10.29,83.99,121.2,37.21,13.06,2.04,34.89,44.62,9.73,15.3,42.29,21.41,8.23,77.6,120.88,43.28,12.43
184,19.47,20.35,8.02,80.03,120.85,40.82,78.5,14.23,4.71,748.14,3.88,36.43,807.67,35.76,47.09,5.26,80.78,124.73,43.95,44.46,26.81,1951.98,45.2,1309.64,41.32,7.51,3.08,39.48,4.13,10.13,70.17,102.21,32.04,13.3,1.64,32.08,42.54,10.46,14.8,31.89,23.73,8.09,87.9,143.73,55.83,9.17
185,24.05,22.73,7.96,68.34,97.89,29.55,77.2,14.7,4.52,795.99,3.16,37.94,919.49,32.02,49.44,4.74,87.69,134.53,46.84,44.4,19.92,1976.33,50.42,1431.54,37.13,8.56,2.67,41.29,4.81,9.8,67.8,100.2,32.4,10.22,1.67,29.5,39.85,10.35,15.91,41.35,25.02,7.9,86.81,137.28,50.46,9.56
