,S14_PM10,S14_PM25,S14_SO2,S14_NO2,S14_NOX,S14_NO
283,,,7.06,,,
284,,,,,93.98,
285,25.1,,,,,
286,,,,,,20.97
287,24.6,,,,,
288,,,,,,2.76
289,,,,,,7.13
290,,2.09,,,,
291,,,1.73,,,
292,,1.22,,,,
293,,,,,,4.36
294,,,,30.78,,
295,3.28,,,,,
296,,,,,42.23,
297,,1.03,,,,
298,4.71,,,,,
299,,,,,,4.08
300,,,1.24,,,
301,,0.45,,,,
302,,,,,,29.58
303,,,,,,4.89
304,,,1.98,,,
305,,,,,,5.79
306,9.27,,,,,
307,,,,,,1.28
308,,,,,36.85,
309,,,,,32.59,
310,0.93,,,,,
311,0.88,,,,,
312,,,,38.41,,
313,,,3.63,,,
314,,,,,,24.37
315,,,2.93,,,
316,,,1.0,,,
317,,,1.15,,,
318,,,,,,11.74
319,,4.64,,,,
320,,,,,,109.46
321,,,,,,89.84
322,,,,,,10.23
323,22.44,,,,,
324,,,,,36.58,
325,,,0.66,,,
326,,,,,94.32,
327,,,,,89.67,
328,,,,83.6,,
329,,1.67,,,,
330,17.96,,,,,
331,19.65,,,,,
332,,,1.35,,,
333,21.59,,,,,
334,,,,,,5.79
335,,,,,39.77,
336,,,,,,7.17
337,10.18,,,,,
338,7.89,,,,,
339,,0.96,,,,
340,,1.71,,,,
341,,,,34.67,,
342,,1.33,,,,
343,,1.25,,,,
344,,,,33.56,,
345,22.87,,,,,
346,22.72,3.63,1.99,52.94,70.73,17.79
347,,,,47.65,,
348,,,,43.01,,
349,,,,,60.17,
350,,,,,88.01,
351,18.9,,,,,
352,,,,,,43.23
353,,,,,193.16,
354,,,1.46,,,
355,,,,,145.66,
356,,,,101.75,,
357,,,1.37,,,
358,56.16,,,,,
359,,,3.94,,,
360,,,,79.61,,
361,,,,30.99,,
362,31.42,,,,,
363,,,,33.92,,
364,,,0.74,,,
365,19.77,,,,,
366,19.78,,,,,
367,,,,,41.9,
368,,,,27.48,,
369,,13.8,,,,
370,21.62,,,,,
371,22.21,,,,,
372,20.92,,,,,
373,,,,,,17.84
374,,,0.52,,,
375,,,,54.22,,
376,,,,58.37,,
377,,,,,,11.36
378,,,,64.29,,
379,25.36,,,,,
380,,,,,,6.86
381,,,,34.15,,
382,,,1.15,,,
383,,,,42.08,,
384,,5.83,,,,
385,,,,119.49,,
386,46.28,,,,,
387,,,3.91,,,
388,82.98,,,,,
389,,,5.96,,,
390,72.76,,,,,
391,,,,36.05,,
392,,28.25,,,,
393,38.93,,,,,
394,34.12,20.07,5.13,46.51,66.31,19.8
395,28.54,17.47,1.69,27.51,34.03,6.52
396,,,,31.36,,
397,,,,,,6.61
398,,,,84.0,,
399,11.77,,,,,
