,S14_PM10,S14_PM25,S14_SO2,S14_NO2,S14_NOX,S14_NO
1213,,,,,,10.88
1214,,3.79,,,,
1215,,,,,119.79,
1216,41.04,,,,,
1217,,,2.35,,,
1218,,,,23.65,,
1219,,,,,36.78,
1220,,,,49.27,,
1221,,4.26,,,,
1222,,,2.39,,,
1223,11.3,,,,,
1224,,,2.15,,,
1225,,,,92.38,,
1226,43.74,,,,,
1227,,,,61.06,,
1228,,,,,78.71,
1229,,3.39,,,,
1230,,3.27,,,,
1231,13.75,,,,,
1232,12.97,,,,,
1233,22.86,3.29,1.69,69.53,114.35,44.82
1234,,,,,105.95,
1235,72.73,,,,,
1236,,,1.7,,,
1237,,,,,,10.1
1238,,,1.81,,,
1239,,,,,32.72,
1240,,,,24.72,,
1241,23.14,,,,,
1242,,9.9,,,,
1243,,,,28.86,,
1244,,,,,46.7,
1245,,,,,59.41,
1246,17.86,,,,,
1247,,,,,50.69,
1248,,,,55.49,,
1249,,3.67,,,,
1250,17.92,,,,,
1251,,,1.64,,,
1252,,,,,29.38,
1253,,,,,29.62,
1254,,,,36.02,,
1255,,,1.47,,,
1256,,,1.43,,,
1257,,,,42.08,,
1258,,,,,,24.34
1259,,,1.31,,,
1260,,,1.48,,,
1261,,,,,47.37,
1262,,,1.51,,,
1263,12.01,3.52,1.52,27.39,39.34,11.95
1264,,,,,38.18,
1265,,5.0,,,,
1266,12.0,,,,,
1267,,,,,,4.72
1268,,,1.54,,,
1269,,,1.55,,,
1270,,,,,48.26,
1271,,,,51.83,,
1272,,,1.14,,,
1273,,,,,,5.48
1274,,3.67,,,,
1275,,,,,22.41,
1276,9.93,,,,,
1277,11.25,,,,,
1278,,,,,,14.75
1279,,,,42.23,,
1280,,,,38.04,,
1281,,,1.23,,,
1282,,,,,,17.82
1283,19.22,,,,,
1284,,,,33.85,,
1285,26.46,,,,,
1286,,,1.04,,,
1287,13.73,,,,,
1288,,,1.14,,,
1289,,,1.08,,,
1290,,,,,76.42,
1291,,,,,,7.94
1292,,,,,59.74,
1293,,,,,,5.97
1294,,,,,24.06,
1295,,,,36.49,,
1296,,,,,51.26,
1297,,4.04,,,,
1298,,,1.36,,,
1299,,,1.26,,,
1300,31.56,,,,,
1301,27.6,,,,,
1302,,,,16.04,,
1303,,,,27.71,,
1304,21.03,,,,,
1305,,,1.26,,,
1306,13.71,,,,,
1307,,,,,62.78,
1308,,,1.44,,,
1309,,,,,29.53,
1310,,3.92,,,,
1311,,,,,74.4,
1312,,,,,63.24,
1313,13.9,,,,,
1314,,,,,78.36,
1315,,,,35.29,,
1316,,3.85,,,,
1317,,3.59,,,,
1318,,3.53,,,,
1319,,,1.34,,,
1320,,,1.26,,,
1321,,,,,,17.62
1322,31.34,,,,,
1323,,,,30.61,,
1324,,,,,,11.54
1325,,,,31.76,,
1326,20.08,,,,,
1327,,,,47.79,,
1328,12.34,,,,,
1329,,,1.43,,,
1330,,,1.43,,,
1331,,,,45.56,,
1332,,,1.27,,,
1333,,,,,75.71,
1334,,,,55.89,,
1335,,,,102.92,,
1336,40.63,,,,,
1337,,,1.24,,,
1338,25.97,,,,,
1339,,,,,59.27,
1340,,,,71.92,,
1341,,,,,,32.9
1342,,,,79.65,,
1343,,,,,69.58,
1344,,,1.35,,,
1345,,,,,,9.28
1346,,,,58.74,,
1347,,,1.5,,,
1348,,,,,89.87,
1349,,,,65.66,,
1350,18.52,,,,,
1351,,,,,50.89,
1352,,5.06,,,,
1353,,,,71.13,,
1354,,,,44.74,,
1355,,,,47.17,,
1356,18.98,,,,,
1357,,3.77,,,,
1358,,,,,,15.74
1359,,,,79.08,,
1360,,,,,,11.37
1361,,,,,55.36,
1362,,,1.28,,,
1363,,,,35.0,,
1364,,,,29.96,,
1365,,,,,,7.64
1366,,,,,,12.68
1367,,,,58.6,,
1368,,,,67.12,,
1369,,,1.31,,,
1370,,,,,111.07,
1371,38.84,,,,,
1372,,,,,,9.26
1373,,,,,36.27,
1374,,4.37,,,,
1375,,3.96,,,,
1376,,,,,,12.22
1377,,3.47,,,,
1378,6.6,,,,,
1379,,3.23,,,,
1380,,,1.19,,,
1381,,,,127.86,,
1382,,3.12,,,,
1383,,,,59.13,,
1384,,,,,,15.88
1385,,,1.19,,,
1386,,3.96,,,,
1387,,3.98,,,,
1388,12.42,,,,,
1389,,,,,,42.97
1390,,6.45,,,,
1391,,,,78.84,,
1392,,,,69.07,,
1393,,,,57.11,,
1394,,,,,,11.48
1395,,,,43.52,,
1396,,,1.27,,,
1397,,,,,,28.54
1398,,,,61.22,,
1399,,,1.26,,,
1400,,3.86,,,,
1401,,3.6,,,,
1402,,,,,110.65,
1403,,,,,,10.91
1404,,,,,97.36,
1405,19.73,,,,,
1406,13.96,,,,,
1407,,4.61,,,,
1408,,,0.99,,,
1409,,,,45.65,,
1410,,,1.09,,,
1411,,4.51,,,,
1412,,4.24,,,,
1413,48.9,,,,,
1414,,6.37,,,,
1415,,,,,76.12,
1416,,,,,50.63,
1417,,,,,,8.11
1418,,,,,56.29,
1419,,,,,,9.55
1420,,,,,71.11,
1421,,,,,,18.86
1422,,,1.35,,,
1423,,,1.29,,,
1424,,,,,20.0,
1425,,,,,,3.83
1426,15.7,,,,,
1427,,,1.25,,,
1428,,,,,,5.55
1429,,,1.12,,,
1430,,,1.06,,,
1431,,,1.12,,,
1432,,,,,,6.57
1433,,,,28.21,,
1434,,3.8,,,,
1435,38.16,,,,,
1436,,,,,,14.68
1437,35.91,,,,,
1438,,5.03,,,,
1439,40.9,,,,,
1440,42.7,,,,,
1441,,,,,42.35,
1442,,,,,48.56,
1443,,,,33.74,,
1444,,,,,,13.89
1445,,,,,,13.12
1446,22.25,,,,,
1447,15.7,,,,,
1448,,3.52,,,,
1449,,,,,,4.15
1450,,,,,,4.22
1451,,,,56.16,,
1452,,,,,,3.94
1453,4.65,,,,,
1454,,,,,,12.8
1455,,3.42,,,,
1456,,4.1,,,,
1457,45.3,,,,,
1458,,,,,,13.25
1459,,4.09,,,,
1460,,,,,,18.87
1461,43.65,,,,,
1462,,,,,,20.34
1463,,4.4,,,,
1464,,,,,,6.03
1465,,,,,49.62,
1466,,,,52.46,,
1467,,,,,97.92,
1468,,,1.44,,,
1469,,,1.36,,,
1470,,,,,52.52,
1471,,3.65,,,,
1472,,,,,,4.41
1473,,3.43,,,,
1474,,4.09,,,,
1475,,,,15.58,,
1476,,,,32.15,,
1477,,,,,,19.97
1478,,5.01,,,,
1479,,,1.59,,,
1480,,,1.45,,,
1481,,,,,,16.6
1482,,,,,48.24,
1483,,,,,,8.77
1484,,,,,,7.25
1485,,,,,,6.63
1486,,3.75,,,,
1487,7.05,,,,,
1488,,,,110.28,,
1489,,3.86,,,,
1490,,,,,,29.12
1491,,,,82.28,,
1492,4.84,4.33,1.09,42.99,52.02,9.03
1493,,,,37.74,,
1494,,4.48,,,,
1495,,,,60.68,,
1496,,,,,70.18,
1497,,,,,,15.5
1498,,,,,,7.6
1499,,,,13.82,,
1500,,,,18.94,,
1501,,5.2,,,,
1502,,,1.03,,,
1503,,,,,,4.26
1504,,,,,36.38,
1505,5.44,,,,,
1506,,,2.61,,,
1507,3.66,,,,,
1508,,,,29.61,,
1509,,,,,78.04,
1510,,,,,,16.04
1511,,,,,,20.45
1512,,,,,,10.29
1513,,,,20.92,,
1514,,,,,,7.03
1515,,,2.51,,,
1516,,5.51,,,,
1517,10.0,,,,,
1518,,,,20.8,,
1519,,,2.51,,,
1520,9.56,,,,,
1521,,,,103.54,,
1522,,,,,83.23,
1523,,,2.24,,,
1524,,,2.27,,,
1525,,9.46,,,,
1526,,,2.16,,,
1527,,,,36.77,,
1528,,,,,39.01,
1529,,,,,55.92,
1530,,4.39,,,,
1531,,4.1,,,,
1532,,4.48,,,,
1533,,,,,,18.94
1534,,,,,,15.57
1535,,,2.29,,,
1536,7.82,,,,,
1537,,,,,49.18,
1538,8.58,,,,,
1539,6.74,,,,,
1540,10.41,,,,,
1541,,,,,,5.07
1542,,,,37.09,,
1543,,,,,33.24,
1544,,,,,30.8,
1545,,,,,,7.1
1546,4.59,,,,,
1547,,,,,,31.36
1548,,3.9,,,,
1549,,5.15,,,,
1550,,,,38.62,,
1551,,,,44.28,,
1552,,,,57.08,,
1553,,,,,84.43,
1554,8.15,,,,,
1555,,,,,53.22,
1556,,,,,,4.48
1557,,4.15,,,,
1558,,,2.02,,,
1559,,,2.0,,,
1560,,,,,21.87,
1561,,,,,,27.79
1562,,,,,,13.93
1563,,6.02,,,,
1564,38.61,,,,,
1565,30.7,,,,,
1566,27.0,,,,,
1567,,,2.45,,,
1568,,,,38.24,,
1569,,,,,,14.27
1570,,5.07,,,,
1571,,,2.43,,,
1572,,,,72.53,,
1573,,,,,80.65,
1574,,,2.06,,,
1575,32.15,,,,,
1576,,3.12,,,,
1577,,,1.93,,,
1578,,3.31,,,,
1579,19.99,,,,,
1580,24.68,,,,,
1581,,,,,,39.43
1582,,12.92,,,,
1583,,,,76.77,,
1584,,7.97,,,,
1585,,,,36.83,,
1586,,,,47.45,,
1587,25.72,,,,,
1588,18.82,,,,,
1589,,,,,137.09,
1590,,5.06,,,,
1591,,,,61.2,,
1592,,4.01,,,,
1593,,,2.13,,,
1594,,,,,,5.45
1595,,,,,74.61,
1596,,,,58.49,,
1597,,,,,74.25,
1598,,4.35,,,,
1599,,,,,,26.42
1600,,,,92.88,,
1601,,,,,,42.99
1602,,,1.98,,,
1603,25.16,,,,,
1604,,,,37.02,,
1605,14.24,3.4,2.27,36.49,46.0,9.5
1606,,,2.23,,,
1607,,,,,44.26,
1608,,,2.3,,,
1609,,,2.27,,,
1610,,,,,22.69,
1611,,,,,,6.57
1612,,,,,39.18,
1613,,3.86,,,,
1614,,,,,37.18,
1615,,,,,,2.42
1616,,,,25.01,,
1617,,,1.91,,,
1618,,,,28.56,,
1619,,,2.07,,,
1620,,,,,58.95,
1621,,,,48.04,,
1622,,,,48.31,,
1623,,,,,68.94,
1624,,,,,57.34,
1625,,,,,37.3,
1626,,3.98,,,,
1627,,,1.9,,,
1628,,,,25.85,,
1629,,4.65,,,,
1630,,,,20.83,,
1631,,,1.83,,,
1632,,3.92,,,,
1633,,3.64,,,,
1634,,,,29.63,,
1635,,,1.9,,,
1636,,,,33.19,,
1637,32.98,,,,,
1638,,,,,23.69,
1639,,,,,,1.22
1640,,,,,,0.89
1641,,,,21.86,,
1642,14.73,,,,,
1643,,,2.35,,,
1644,56.52,,,,,
1645,66.09,,,,,
1646,,,,,,4.37
1647,74.89,,,,,
1648,,3.32,,,,
1649,,,,,,0.92
1650,,,,,,0.96
1651,,,1.92,,,
1652,,3.08,,,,
1653,6.22,,,,,
1654,5.07,,,,,
1655,,,,23.01,,
1656,,,,,,9.56
1657,37.58,,,,,
1658,,,2.17,,,
1659,,,,16.14,,
1660,24.9,,,,,
1661,17.64,,,,,
1662,,,,,,2.69
1663,,,,,,0.85
1664,,,,15.31,,
1665,,,,12.23,,
1666,12.88,,,,,
1667,,,,,25.32,
1668,29.56,,,,,
1669,,,,14.15,,
1670,,3.64,,,,
1671,,,,,,0.82
1672,,,,,,0.47
1673,,,,,11.42,
1674,,,,,,0.25
1675,22.8,,,,,
1676,,5.49,,,,
1677,,,,12.95,,
1678,,,,,15.65,
1679,7.24,,,,,
1680,,,,,15.42,
1681,,,,,19.8,
1682,,,,20.73,,
1683,,,,,,1.38
1684,8.31,,,,,
1685,,,,,12.7,
1686,,,,12.8,,
1687,,,,,,2.5
1688,5.08,,,,,
1689,,,,30.25,,
1690,,,,35.54,,
1691,73.04,,,,,
1692,,,,,,2.43
1693,,,,20.12,,
1694,,,1.88,,,
1695,,,,,,0.75
1696,,,,11.99,,
1697,,,,,,0.55
1698,,,,13.09,,
1699,13.53,,,,,
1700,,,,,15.59,
1701,,,,16.36,,
1702,11.51,,,,,
1703,,,2.18,,,
1704,,,,33.77,,
1705,20.48,,,,,
1706,,,,,,4.15
1707,,,,,,5.02
1708,,,,,,3.77
1709,12.37,,,,,
1710,,3.81,,,,
1711,,4.8,,,,
1712,,,,,35.39,
1713,,,,,38.92,
1714,,,,,,9.69
1715,,7.16,,,,
1716,,,,,,2.32
1717,,,,20.97,,
1718,,,2.17,,,
1719,,,2.3,,,
1720,,,2.32,,,
1721,,,,20.46,,
1722,20.91,,,,,
1723,,,,17.99,,
1724,11.92,5.72,2.18,17.73,18.72,1.0
1725,,,,,,1.01
1726,,,,36.45,,
1727,,3.93,,,,
1728,,3.65,,,,
1729,,,,,,4.19
1730,,3.32,,,,
1731,,,2.49,,,
1732,19.1,,,,,
1733,15.31,,,,,
1734,,,,34.12,,
1735,74.16,13.16,2.47,41.33,51.2,9.87
1736,,,,,,4.89
1737,,9.32,,,,
1738,,8.6,,,,
1739,34.36,,,,,
1740,,,2.55,,,
1741,,,,,17.44,
1742,,,,,,0.72
1743,,,,,32.4,
1744,,,,41.31,,
1745,28.76,,,,,
1746,,,1.71,,,
1747,,,,24.1,,
1748,48.39,,,,,
1749,,,,,28.85,
1750,,9.32,,,,
1751,,,,,,1.37
1752,,,,,19.14,
1753,,6.59,,,,
1754,,,,,16.94,
1755,33.47,,,,,
1756,,,1.76,,,
1757,,,1.6,,,
1758,,5.76,,,,
1759,,,,17.74,,
1760,17.61,,,,,
1761,,,,9.83,,
1762,,,,8.86,,
1763,,,,9.97,,
1764,,,,14.22,,
1765,,,,,14.26,
1766,4.7,,,,,
1767,,3.14,,,,
1768,,3.91,,,,
1769,3.82,,,,,
1770,,,,,,1.55
1771,,4.23,,,,
1772,,,,9.98,,
1773,,,,,7.7,
1774,,,1.92,,,
1775,,,,,8.65,
1776,3.69,,,,,
1777,,,1.9,,,
1778,4.48,,,,,
1779,,,,,,1.08
1780,2.78,1.87,1.79,13.39,14.48,1.09
1781,,,1.77,,,
1782,,,,13.1,,
1783,,,1.78,,,
1784,,,,17.94,,
1785,9.02,,,,,
1786,52.68,,,,,
1787,,,,,,2.1
1788,24.88,,,,,
1789,,,1.71,,,
1790,,,,,11.69,
1791,,,1.72,,,
1792,,,,,11.22,
1793,9.33,,,,,
1794,,,,,,2.72
1795,,,,13.49,,
1796,,,1.9,,,
1797,,,,,11.05,
1798,27.18,,,,,
1799,,3.38,,,,
1800,,,,,12.0,
1801,,8.06,,,,
1802,,,,,11.05,
1803,,,,,,0.82
1804,4.99,,,,,
1805,4.07,,,,,
1806,,3.46,,,,
1807,,3.32,,,,
1808,7.49,,,,,
1809,6.36,,,,,
1810,8.58,,,,,
1811,,3.08,,,,
1812,,,,10.53,,
1813,4.98,,,,,
1814,,,1.58,,,
1815,,,,,10.06,
1816,,,1.64,,,
1817,,,,,,0.7
1818,,3.55,,,,
1819,,,,,7.08,
1820,,,,,7.3,
1821,,,,,6.61,
1822,,,,6.96,,
1823,,3.74,,,,
1824,,3.93,,,,
1825,,,2.28,,,
1826,,,,6.72,,
1827,,,,,,0.33
1828,25.23,,,,,
1829,,4.66,,,,
1830,,,,,11.07,
1831,,4.63,,,,
1832,,,2.58,,,
1833,,,,,,4.61
1834,,,2.53,,,
1835,,,2.46,,,
1836,13.53,,,,,
1837,20.8,4.48,2.08,3.37,8.04,4.67
1838,,,,,,4.79
1839,,,,,9.96,
1840,,,,,,5.08
1841,,,,,,5.17
1842,21.44,,,,,
1843,,,2.22,,,
1844,,,,28.03,,
1845,68.96,,,,,
1846,46.23,,,,,
1847,,,,,,4.58
1848,,,2.45,,,
1849,,,,5.66,,
1850,,,2.42,,,
1851,15.04,,,,,
1852,,,,,8.45,
1853,,,,,9.01,
1854,,,,6.49,,
1855,12.19,,,,,
1856,,3.84,,,,
1857,,,,,8.48,
1858,,,,,10.53,
1859,,3.32,,,,
1860,6.66,,,,,
1861,,,1.82,,,
1862,12.45,,,,,
1863,10.27,,,,,
1864,,,,14.82,,
1865,54.24,,,,,
1866,,,2.07,,,
1867,,,2.15,,,
1868,,3.28,,,,
1869,,,,5.79,,
1870,,3.21,,,,
1871,,5.26,,,,
1872,,4.88,,,,
1873,,,2.38,,,
1874,,6.05,,,,
1875,21.45,,,,,
1876,,5.91,,,,
1877,13.94,,,,,
1878,,,,,8.39,
1879,11.4,,,,,
1880,,,,10.2,,
1881,,3.5,,,,
1882,,,,10.88,,
1883,,,,15.51,,
1884,,,,,11.41,
1885,62.66,,,,,
1886,48.53,,,,,
1887,42.22,,,,,
1888,,5.31,,,,
1889,,,,,,4.03
1890,,,,,6.78,
1891,,,,,,3.97
1892,,4.3,,,,
1893,,3.91,,,,
1894,,,,,7.66,
1895,,,,,,4.06
1896,,,,,5.71,
1897,,3.22,,,,
1898,,,2.06,,,
1899,,,,11.13,,
1900,9.26,,,,,
1901,,,2.52,,,
1902,9.32,,,,,
1903,,,,,,4.47
1904,,4.21,,,,
1905,,,,,8.02,
1906,,,,,8.63,
1907,23.3,,,,,
1908,,4.63,,,,
1909,,4.14,,,,
1910,34.23,,,,,
1911,,,,,10.18,
1912,24.04,,,,,
1913,,,,,13.87,
1914,,,,,13.96,
1915,,,,,12.7,
1916,,4.38,,,,
1917,,,2.45,,,
1918,,,,,,4.56
1919,8.57,,,,,
1920,,,,,15.62,
1921,,,2.03,,,
1922,,,,5.27,,
1923,,,,3.64,,
1924,6.14,,,,,
1925,,,,,,4.31
1926,,,,,,4.36
1927,,,,,5.43,
1928,19.1,,,,,
1929,,3.61,,,,
1930,36.44,,,,,
1931,26.53,,,,,
1932,,6.24,,,,
1933,,4.3,,,,
1934,,,,,,5.35
1935,,,,,22.21,
1936,,,,,34.92,
1937,,3.19,,,,
1938,,,,,,5.8
1939,,3.1,,,,
1940,6.36,,,,,
1941,,,2.88,,,
1942,,3.47,,,,
1943,,,,,50.29,
1944,,,,,46.57,
1945,,,,,,11.53
1946,,,,,,23.74
1947,,,2.54,,,
1948,,,,,,22.27
1949,,,,,,16.54
1950,,,,,,9.16
1951,,4.75,,,,
1952,23.62,,,,,
1953,,,,,,11.36
1954,,4.5,,,,
1955,12.59,,,,,
1956,,,,,,5.94
1957,,,,16.87,,
1958,,,,15.62,,
1959,,,2.77,,,
1960,,,,,47.57,
1961,,,,,59.31,
1962,,3.4,,,,
1963,15.9,,,,,
1964,,,2.52,,,
1965,,,,,50.32,
1966,,,,,,14.45
1967,,,2.11,,,
1968,,,,49.14,,
1969,,,,54.16,,
1970,,,,,97.39,
1971,,,,16.7,,
1972,36.8,,,,,
1973,,,2.54,,,
1974,,13.78,,,,
1975,,,,16.77,,
1976,,,2.35,,,
1977,,,,17.02,,
1978,,,,,26.62,
1979,,,,50.58,,
1980,,,,,60.03,
1981,,,,,31.52,
1982,,,,,31.02,
1983,,,,,,9.66
1984,14.28,,,,,
1985,,4.64,,,,
1986,,,,73.98,,
1987,,5.04,,,,
1988,14.35,,,,,
1989,,,,,,31.6
1990,,,,,110.31,
1991,,,,,44.57,
1992,,,,,63.92,
1993,,5.06,,,,
1994,,,,,25.76,
1995,,,,,,6.25
1996,17.56,,,,,
1997,,,2.13,,,
1998,13.86,,,,,
1999,,,,,,5.33
2000,10.27,,,,,
2001,,,,30.52,,
2002,5.08,,,,,
2003,,,2.7,,,
2004,,,,,,10.75
2005,,3.29,,,,
2006,,,,,46.39,
2007,,4.63,,,,
2008,,4.38,,,,
2009,,,,,32.18,
2010,,,,,42.76,
2011,,,,,,25.39
2012,,,2.06,,,
2013,,,,83.96,,
2014,,6.25,,,,
2015,,,,,71.89,
2016,53.22,,,,,
2017,,,2.41,,,
2018,,5.36,,,,
2019,,,2.47,,,
2020,42.0,10.02,2.4,13.63,18.16,4.53
2021,,9.12,,,,
2022,,,2.22,,,
2023,,,,,,4.02
2024,27.12,,,,,
2025,,6.6,,,,
2026,15.45,5.54,2.09,39.8,48.08,8.28
2027,,,,65.11,,
2028,15.36,,,,,
2029,,,,,33.32,
2030,,,,,,5.82
2031,28.24,,,,,
2032,9.79,,,,,
2033,,,,36.94,,
2034,,5.45,,,,
2035,,,2.42,,,
2036,,,2.55,,,
2037,,,,,,5.01
2038,,,,,15.92,
2039,,,,11.22,,
2040,,,,,,5.15
2041,,,,,,4.94
2042,,4.39,,,,
2043,,,,,,4.98
2044,,,2.72,,,
2045,,4.04,,,,
2046,,,,21.8,,
2047,,,,,22.3,
2048,,,,,33.09,
2049,3.84,,,,,
2050,12.98,,,,,
2051,,3.53,,,,
2052,,,2.33,,,
2053,,,,12.67,,
2054,,,,,,3.62
2055,,3.62,,,,
2056,,3.47,,,,
2057,,,,18.07,,
2058,73.71,,,,,
2059,,,,,25.13,
2060,,,2.32,,,
2061,,,2.17,,,
2062,,,,,26.02,
2063,,5.25,,,,
2064,,,,14.4,,
2065,,,,10.27,,
2066,,,,15.8,,
2067,8.16,,,,,
2068,,,,23.44,,
2069,,,,40.21,,
2070,,3.42,,,,
2071,,,,,,5.27
2072,,,,27.68,,
2073,11.26,,,,,
2074,,4.16,,,,
2075,,,,,11.56,
2076,7.03,,,,,
2077,,,,,38.32,
2078,,5.39,,,,
2079,,,,,,27.05
2080,,,,,52.64,
2081,,,,19.42,,
2082,,,,,,5.51
2083,,,,14.17,,
2084,,,,18.37,,
2085,18.05,3.8,2.33,25.22,35.85,10.62
2086,,,,,34.97,
2087,,4.85,,,,
2088,,,,,45.31,
2089,,,2.21,,,
2090,,,,,,6.04
2091,8.22,,,,,
2092,6.06,,,,,
2093,,,2.1,,,
2094,,,,18.06,,
2095,,3.42,,,,
2096,,,,29.77,,
2097,,,,,28.68,
2098,,,,,34.23,
2099,,5.19,,,,
2100,,4.86,,,,
2101,,,,,,17.14
2102,,,,,,16.23
2103,,,,36.55,,
2104,49.34,,,,,
2105,,,,,,8.79
2106,,,,,32.2,
2107,,3.84,,,,
2108,,,,18.5,,
2109,23.27,,,,,
2110,,,2.22,,,
2111,,,,16.88,,
2112,14.51,,,,,
2113,17.43,,,,,
2114,,,,20.72,,
2115,,,,,25.76,
2116,,,3.86,,,
2117,,,,,61.9,
2118,,,,,,4.28
2119,,,,,,4.04
2120,,,,21.08,,
2121,,,,,30.76,
2122,8.76,,,,,
2123,,,,20.0,,
2124,,,,43.78,,
2125,,,2.0,,,
2126,,4.16,,,,
2127,,,2.18,,,
2128,,4.89,,,,
2129,,5.4,,,,
2130,,6.75,,,,
2131,23.05,,,,,
2132,,,,,,10.11
2133,,,,,29.78,
2134,,,,,37.93,
2135,,,,,,8.79
2136,,,,15.21,,
2137,,,,,24.9,
2138,,,,,,4.95
2139,,,,,,4.89
2140,,3.79,,,,
2141,,,,,,5.39
2142,,,,,,4.37
2143,18.29,,,,,
2144,14.03,,,,,
2145,,,2.2,,,
2146,,,,22.84,,
2147,,,,,45.66,
2148,,,,53.19,,
2149,,,,,99.02,
2150,52.77,,,,,
2151,,,,34.83,,
2152,,,,,,11.58
2153,,,,,36.2,
2154,,6.81,,,,
2155,,,,,28.79,
2156,,7.53,,,,
2157,,,,,35.65,
2158,,,,,,7.05
2159,,5.26,,,,
2160,,,,86.36,,
2161,,,,72.59,,
2162,,,,40.77,,
2163,,,,,,12.6
2164,,3.38,,,,
2165,,,2.78,,,
2166,,,,,48.85,
2167,18.85,,,,,
2168,,,3.29,,,
2169,,4.68,,,,
2170,,5.2,,,,
2171,,,3.12,,,
2172,,,,69.48,,
2173,,,,,,24.18
2174,,,3.56,,,
2175,,,,,,7.16
2176,,5.91,,,,
2177,,,,23.31,,
2178,,5.27,,,,
2179,,,,,,4.23
2180,,5.29,,,,
2181,,,2.41,,,
2182,,,2.29,,,
2183,,4.09,,,,
2184,,,2.28,,,
2185,,,2.29,,,
2186,,3.86,,,,
2187,,4.24,,,,
2188,,,2.34,,,
2189,,,2.36,,,
2190,,,,,,6.0
2191,,,,,,5.41
2192,,,2.21,,,
2193,,,,,74.65,
2194,,,2.31,,,
2195,55.3,,,,,
2196,,,,,,11.97
2197,,,,35.48,,
2198,67.42,,,,,
2199,,,,,,11.07
2200,,,2.38,,,
2201,,9.55,,,,
2202,,,,20.51,,
2203,30.69,,,,,
2204,,6.45,,,,
2205,,,,,,4.57
2206,,,,21.08,,
2207,,,,,35.11,
2208,,,2.68,,,
2209,5.65,,,,,
2210,,,,,90.53,
2211,3.56,,,,,
2212,,,,,,5.8
2213,7.67,,,,,
2214,,,3.5,,,
2215,,,,32.47,,
2216,,,,,60.31,
2217,10.75,,,,,
2218,,,,,,16.01
2219,,,3.65,,,
2220,,,3.47,,,
2221,,,,20.21,,
2222,,,3.09,,,
2223,,,,,,6.81
2224,,6.56,,,,
2225,,,2.7,,,
2226,22.82,,,,,
2227,,,,18.45,,
2228,,,2.09,,,
2229,18.7,,,,,
2230,,4.73,,,,
2231,14.15,,,,,
2232,,5.14,,,,
2233,,,1.67,,,
2234,,,1.88,,,
2235,,8.25,,,,
2236,,7.92,,,,
2237,,,2.2,,,
2238,19.85,,,,,
2239,,,,,,4.37
2240,,,1.99,,,
2241,,,,,20.08,
2242,,,,,21.3,
2243,,,,17.42,,
2244,,,,,19.86,
2245,,,,21.9,,
2246,,3.32,,,,
2247,,,,21.97,,
2248,,4.26,,,,
2249,,,2.32,,,
2250,5.52,,,,,
2251,7.62,,,,,
2252,,,,,,10.25
2253,,,2.93,,,
2254,,,,41.66,,
2255,,,,,63.02,
2256,,3.89,,,,
2257,,,,,40.76,
2258,,3.43,,,,
2259,,,,15.49,,
2260,,,,,,5.37
2261,,,3.03,,,
2262,26.33,3.77,2.95,29.68,42.74,13.06
2263,,3.74,,,,
2264,,,,,19.7,
2265,,,,32.87,,
2266,11.66,,,,,
2267,,,3.72,,,
2268,,5.34,,,,
2269,,4.64,,,,
2270,,,3.78,,,
2271,12.57,,,,,
2272,,,,,,7.28
2273,,4.81,,,,
2274,,,,,,6.71
2275,9.68,,,,,
2276,,4.31,,,,
2277,,,,,65.98,
2278,,,,,,29.62
2279,,,,,66.8,
2280,,8.83,,,,
2281,,,3.27,,,
2282,,,,,,7.47
2283,39.52,,,,,
2284,,,,26.78,,
2285,,,,,,8.57
2286,,,2.8,,,
2287,,6.91,,,,
2288,,,2.9,,,
2289,,,,,229.69,
2290,,,,,213.67,
2291,48.55,,,,,
2292,55.08,,,,,
2293,,,,70.69,,
2294,,,,54.62,,
2295,60.78,,,,,
2296,38.43,,,,,
2297,,,,63.57,,
2298,,,,94.65,,
2299,,,,,140.75,
2300,,,2.39,,,
2301,,,,,116.43,
2302,,,,,70.04,
2303,,,3.88,,,
2304,,23.85,,,,
2305,,,,,,10.06
2306,,,,20.8,,
2307,,,,36.24,,
2308,98.7,,,,,
2309,87.3,,,,,
2310,,,,,28.85,
2311,,,,,,5.46
2312,,,2.19,,,
2313,,4.99,,,,
2314,,,2.34,,,
2315,,,,,,6.01
2316,,,,,,7.11
2317,,,2.26,,,
2318,,,,17.08,,
2319,22.38,,,,,
2320,,,2.38,,,
2321,,,2.51,,,
2322,,,,,,6.32
2323,7.3,,,,,
2324,8.25,,,,,
2325,,,,,,9.39
2326,,4.17,,,,
2327,,,,,42.84,
2328,,,,,50.0,
2329,,,2.38,,,
2330,,,,,,6.38
2331,,,,26.9,,
2332,,4.33,,,,
2333,,,,34.07,,
2334,,,,31.61,,
2335,,,2.62,,,
2336,,,,45.63,,
2337,8.12,,,,,
2338,,,2.62,,,
2339,,12.74,,,,
2340,,10.88,,,,
2341,,,,,46.76,
2342,,,3.62,,,
2343,,,4.32,,,
2344,,,4.38,,,
2345,,12.71,,,,
2346,,,,27.78,,
2347,,,,,34.1,
2348,26.7,,,,,
2349,18.89,,,,,
2350,13.22,,,,,
2351,,,3.01,,,
2352,,,,51.55,,
2353,,,,46.77,,
2354,,,3.22,,,
2355,,7.85,,,,
2356,,,,,,5.67
2357,,,,,,5.93
2358,,,,,,5.76
2359,,,2.93,,,
2360,,,,38.27,,
