,S1_PM10,S1_PM25,S1_SO2,S1_NO2,S1_NOX,S1_NO,OUT
301,8.61,5.31,1.45,26.41,29.32,2.91,1
302,5.85,4.68,1.12,24.62,31.79,7.17,3
303,24.22,21.23,1.59,107.58,169.69,62.11,2
304,27.98,14.5,1.49,76.36,111.96,35.6,1
305,16.74,6.56,1.51,17.66,24.24,6.58,1
306,14.01,5.92,1.65,16.57,23.55,6.98,1
307,23.61,5.02,1.9,14.78,22.03,7.25,1
308,16.28,2.98,1.27,40.77,48.6,7.83,2
309,25.58,6.43,1.23,47.0,56.66,9.66,1
310,20.1,5.78,1.3,43.7,51.24,7.54,1
311,13.26,4.53,1.26,41.37,48.36,6.99,1
312,7.94,7.75,1.9,42.09,49.57,7.48,2
313,14.8,2.57,2.31,70.98,97.3,26.32,2
314,25.78,8.47,3.09,60.03,82.29,22.26,1
315,10.25,6.21,3.38,23.68,34.37,10.69,2
316,24.59,7.84,1.8,70.75,87.12,16.37,2
317,22.51,6.81,1.99,58.63,67.54,8.91,2
318,31.96,15.43,2.31,57.76,66.32,8.56,2
319,31.96,10.12,1.47,47.0,53.29,6.29,2
320,20.6,13.19,1.58,58.78,73.62,14.84,2
321,17.31,11.85,1.98,79.49,106.45,26.96,2
322,28.12,15.2,1.29,13.95,18.39,4.44,1
323,22.23,10.78,1.83,18.6,24.02,5.42,1
324,17.29,6.65,1.55,18.65,23.57,4.92,1
325,20.51,6.11,1.45,19.84,25.2,5.36,2
326,31.3,9.84,1.52,19.77,25.3,5.53,1
327,19.54,6.51,1.63,32.25,37.39,5.14,1
328,22.11,9.86,1.97,45.79,51.32,5.53,2
329,13.98,8.53,2.01,61.0,67.55,6.55,2
330,16.99,7.25,2.29,62.62,69.76,7.14,2
331,26.75,5.79,2.71,62.39,69.73,7.34,2
332,28.74,5.33,3.32,66.41,83.71,17.3,2
333,21.53,5.54,2.78,60.77,68.59,7.82,2
334,30.68,6.08,2.44,58.51,66.17,7.66,2
335,37.22,18.22,2.31,49.57,55.23,5.66,2
336,31.34,15.42,3.71,41.36,45.11,3.75,2
337,25.77,14.61,3.27,28.19,30.86,2.67,1
338,23.74,9.53,4.09,29.98,32.92,2.94,1
339,14.19,10.71,3.93,30.92,35.66,4.74,1
340,18.25,8.22,3.86,29.32,33.91,4.59,1
341,12.99,5.34,4.78,39.08,44.4,5.32,2
342,18.47,3.95,4.99,66.15,81.58,15.43,2
343,26.86,2.57,5.58,82.64,120.3,37.66,2
344,26.94,4.36,3.26,33.13,42.86,9.73,2
345,32.94,9.95,3.68,35.4,45.02,9.62,2
346,25.85,6.18,2.8,24.35,30.67,6.32,1
347,14.19,7.2,2.69,29.29,37.6,8.31,1
348,14.67,5.85,2.4,32.25,43.45,11.2,1
349,13.44,9.03,2.99,32.85,42.88,10.03,1
350,20.42,10.92,2.95,43.55,54.74,11.19,2
351,34.22,14.91,3.18,52.68,63.08,10.4,2
352,43.1,17.47,2.98,71.2,84.16,12.96,3
353,58.03,13.91,2.16,60.01,69.3,9.29,2
354,36.86,20.1,2.09,61.04,71.61,10.57,2
355,41.95,14.85,2.2,51.66,59.08,7.42,2
356,40.99,17.9,2.08,71.62,83.84,12.22,2
357,44.29,14.47,2.27,73.15,86.2,13.05,2
358,31.46,20.91,3.12,67.31,75.49,8.18,2
359,38.58,28.99,4.14,67.08,73.73,6.65,2
360,37.3,18.4,4.11,59.6,65.34,5.74,2
361,36.92,21.42,3.75,52.34,56.68,4.34,2
