,S17_PM10,S17_PM25,S17_SO2,S17_NO2,S17_NOX,S17_NO,S17_O3
1121,,,,,,,4.95
1122,58.84,,,,,,
1123,,,,,,8.08,
1124,44.27,,,,,,
1125,,,,65.97,,,
1126,,,,,,,6.41
1127,,3.06,,,,,
1128,8.9,,,,,,
1129,8.13,,,,,,
1130,,,,,,,67.9
1131,,3.54,,,,,
1132,,,,,,11.37,
1133,,,,,,7.76,
1134,,3.17,,,,,
1135,,,,,,,70.74
1136,8.52,,,,,,
1137,,,,,,,88.15
1138,,3.04,,,,,
1139,,3.03,,,,,
1140,,,,,,,82.46
1141,,,,,25.03,,
1142,,,,23.54,,,
1143,8.29,,,,,,
1144,,3.98,,,,,
1145,,,,22.28,,,
1146,,,,25.61,,,
1147,,,1.26,,,,
1148,16.42,,,,,,
1149,,,,,,12.56,
1150,,,,,,,65.51
1151,,3.1,,,,,
1152,19.12,,,,,,
1153,,,,,,,77.2
1154,92.47,,,,,,
1155,,7.87,,,,,
1156,,,,,,11.22,
1157,,,2.59,,,,
1158,,,,,127.98,,
1159,66.78,5.97,1.94,49.03,62.02,13.0,86.18
1160,,,,,56.86,,
1161,,,,,46.01,,
1162,,,,,,16.1,
1163,,,,,40.29,,
1164,,,1.09,,,,
1165,,,,,55.64,,
1166,,,,,,5.37,
1167,,,,,,4.42,
1168,,,,,,12.25,
1169,,,,,,,64.68
1170,,,,,,17.37,
1171,,,,,72.82,,
1172,,,1.47,,,,
1173,,,,,,,48.56
1174,,3.56,,,,,
1175,12.2,,,,,,
1176,,,1.1,,,,
1177,,,,25.12,,,
1178,,,1.34,,,,
1179,,,,22.24,,,
1180,,,1.28,,,,
1181,6.55,,,,,,
1182,,,,23.11,,,
1183,7.94,,,,,,
1184,,,1.17,,,,
1185,,,,65.95,,,
1186,,,1.55,,,,
1187,,,2.15,,,,
1188,,,,,,21.82,
1189,34.82,,,,,,
1190,,,,,,,68.01
1191,,,,,,11.06,
1192,,,,31.62,,,
1193,,,,53.88,,,
1194,,,,,,,46.7
1195,,,,,,,68.12
1196,,,1.43,,,,
1197,,,,31.13,,,
1198,,,1.44,,,,
1199,,,1.43,,,,
1200,18.59,,,,,,
1201,,,,,56.56,,
1202,,,,,,,52.91
1203,,,,,,,59.87
1204,11.56,,,,,,
1205,,,,66.08,,,
1206,,,,,,9.26,
1207,,,,,,,14.03
1208,,3.09,,,,,
1209,,,,,46.86,,
1210,,,,38.37,,,
1211,,,1.4,,,,
1212,,,,,,,49.37
1213,,,,,40.52,,
1214,,,,61.47,,,
1215,,,,,,22.95,
1216,,,,,88.0,,
1217,,,,,,,97.95
1218,,5.13,,,,,
1219,,,,38.59,,,
1220,,,2.08,,,,
1221,,,,,89.39,,
1222,,3.51,,,,,
1223,,3.36,,,,,
1224,46.3,3.25,2.04,68.1,75.88,7.78,30.37
1225,,,,94.51,,,
1226,,,2.17,,,,
1227,,,,,,62.89,
1228,65.45,,,,,,
1229,,,,,,,22.17
1230,,,1.69,,,,
1231,,,,,,,15.04
1232,,,,,,35.42,
1233,,,1.75,,,,
1234,,,,,,,23.73
1235,,,2.18,,,,
1236,,,,73.04,,,
1237,,,,,53.92,,
1238,,,,,,,87.85
1239,63.64,,,,,,
1240,,10.47,,,,,
1241,,,1.38,,,,
1242,,,,,39.03,,
1243,,,,,,10.06,
1244,39.42,,,,,,
1245,31.39,,,,,,
1246,,,,,,,72.01
1247,,,,,33.24,,
1248,,3.49,,,,,
1249,,,1.31,,,,
1250,,,,,,,63.37
1251,,,,,15.06,,
1252,,,,,17.74,,
1253,,,,,13.13,,
1254,,3.42,,,,,
1255,,,,,,3.61,
1256,,,,,,,68.09
1257,11.02,,,,,,
1258,,,1.36,,,,
1259,16.49,,,,,,
1260,,,,,,,78.29
1261,,,,,,7.54,
1262,,,,19.23,,,
1263,,,,,,8.9,
1264,,,,,,,92.08
1265,15.41,,,,,,
1266,,,,25.82,,,
1267,,,1.83,,,,
1268,9.0,,,,,,
1269,8.07,,,,,,
1270,,,,,,,65.47
1271,,,,,,3.14,
1272,,,,,27.95,,
1273,13.34,,,,,,
1274,,,,,59.34,,
1275,,,,,77.3,,
1276,,,,,,,28.46
1277,19.25,,,,,,
1278,,,,41.42,,,
1279,,,,,77.55,,
1280,,,1.78,,,,
1281,,3.64,,,,,
1282,,,,39.1,,,
1283,36.6,,,,,,
1284,,,,,,14.17,
1285,,5.09,,,,,
1286,,,1.67,,,,
1287,,,,,21.05,,
1288,,5.52,,,,,
1289,,,,,,,55.02
1290,,4.52,,,,,
1291,,4.07,,,,,
1292,,,,23.55,,,
1293,,,,,,,17.9
1294,,,1.54,,,,
1295,,,,,,,33.79
1296,,,,,,,29.91
1297,,6.8,,,,,
1298,,,,,36.39,,
1299,,,,,,6.39,
1300,,,,14.94,,,
1301,19.83,,,,,,
1302,,3.71,,,,,
1303,,,,,30.2,,
1304,,,,,,5.41,
1305,,,,,20.28,,
1306,,,1.74,,,,
1307,,,,,17.95,,
1308,,3.56,,,,,
1309,,,,,,,82.86
1310,,3.27,,,,,
1311,,,1.63,,,,
1312,,,,,,5.5,
1313,,,,,,11.53,
1314,,,,44.12,,,
1315,,,,,,,18.82
1316,,,1.77,,,,
1317,,,,,,,0.6
1318,,,,,101.56,,
1319,,,,,,49.54,
1320,,,1.67,,,,
1321,,,,59.35,,,
1322,,,,,,,74.09
1323,41.05,7.64,1.73,53.58,66.69,13.1,68.44
1324,37.19,,,,,,
1325,,,,,,8.94,
1326,,,,,,,63.13
1327,,,2.64,,,,
1328,,,,,,6.52,
1329,,,,,,,22.7
1330,,,,,94.6,,
1331,,,1.63,,,,
1332,50.0,,,,,,
1333,,,,75.94,,,
1334,,,,,,26.88,
1335,,,,59.12,,,
1336,,,,,,12.25,
1337,,19.56,,,,,
1338,,,1.49,,,,
1339,,,,,,,69.38
1340,,8.82,,,,,
1341,,,,,120.97,,
1342,,,1.93,,,,
1343,,,1.76,,,,
1344,,,,74.11,,,
1345,,,,,,25.78,
1346,,,,,,,1.16
1347,,,,,,,1.87
1348,,,,,,,75.46
1349,,,1.75,,,,
1350,,10.6,,,,,
1351,,,1.67,,,,
1352,,,,,68.55,,
1353,,,1.67,,,,
1354,73.73,,,,,,
1355,74.19,,,,,,
1356,,,,,,,81.98
1357,,,,,,,72.52
1358,35.91,,,,,,
1359,,,,,,11.59,
1360,,3.72,,,,,
1361,,,,,65.28,,
1362,,,,56.27,,,
1363,44.86,,,,,,
1364,,,,,,,13.46
1365,,,,,,,13.38
1366,,,,67.11,,,
1367,,22.9,,,,,
1368,,,,,,30.48,
1369,,,,,,,26.7
1370,55.66,,,,,,
1371,,12.24,,,,,
1372,,,1.85,,,,
1373,,,,,,,91.68
1374,,10.39,,,,,
1375,,8.87,,,,,
1376,47.92,,,,,,
1377,,,,,,7.89,
1378,,,,,,23.4,
1379,,,,,,25.37,
1380,,,,,,,4.93
1381,,,,,,,4.72
1382,,,2.27,,,,
1383,,,2.37,,,,
1384,,,,156.13,,,
1385,,18.88,,,,,
1386,,,,,247.13,,
1387,,,1.74,,,,
1388,,,1.96,,,,
1389,,,,101.06,,,
1390,,,,,,50.03,
1391,,,,88.6,,,
1392,,,,,,12.68,
1393,,,,,60.26,,
1394,,,,,,,92.64
1395,,,,,53.62,,
1396,,,,,,,63.25
1397,,,,,,9.19,
1398,,,,96.27,,,
1399,,,,49.08,,,
1400,,,,,,,75.03
1401,,,,91.13,,,
1402,,3.98,,,,,
1403,39.38,,,,,,
1404,,3.56,,,,,
1405,,,,86.72,,,
1406,,,,,,,14.14
1407,,,,87.56,,,
1408,,,1.72,,,,
1409,,,,49.65,,,
1410,,,2.39,,,,
1411,,,,,106.89,,
1412,,,1.56,,,,
1413,,,1.65,,,,
1414,,21.96,,,,,
1415,,14.61,,,,,
1416,,,,23.38,,,
1417,,,,,,,114.82
1418,84.74,,,,,,
1419,,,,,,5.85,
1420,,5.58,,,,,
1421,,4.99,,,,,
1422,67.87,,,,,,
1423,,,1.88,,,,
1424,,,,,,2.14,
1425,,,,,29.88,,
1426,,3.9,,,,,
1427,,,,,,,67.91
1428,,,,,,1.81,
1429,,,1.57,,,,
1430,,4.52,,,,,
1431,,4.23,,,,,
1432,11.38,,,,,,
1433,,,,,12.99,,
1434,,,,11.34,,,
1435,,,1.69,,,,
1436,,,1.52,,,,
1437,,3.33,,,,,
1438,,,,,,4.44,
1439,,4.17,,,,,
1440,,,,,,3.36,
1441,,,,,,,114.82
1442,,3.52,,,,,
1443,38.11,,,,,,
1444,34.13,,,,,,
1445,,,,,,,88.78
1446,,,,,24.73,,
1447,,,1.81,,,,
1448,,,,,69.09,,
1449,,3.32,,,,,
1450,,,,,,2.26,
1451,,,,,,,75.35
1452,25.13,,,,,,
1453,,,,,6.67,,
1454,,3.88,,,,,
1455,14.64,,,,,,
1456,,,,,,5.46,
1457,,,,33.36,,,
1458,,4.6,,,,,
1459,,,1.7,,,,
1460,,,,,42.25,,
1461,,5.31,,,,,
1462,,,,,,7.4,
1463,,,1.85,,,,
1464,,,,44.33,,,
1465,,,1.84,,,,
1466,,,,34.04,,,
1467,,,,,61.43,,
1468,,,,86.12,,,
1469,23.52,,,,,,
1470,,,,,59.21,,
1471,,,,,,2.56,
1472,,,,51.69,,,
1473,,5.84,,,,,
1474,,,1.76,,,,
1475,,,,,56.16,,
1476,,,,,55.91,,
1477,29.48,,,,,,
1478,,11.28,,,,,
1479,,,,,,14.54,
1480,,,,,,12.27,
1481,67.4,,,,,,
1482,,,,49.21,,,
1483,,12.9,,,,,
1484,,,,62.26,,,
1485,,,2.46,,,,
1486,,20.76,,,,,
1487,,,,,,34.75,
1488,,17.72,,,,,
1489,66.33,,,,,,
1490,,,,75.49,,,
1491,,,,68.09,,,
1492,,,,,,18.81,
1493,36.81,,,,,,
1494,,,,,48.79,,
1495,,,,46.02,,,
1496,24.7,,,,,,
1497,,,,,,,90.86
1498,,,,31.36,,,
1499,,,,,,17.83,
1500,,,,,,,125.59
1501,80.84,,,,,,
1502,,,,,,,64.89
1503,,,,,,,31.6
1504,,,,,29.47,,
1505,,,1.63,,,,
1506,,,,,,1.11,
1507,,,1.63,,,,
1508,,6.26,,,,,
1509,,,,40.78,,,
1510,,,,,75.5,,
1511,,7.61,,,,,
1512,,,,,102.66,,
1513,,5.97,,,,,
1514,49.46,,,,,,
1515,,,,,,,52.93
1516,,,1.88,,,,
1517,,,,,,,62.82
1518,,,,,,,64.33
1519,,,,39.59,,,
1520,,,,46.57,,,
1521,,,,,,3.29,
1522,,,1.97,,,,
1523,27.34,,,,,,
1524,,,2.11,,,,
1525,,,,31.43,,,
1526,60.4,,,,,,
1527,,,1.95,,,,
1528,,,2.08,,,,
1529,,,2.1,,,,
1530,,,,,,13.08,
1531,,,,,,,46.58
1532,,,2.12,,,,
1533,,,,,125.52,,
1534,,,,85.07,,,
1535,78.08,,,,,,
1536,,,2.77,,,,
1537,,,2.76,,,,
1538,,,,,,5.01,
1539,,,,,46.08,,
1540,,,2.3,,,,
1541,,,2.16,,,,
1542,,,,21.73,,,
1543,,,,,,,32.51
1544,,,,,25.33,,
1545,20.12,,,,,,
1546,17.29,,,,,,
1547,,,2.01,,,,
1548,,,,,,,44.47
1549,,,2.01,,,,
1550,29.0,3.48,2.21,26.8,33.21,6.41,55.52
1551,,,2.26,,,,
1552,45.94,,,,,,
1553,,,,,,,5.08
1554,,,,,,,11.82
1555,,3.32,,,,,
1556,,3.68,,,,,
1557,,,,9.8,,,
1558,,,,4.89,,,
1559,,,,,,1.39,
1560,,,,,5.34,,
1561,29.92,,,,,,
1562,,,,,40.48,,
1563,,,,,22.05,,
1564,,,,,,,82.11
1565,,4.42,,,,,
1566,,,,,,3.73,
1567,,,,,,,86.26
1568,,,2.55,,,,
1569,27.02,,,,,,
1570,,,,39.1,,,
1571,,,,,,,19.67
1572,35.59,,,,,,
1573,58.59,,,,,,
1574,,,,,,,1.79
1575,150.32,,,,,,
1576,,,,106.13,,,
1577,,,,,,48.24,
1578,,40.32,,,,,
1579,,,,,,23.08,
1580,69.99,,,,,,
1581,,,,,113.87,,
1582,,,,88.01,,,
1583,81.26,,,,,,
1584,,,,30.33,,,
1585,,,,,,,74.13
1586,,,,,,,75.15
1587,,,,32.63,,,
1588,,,2.68,,,,
1589,,4.68,,,,,
1590,,,2.68,,,,
1591,,,,46.72,,,
1592,,,2.39,,,,
1593,29.39,,,,,,
1594,34.18,,,,,,
1595,,,,104.85,,,
1596,,,,107.26,,,
1597,,,,,147.53,,
1598,,,,,,,8.27
1599,,14.93,,,,,
1600,45.97,,,,,,
1601,,10.37,,,,,
1602,,,,,,19.52,
1603,,,,,,,59.3
1604,,,,,69.06,,
1605,44.63,,,,,,
1606,42.8,,,,,,
1607,,,,,,,30.41
1608,,,2.19,,,,
1609,,,2.35,,,,
1610,,,2.2,,,,
1611,,,,28.4,,,
1612,,,,,53.97,,
1613,,,2.26,,,,
1614,,,,,,,64.38
1615,,,,,,,46.28
1616,,,,,67.99,,
1617,,,,66.48,,,
1618,,,,,,28.76,
1619,,,,,,,53.7
1620,,,2.75,,,,
1621,,,,,,,55.75
1622,,,,,,11.86,
1623,,,,,,6.22,
1624,,,2.44,,,,
1625,,,2.52,,,,
1626,,6.71,,,,,
1627,,,2.05,,,,
1628,,,2.17,,,,
1629,,,,,,,38.91
1630,,,,,,2.71,
1631,,,,,12.55,,
1632,,,,,15.41,,
1633,,,,,41.81,,
1634,,,2.16,,,,
1635,,,,,,,27.43
1636,,,,,,,38.98
1637,32.69,,,,,,
1638,37.48,,,,,,
1639,,,,,,,69.2
1640,,,,,26.87,,
1641,31.54,,,,,,
1642,,,,,25.12,,
1643,,,,,,7.08,
1644,,,2.33,,,,
1645,,,,,,8.59,
1646,,,,,,8.65,
1647,,,,,,7.9,
1648,22.12,,,,,,
1649,,,2.34,,,,
1650,,,,51.41,,,
1651,,,,,,25.76,
1652,,,2.63,,,,
1653,46.12,,,,,,
1654,,,2.24,,,,
1655,,,,26.85,,,
1656,,,,,,18.69,
1657,,,,,61.77,,
1658,,,,30.11,,,
1659,,,,,37.8,,
1660,,,2.32,,,,
1661,16.86,,,,,,
1662,,,,30.3,,,
1663,,,2.57,,,,
1664,,,,,47.79,,
1665,,,,,,,73.57
1666,,4.16,,,,,
1667,,,2.8,,,,
1668,,,,,64.1,,
1669,,,,,69.17,,
1670,,,,,,7.43,
1671,,,,20.43,,,
1672,,,,23.15,,,
1673,,,,20.83,,,
1674,,,,22.04,,,
1675,,,,,,10.0,
1676,,,,31.14,,,
1677,,,,,53.22,,
1678,,,2.87,,,,
1679,,3.62,,,,,
1680,,,,26.5,,,
1681,,,2.72,,,,
1682,,4.04,,,,,
1683,,,,,,3.05,
1684,,,,,,3.29,
1685,,4.96,,,,,
1686,,,2.69,,,,
1687,,,2.82,,,,
1688,,,,,,,46.0
1689,,,,,,10.46,
1690,22.59,,,,,,
1691,21.47,7.34,2.75,25.64,35.31,9.67,65.11
1692,,6.04,,,,,
1693,,5.12,,,,,
1694,,4.53,,,,,
1695,,,,,28.01,,
1696,,,,,,,79.95
1697,42.2,,,,,,
1698,,,,,33.0,,
1699,,,,,35.38,,
1700,,,,,,,66.26
1701,,,,,,,61.23
1702,,,,,91.86,,
1703,,,,70.71,,,
1704,,,2.88,,,,
1705,,,,,34.43,,
1706,25.14,,,,,,
1707,,,,17.44,,,
1708,,,,,,3.19,
1709,,3.64,,,,,
1710,,4.11,,,,,
1711,,4.0,,,,,
1712,,,,77.05,,,
1713,38.84,,,,,,
1714,,,2.76,,,,
1715,,,,,,,46.09
1716,,,,,59.2,,
1717,,,2.91,,,,
1718,,,,23.89,,,
1719,,8.09,,,,,
1720,,,,,,,91.77
1721,,6.21,,,,,
1722,,,,21.12,,,
1723,,4.85,,,,,
1724,,4.96,,,,,
1725,25.31,,,,,,
1726,,,3.21,,,,
1727,,,,,,4.87,
1728,,,,,,,13.17
1729,,,3.85,,,,
1730,,8.27,,,,,
1731,,15.44,,,,,
1732,,,,102.58,,,
1733,,,,,153.79,,
1734,,,,102.14,,,
1735,,,,,,,32.17
1736,,14.29,,,,,
1737,,14.43,,,,,
1738,,13.09,,,,,
1739,,,,,,,101.12
1740,,,3.02,,,,
1741,,,,,,4.4,
1742,,,3.07,,,,
1743,,5.12,,,,,
1744,,,,,,,20.34
1745,,5.21,,,,,
1746,,,,75.56,,,
1747,,5.33,,,,,
1748,,,,,,,40.64
1749,,,,,66.75,,
1750,,,,,,10.27,
1751,50.2,,,,,,
1752,,,,,,,96.64
1753,43.04,,,,,,
1754,43.31,,,,,,
1755,,,,,,,75.45
1756,,,,,27.57,,
1757,,,,,,5.89,
1758,,,,,,,77.2
1759,,,2.77,,,,
1760,,,2.81,,,,
1761,,,,,,3.92,
1762,,,,,,4.4,
1763,,,,,,4.02,
1764,,,2.52,,,,
1765,,,,,,,48.38
1766,,,2.72,,,,
1767,,,,,15.75,,
1768,,,,,,,47.3
1769,,,,23.41,,,
1770,,,,,,,55.5
1771,,,,,,,54.47
1772,13.83,,,,,,
1773,14.41,,,,,,
1774,,,,,11.41,,
1775,16.0,,,,,,
1776,,,,16.0,,,
1777,,,,,,,36.31
1778,,,,11.61,,,
1779,12.41,,,,,,
1780,11.27,,,,,,
1781,,,,,,3.09,
1782,,,,,,,30.01
1783,,,,,,3.4,
1784,,,,,24.22,,
1785,,4.65,,,,,
1786,,,,,,,63.54
1787,,,,14.8,,,
1788,,,,13.42,,,
1789,,,,,,4.05,
1790,27.41,,,,,,
1791,,,,,9.89,,
1792,25.7,,,,,,
1793,,,,17.76,,,
1794,,,,,,,53.59
1795,,,,,,5.97,
1796,,,,,,,111.68
1797,,4.87,,,,,
1798,,,3.06,,,,
1799,,,,9.27,,,
1800,,,,,,4.19,
1801,,,,,,,77.22
1802,,,,6.43,,,
1803,,,,,,2.87,
1804,,,,,14.44,,
1805,,,,,,,52.12
1806,,3.24,,,,,
1807,12.26,,,,,,
1808,,,,12.68,,,
1809,,,,,,,43.99
1810,8.47,,,,,,
1811,8.05,,,,,,
1812,,,3.12,,,,
1813,,,3.02,,,,
1814,,,,,,,47.52
1815,,3.24,,,,,
1816,,,,,,2.7,
1817,,,,6.99,,,
1818,,,,,,3.22,
1819,,,,,9.3,,
1820,,,,6.19,,,
1821,,,,,9.71,,
1822,,3.02,,,,,
1823,,3.01,,,,,
1824,,,,,8.37,,
1825,,3.74,,,,,
1826,,,,,,2.19,
1827,,16.47,,,,,
1828,,,,,,7.7,
1829,,15.25,,,,,
1830,,11.86,,,,,
1831,35.38,,,,,,
1832,30.76,,,,,,
1833,,,3.37,,,,
1834,,,,,,,51.92
1835,,,,,,3.23,
1836,,,,,,3.17,
1837,,,,,,3.36,
1838,,8.02,,,,,
1839,,,,,10.46,,
1840,,,,,9.9,,
1841,,,,23.23,,,
1842,,,,,,7.09,
1843,,13.88,,,,,
1844,,,,,58.71,,
1845,,,,,28.78,,
1846,,,,20.84,,,
1847,,8.1,,,,,
1848,,,,20.47,,,
1849,,,3.41,,,,
1850,,4.75,,,,,
1851,45.34,,,,,,
1852,,,,,,,69.75
1853,,,,,,,65.59
1854,,,,,,,59.41
1855,,,,,,,26.41
1856,,4.21,,,,,
1857,,,,,29.49,,
1858,,,2.99,,,,
1859,,4.76,,,,,
1860,,,,,,3.69,
1861,35.45,,,,,,
1862,,,,,12.85,,
1863,,,3.06,,,,
1864,,,,,,,40.99
1865,,,,34.53,,,
1866,,,,,,9.54,
1867,,,,,33.6,,
1868,,,,,34.24,,
1869,,,3.02,,,,
1870,38.8,,,,,,
1871,32.27,,,,,,
1872,,,,,,7.85,
1873,,,,,32.85,,
1874,,,3.36,,,,
1875,49.46,3.62,3.24,26.62,33.52,6.9,54.39
1876,,,,,,4.56,
1877,,,,,,3.85,
1878,,,,,,5.48,
1879,,,,,25.6,,
1880,46.11,,,,,,
1881,42.89,,,,,,
1882,39.19,,,,,,
1883,,,,17.09,,,
1884,,,,,,3.54,
1885,34.46,4.76,3.0,20.87,27.47,6.61,68.19
1886,37.16,,,,,,
1887,,,,24.46,,,
1888,,,3.03,,,,
1889,,5.14,,,,,
1890,,,,,23.38,,
1891,,,,22.86,,,
1892,,,,,,3.93,
1893,,,,,,,74.1
1894,,,,,21.55,,
1895,,,3.05,,,,
1896,,4.01,,,,,
1897,,,,17.76,,,
1898,,,2.96,,,,
1899,,,2.96,,,,
1900,,3.95,,,,,
1901,,,2.95,,,,
1902,,,,,15.14,,
1903,7.03,,,,,,
1904,,,,,12.43,,
1905,,,,,,2.81,
1906,,,,,,3.0,
1907,,3.89,,,,,
1908,,3.62,,,,,
1909,,,,,12.44,,
1910,,3.3,,,,,
1911,,,,,,4.17,
1912,,,,,13.44,,
1913,7.69,,,,,,
1914,7.63,,,,,,
1915,,,,,,,90.33
1916,,,,20.53,,,
1917,,,,,,,33.1
1918,,,3.15,,,,
1919,,,,,31.37,,
1920,,,,,29.99,,
1921,,4.22,,,,,
1922,,,,,,,16.72
1923,,,,,15.93,,
1924,9.38,,,,,,
1925,,,,,,3.12,
1926,,3.42,,,,,
1927,,,2.89,,,,
1928,,,,26.27,,,
1929,,,,,,,55.27
1930,,3.9,,,,,
1931,,,,,,,60.06
1932,,,,,,,59.26
1933,22.09,,,,,,
1934,,,,,26.92,,
1935,,,,,,,57.77
1936,,,3.14,,,,
1937,,,,,,,52.55
1938,,,,,13.73,,
1939,,,3.1,,,,
1940,16.86,,,,,,
1941,,,3.02,,,,
1942,,,2.93,,,,
1943,,,,,,,35.85
1944,,,,,,3.82,
1945,26.4,,,,,,
1946,,,,,74.19,,
1947,,,,,,,12.39
1948,,,3.29,,,,
1949,,,3.16,,,,
1950,,,,,52.91,,
1951,,4.49,,,,,
1952,,,,,36.99,,
1953,,,,,,,72.83
1954,,,3.2,,,,
1955,,,,16.68,,,
1956,,,,25.58,,,
1957,27.79,,,,,,
1958,,4.46,,,,,
1959,,,,,,3.59,
1960,,,,,,3.47,
1961,29.85,,,,,,
1962,,,3.29,,,,
1963,24.3,,,,,,
1964,,3.65,,,,,
1965,,,,,,4.02,
1966,,,,,34.3,,
1967,,,,,,,7.59
1968,,,3.17,,,,
1969,,,,,91.48,,
1970,,,,,,25.86,
1971,73.68,,,,,,
1972,,9.92,,,,,
1973,,,,21.53,,,
1974,,,3.2,,,,
1975,,5.86,,,,,
1976,,,,24.95,,,
1977,,,3.22,,,,
1978,32.96,,,,,,
1979,,,,,33.59,,
1980,,,,,,,36.68
1981,,,,,,3.54,
1982,30.62,7.59,2.9,20.15,23.73,3.58,48.65
1983,,,,,,3.22,
1984,,,,18.5,,,
1985,,,,,,3.44,
1986,,5.97,,,,,
1987,,,,25.43,,,
1988,,,3.26,,,,
1989,,,,,81.1,,
1990,,,,,,19.11,
1991,,,,23.44,,,
1992,,17.86,,,,,
1993,,,,,,5.52,
1994,,,3.26,,,,
1995,,,,12.77,,,
1996,,,,,24.77,,
1997,,,,,,5.54,
1998,,,,,,,81.52
1999,,5.18,,,,,
2000,,,,,,5.1,
2001,,4.07,,,,,
2002,,,3.16,,,,
2003,,,3.1,,,,
2004,,,,,,3.72,
2005,,,,,40.85,,
2006,,,,15.18,,,
2007,,,,,,,53.4
2008,,,,,,,4.96
2009,23.17,,,,,,
2010,,7.41,,,,,
2011,,10.45,,,,,
2012,,,3.44,,,,
2013,,,,,,46.7,
2014,,23.85,,,,,
2015,,,,,,15.41,
2016,,,,,,12.71,
2017,,,,,,7.06,
2018,,,3.26,,,,
2019,,,,,,,75.17
2020,,,3.29,,,,
2021,,,,,,6.56,
2022,,,,,30.65,,
2023,,,,,,,47.8
2024,,,,,32.4,,
2025,,4.13,,,,,
2026,,,,20.72,,,
2027,,,2.96,,,,
2028,,3.63,,,,,
2029,44.99,,,,,,
2030,46.42,,,,,,
2031,,,,,23.93,,
2032,82.09,,,,,,
2033,,,,,98.46,,
2034,,,3.01,,,,
2035,,16.96,,,,,
2036,,13.25,,,,,
2037,,,,,,4.11,
2038,,,,,,4.37,
2039,,,,,,,89.38
2040,,,,,15.73,,
2041,,,,,,3.28,
2042,,4.65,,,,,
2043,,,,,13.44,,
2044,,,,15.42,,,
2045,,4.0,,,,,
2046,,,,,14.66,,
2047,,,,,,4.7,
2048,,,2.88,,,,
2049,,3.84,,,,,
2050,17.02,,,,,,
2051,,4.47,,,,,
2052,,,,,,,68.1
2053,,,,,9.01,,
2054,11.64,3.54,2.82,4.99,7.2,2.21,68.14
2055,,,2.73,,,,
2056,9.49,3.89,2.88,7.44,10.4,2.97,51.65
2057,,,,10.02,,,
2058,,,,,,,61.84
2059,14.83,,,,,,
2060,,,,,,3.12,
2061,12.35,,,,,,
2062,,,,7.26,,,
2063,,,2.9,,,,
2064,,,,,,,83.69
2065,,,,,10.79,,
2066,,,2.99,,,,
2067,,4.77,,,,,
2068,,,,11.24,,,
2069,9.36,,,,,,
2070,8.89,,,,,,
2071,,,,,,2.6,
2072,,,,,,,48.98
2073,,,2.82,,,,
2074,,,,,,,54.67
2075,14.22,,,,,,
2076,,,,,,2.36,
2077,,,,,7.84,,
2078,,,,,,2.98,
2079,,,,,,6.91,
2080,,,,26.71,,,
2081,,3.93,,,,,
2082,,,,,,,80.42
2083,,5.12,,,,,
2084,,,3.01,,,,
2085,,,,,,7.24,
2086,,,,,26.29,,
2087,,,,,,9.59,
2088,31.74,,,,,,
2089,,,3.21,,,,
2090,,5.03,,,,,
2091,27.28,,,,,,
2092,,,,28.03,,,
2093,,4.62,,,,,
2094,,,,,,2.61,
2095,,,,,,2.46,
2096,,,,,,2.62,
2097,,,,,,,61.51
2098,,,,5.53,,,
2099,13.22,,,,,,
2100,,,,,,,65.4
2101,,5.04,,,,,
2102,10.41,,,,,,
2103,,,,,,10.42,
2104,,,,,36.46,,
2105,,,,,,6.6,
2106,,,3.15,,,,
2107,,,,,,,86.05
2108,,,,,25.55,,
2109,,,,,,,86.32
2110,,6.45,,,,,
2111,28.79,,,,,,
2112,,,,32.87,,,
2113,,4.27,,,,,
2114,,,,,,,57.74
2115,,,3.04,,,,
2116,,,3.08,,,,
2117,,,,,,,61.18
2118,27.31,,,,,,
2119,,,,,11.81,,
2120,23.14,,,,,,
2121,19.68,,,,,,
2122,,,,,,,55.11
2123,,,,,,,51.21
2124,,,,,,,53.43
2125,,,,,25.58,,
2126,,,2.96,,,,
2127,15.32,,,,,,
2128,,,,,,,78.6
2129,,,,,31.6,,
2130,,,,19.12,,,
2131,,,,20.92,,,
2132,,,,,,7.76,
2133,,3.49,,,,,
2134,,3.57,,,,,
2135,,,3.34,,,,
2136,,4.6,,,,,
2137,38.64,,,,,,
2138,36.56,,,,,,
2139,,,,31.88,,,
2140,,,,19.24,,,
2141,,,,,18.85,,
2142,29.02,,,,,,
2143,,,,12.94,,,
2144,,,2.75,,,,
2145,,5.52,,,,,
2146,21.03,,,,,,
2147,,,2.81,,,,
2148,,,,,,,50.73
2149,,,,18.66,,,
2150,,,,,33.96,,
2151,,,2.86,,,,
2152,,,,,,,77.02
2153,36.94,,,,,,
2154,,4.71,,,,,
2155,,,3.02,,,,
2156,,4.06,,,,,
2157,,,,,,,113.59
2158,,,3.45,,,,
2159,,,,,,7.51,
2160,,,,41.69,,,
2161,,,,,,,55.77
2162,,,,28.64,,,
2163,,,,,36.48,,
2164,,,,,,,61.91
2165,,4.27,,,,,
2166,,,,,,2.97,
2167,,,,37.14,,,
2168,,,3.27,,,,
2169,,,,,,,9.95
2170,,,3.27,,,,
2171,32.74,,,,,,
2172,,,,,,30.96,
2173,,,3.17,,,,
2174,,,3.13,,,,
2175,,,3.15,,,,
2176,67.16,,,,,,
2177,,,3.18,,,,
2178,,,,,34.99,,
2179,,,,27.67,,,
