,S17_PM10,S17_PM25,S17_SO2,S17_NO2,S17_NOX,S17_NO,S17_O3
258,,,3.96,,,,
259,,5.65,,,,,
260,,,,24.45,,,
261,,,,,,,44.24
262,,,,,,15.09,
263,,,,,,,41.8
264,,,,,,10.26,
265,,,2.3,,,,
266,,0.6,,,,,
267,,,,,57.64,,
268,,,,,63.18,,
269,,3.53,,,,,
270,,,,,,2.59,
271,29.46,,,,,,
272,,,1.32,,,,
273,,,,,,,41.67
274,20.71,,,,,,
275,,,,17.17,,,
276,,,,,30.3,,
277,,,1.21,,,,
278,16.05,,,,,,
279,,,,,80.39,,
280,14.24,,,,,,
281,,21.2,,,,,
282,18.35,,,,,,
283,,,3.11,,,,
284,,,,,,16.59,
285,,,,49.03,,,
286,,,2.89,,,,
287,11.18,,,,,,
288,,,,21.92,,,
289,,2.94,,,,,
290,,,2.98,,,,
291,17.37,,,,,,
292,,,,,,,57.12
293,,,2.38,,,,
294,8.27,,,,,,
295,,,,,,0.69,
296,,,,7.56,,,
297,,,,,8.84,,
298,,,1.56,,,,
299,,1.25,,,,,
300,,,,,10.28,,
301,,1.03,,,,,
302,,,,,24.77,,
303,,,,50.24,,,
304,,,,,,,39.31
305,,5.12,,,,,
306,6.9,,,,,,
307,,,,,,10.58,
308,,,,,,2.38,
309,,,,14.92,,,
310,,,,,15.58,,
311,9.64,,,,,,
312,,,,17.8,,,
313,27.54,,,,,,
314,,,2.37,,,,
315,,,,,,,64.67
316,,,,93.17,,,
317,44.99,,,,,,
318,,,,,,29.36,
319,45.32,,,,,,
320,,9.05,,,,,
321,,,,82.83,,,
322,,,,,,,64.88
323,,,3.65,,,,
324,,,,,,7.91,
325,36.99,,,,,,
326,,,,47.78,,,
327,,6.0,,,,,
328,,,,,,,59.72
329,,,,34.02,,,
330,,,,,,3.28,
331,,,,,,,60.65
332,24.63,,,,,,
333,,,,,24.0,,
334,,,,,,,62.39
335,,,,11.39,,,
336,,,,,,2.66,
337,,,,,,,69.35
338,,,,,,2.88,
339,,,,,22.18,,
340,,2.72,,,,,
341,,1.95,,,,,
342,,,,,,,60.06
343,,,,35.22,,,
344,,,,,48.09,,
345,,,5.71,,,,
346,54.2,,,,,,
347,,,3.38,,,,
348,,,,,,,63.14
349,,,3.05,,,,
350,,2.15,,,,,
351,,,3.49,,,,
352,,,,79.14,,,
353,,,,,85.26,,
354,63.91,,,,,,
355,,17.74,,,,,
356,,16.1,,,,,
357,,,,,81.74,,
358,,,2.25,,,,
359,,23.01,,,,,
360,,,,,,5.16,
361,45.58,,,,,,
362,,,,,19.37,,
363,,,1.84,,,,
364,18.95,,,,,,
365,13.29,,,,,,
366,19.42,,,,,,
367,,,,16.66,,,
368,,,2.22,,,,
369,,,,19.49,,,
370,,,,22.54,,,
371,,,,,,6.62,
372,,,,,43.48,,
373,,,,,48.07,,
374,,,,,,,47.36
375,,,,,,,48.73
376,14.64,,,,,,
377,,,1.64,,,,
378,25.53,,,,,,
379,,,,,44.84,,
380,26.91,,,,,,
381,,,1.83,,,,
382,,,,,,3.99,
383,36.13,,,,,,
384,,,,,,,56.61
385,,,2.47,,,,
386,,15.27,,,,,
387,,,5.45,,,,
388,,,,,,,34.7
389,,,6.45,,,,
390,,,,,,19.39,
391,68.73,,,,,,
392,,,,,37.85,,
393,,,,,51.63,,
394,,,,,,19.8,
395,,,,,,17.92,
396,,,,68.54,,,
397,,,,,,,22.08
398,,,4.61,,,,
399,,,3.35,,,,
400,,,,,,,30.79
401,,,2.79,,,,
402,,31.76,,,,,
403,,,3.52,,,,
404,,,,,,,4.37
405,61.46,,,,,,
406,,,,,,24.15,
407,,,,,151.26,,
408,74.34,,,,,,
409,,,,,,204.46,
410,112.5,,,,,,
411,,,6.84,,,,
412,,51.86,,,,,
413,,,,,,33.04,
414,,,,41.78,,,
415,,,,,62.82,,
416,55.14,,,,,,
417,48.06,,,,,,
418,,,4.52,,,,
419,,,3.7,,,,
420,,,,,,27.5,
421,55.6,,,,,,
422,,5.58,,,,,
423,,,,,,,12.54
424,,,,80.86,,,
425,,,,42.23,,,
426,,,,,31.19,,
427,,20.82,,,,,
428,,,2.56,,,,
429,,,2.69,,,,
430,,,2.52,,,,
431,34.82,,,,,,
432,28.66,,,,,,
433,,,3.48,,,,
434,,,,,,19.95,
435,,,,,61.44,,
436,,,,,,,52.79
437,,,4.68,,,,
438,,,,,37.96,,
439,28.21,,,,,,
440,,,,,30.43,,
441,,,3.32,,,,
442,,,,,,7.42,
443,20.64,,,,,,
444,,,,,,3.49,
445,,,,,,4.02,
446,18.71,,,,,,
447,,1.46,,,,,
448,,,,,,2.98,
449,,,2.67,,,,
450,,,,,,,30.14
451,,0.36,,,,,
452,8.63,,,,,,
453,13.64,,,,,,
454,,,,52.09,,,
455,,,,38.78,,,
456,,,,28.65,,,
457,,,,,38.77,,
458,14.47,,,,,,
459,,,,37.97,,,
460,18.09,,,,,,
461,,,2.74,,,,
462,,,,,,33.53,
463,,,,112.83,,,
464,,,,,,62.54,
465,,16.13,,,,,
466,,,,69.62,,,
467,,,2.16,,,,
468,64.36,,,,,,
469,,,1.83,,,,
470,,,,,,5.03,
471,,,,,,,14.09
472,,,,,,117.04,
473,,,,,495.08,,
474,106.08,,,,,,
475,,,,,,19.32,
476,,,,,,21.56,
477,72.52,,,,,,
478,,,,,,,26.35
479,112.98,,,,,,
480,,,,,270.44,,
481,,,,,,,6.47
482,,,7.38,,,,
483,,,,56.35,,,
484,,,,,,,11.36
485,,,,,,21.01,
486,,,,,,,6.34
487,209.93,,,,,,
488,,141.16,,,,,
489,,123.82,,,,,
490,248.7,,,,,,
491,,30.84,,,,,
492,,,,,40.32,,
493,,,,,,13.04,
494,,,,,80.24,,
