,S9_PM10,S9_SO2,S9_NO2,S9_NOX,S9_NO
315,,1.3,,,
316,,,49.69,,
317,,0.79,,,
318,,0.9,,,
319,,,,23.34,
320,,,,,38.46
321,,,49.54,,
322,26.4,,,,
323,,,,,3.96
324,,,,36.65,
325,,,,,3.11
326,,,,,1.93
327,,,,37.67,
328,,,,,2.11
329,10.18,,,,
330,9.5,,,,
331,,,53.29,,
332,,,,36.66,
333,10.1,,,,
334,,,,,1.24
335,,1.64,,,
336,,,,16.47,
337,,,,17.55,
338,,,,,0.93
339,13.18,,,,
340,,,,,1.42
341,,,,,1.97
342,,,,20.48,
343,,1.18,,,
344,,1.24,,,
345,,1.12,,,
346,,1.22,,,
347,19.06,,,,
348,,1.4,,,
349,15.43,1.63,31.52,34.64,3.12
350,,,,,4.46
351,,,47.57,,
352,,,,62.61,
353,,,61.99,,
354,,1.96,,,
355,31.39,,,,
356,,,,,17.15
357,,2.48,,,
358,,,,87.33,
359,,2.28,,,
360,,,17.13,,
361,33.09,,,,
362,,0.78,,,
363,17.58,,,,
364,,,,20.14,
365,,,,18.89,
366,,0.77,,,
367,,,12.75,,
368,,1.25,,,
369,,1.37,,,
370,,,,22.66,
371,,,,,1.0
372,,0.96,,,
373,,0.94,,,
374,14.93,,,,
375,,,,61.71,
376,,,54.66,,
377,36.15,,,,
378,,1.35,,,
379,27.78,,,,
380,26.28,,,,
381,37.99,,,,
382,,,,,1.23
383,,,,,1.2
384,,,,,2.78
385,29.26,,,,
386,,,,,45.67
387,37.34,,,,
388,41.91,,,,
389,,,,,20.34
390,,,,59.32,
391,,3.3,,,
392,,,,26.31,
393,44.12,,,,
394,35.59,,,,
395,,1.74,,,
396,,,,,11.38
397,,,,82.89,
398,,,,86.95,
399,25.98,,,,
400,,,96.54,,
401,,,73.81,,
402,,3.19,,,
403,40.03,,,,
404,,,,,66.02
405,,2.49,,,
406,,,,,40.99
407,,2.26,,,
408,32.96,,,,
409,,,118.03,,
410,,,171.82,,
411,,5.73,,,
412,,4.45,,,
413,71.11,,,,
414,,,,40.59,
415,,,,32.24,
416,,,,,8.72
417,33.64,,,,
418,,2.42,,,
419,23.61,,,,
420,,2.24,,,
421,,3.91,,,
422,,,59.35,,
423,,2.05,,,
424,,,57.15,,
425,20.52,,,,
426,,,,38.66,
427,,,,,3.02
428,,1.98,,,
429,,1.68,,,
430,26.33,,,,
431,,1.39,,,
432,,,49.45,,
433,,,,63.0,
434,,,,42.47,
435,,,,,7.08
436,,2.04,,,
437,,,,,8.24
438,,,,,5.28
439,28.14,,,,
440,,,21.17,,
441,,,,31.27,
442,10.1,,,,
443,9.62,,,,
444,,1.21,,,
445,,,53.4,,
446,,,,57.12,
447,,,,37.86,
448,,,,30.05,
449,,,,,3.65
450,,,,29.41,
451,6.32,,,,
452,7.23,,,,
453,,,25.06,,
454,10.33,,,,
455,,,,,7.49
456,8.32,,,,
457,,,23.61,,
458,,,,34.61,
459,,,35.2,,
460,,,,,5.64
461,,,,53.31,
462,,2.4,,,
463,22.92,,,,
464,,,,101.03,
465,,1.87,,,
466,,1.62,,,
467,,,93.71,,
468,,,,98.42,
469,13.06,,,,
470,,,,54.62,
471,,,72.51,,
472,,,,100.97,
473,,3.16,,,
474,,,163.06,,
475,37.5,,,,
476,,,28.43,,
477,25.27,,,,
478,,,,80.94,
479,,2.46,,,
480,,2.01,,,
481,,,75.02,,
482,,,,98.74,
483,,1.66,,,
484,,,,,56.92
485,,,107.36,,
486,34.85,,,,
487,,,149.79,,
488,33.01,,,,
489,,,129.78,,
490,,,,,72.02
491,,,,36.4,
492,,,25.57,,
493,47.41,,,,
494,,3.06,,,
495,,2.74,,,
496,,,56.6,,
497,,2.04,,,
498,,1.96,,,
499,,,,,9.22
500,,,,,7.76
501,,,,437.59,
502,,,,218.26,
503,82.06,,,,
504,,1.26,,,
505,,0.88,,,
506,,,69.84,,
507,,,,120.13,
508,,,,,15.82
509,,1.74,,,
510,,,,95.38,
511,,2.3,,,
512,,,,,9.9
513,,,,65.85,
514,29.95,,,,
515,32.89,,,,
516,24.6,,,,
517,35.11,,,,
518,,,,,9.44
519,,,,,15.79
520,,1.05,,,
521,,2.97,,,
522,61.09,,,,
523,,2.79,,,
524,39.37,,,,
525,,2.33,,,
526,,,,86.22,
527,,,,241.16,
528,,,,,92.54
529,,,53.35,,
530,,,51.99,,
531,,2.25,,,
532,,,,,30.57
533,,,,151.34,
534,,,145.03,,
535,,3.79,,,
536,,3.08,,,
537,,,,160.61,
538,,,108.74,,
539,,3.18,,,
540,,,,,42.22
541,,,,111.82,
542,,,,116.46,
543,,,,,35.07
544,,5.17,,,
545,61.36,4.1,122.81,200.84,78.03
546,,3.71,,,
547,49.15,,,,
548,,,,,11.14
549,39.46,,,,
550,36.26,,,,
551,,3.83,,,
552,,5.44,,,
553,,,,307.77,
554,77.09,7.26,171.13,329.36,158.23
555,,,103.99,,
556,,4.03,,,
557,62.71,,,,
558,,,191.06,,
559,,,,158.67,
560,,,,60.29,
561,,,,54.7,
562,,,,43.97,
563,,,29.79,,
564,,,,57.11,
565,,,97.45,,
566,,,210.27,,
567,,,165.84,,
568,,2.68,,,
569,,,,,46.1
570,,,,148.21,
571,,,111.6,,
572,,,62.71,,
573,,,,77.23,
574,,,108.64,,
575,,1.12,,,
576,,0.74,,,
577,,,,,57.41
578,,,,272.77,
579,,1.0,,,
580,,,,172.15,
581,,,,204.3,
582,,,,157.41,
583,37.26,,,,
584,,,,,37.69
585,,,,209.65,
586,41.51,,,,
587,,1.32,,,
588,,,,45.62,
589,,1.06,,,
590,,0.96,,,
591,,,25.21,,
592,,,,40.63,
593,,,,,6.69
594,27.19,,,,
595,,,196.59,,
596,,,44.13,,
597,37.38,,,,
598,34.74,,,,
599,25.99,,,,
600,29.66,,,,
601,,,21.07,,
602,,1.56,,,
603,,,41.9,,
604,,1.87,,,
605,,,,42.69,
606,29.95,,,,
607,,,,37.63,
608,,,,,7.82
609,,1.85,,,
610,34.73,,,,
611,42.2,,,,
612,,,38.8,,
613,,1.82,,,
614,49.86,,,,
615,,,24.97,,
616,12.97,,,,
617,,,,,8.69
618,,,,63.83,
619,,,80.22,,
620,21.78,,,,
621,16.15,,,,
622,12.2,,,,
623,18.23,,,,
624,,1.7,,,
625,10.94,,,,
626,12.57,,,,
627,,,,,34.89
628,,2.49,,,
629,,,100.72,,
630,46.43,,,,
631,,2.08,,,
632,,,,78.48,
633,63.01,,,,
634,,,,,10.32
635,,1.61,,,
636,,,75.1,,
637,,,,57.47,
638,,1.71,,,
639,18.56,,,,
640,,,,91.74,
641,,,90.03,,
642,,1.97,,,
643,,,,,22.14
644,,,,100.83,
645,,,,132.5,
646,,,,,40.43
647,,,,,11.9
648,,1.79,,,
649,,,,51.37,
650,,1.7,,,
651,,1.82,,,
652,31.33,,,,
653,,1.57,,,
654,,,,82.56,
655,,1.51,,,
656,17.91,,,,
657,,,80.72,,
658,,,,,12.91
659,,,67.86,,
660,12.68,,,,
661,18.68,1.47,55.27,64.54,9.27
662,,,,,8.1
663,,,,56.35,
664,,,,61.41,
665,,,,52.72,
666,,1.86,,,
667,,,,67.82,
668,,,55.06,,
669,,,65.88,,
670,,,,,36.91
671,,2.13,,,
672,,,,,20.4
673,33.86,,,,
674,,1.88,,,
675,24.15,,,,
676,26.19,,,,
677,22.64,1.75,98.26,117.9,19.64
678,,,111.28,,
679,,,119.34,,
680,30.54,1.94,88.22,130.39,42.17
681,28.09,,,,
682,,,54.41,,
683,11.03,,,,
684,18.58,,,,
685,,,,51.05,
686,,1.35,,,
687,,1.24,,,
688,14.87,,,,
689,,,,,20.89
690,,,,,9.71
691,,1.46,,,
692,,,74.36,,
693,,,42.68,,
694,,1.86,,,
695,,2.25,,,
696,28.45,,,,
697,,,31.56,,
698,,,36.47,,
699,,,,,6.01
700,,,54.07,,
701,,,,,13.93
702,,1.82,,,
703,,,,111.12,
704,,2.33,,,
705,,,,,25.93
706,18.92,,,,
707,20.02,,,,
708,,,,134.73,
709,21.57,,,,
710,,,,,136.41
711,,,,289.61,
712,,2.62,,,
713,20.81,,,,
714,21.07,,,,
715,,4.45,,,
716,67.58,,,,
717,,,,135.88,
718,,,,,65.97
719,57.48,,,,
720,,,,115.99,
721,,,87.29,,
722,,,92.15,,
723,,,76.02,,
724,,,,,11.14
