,S9_PM10,S9_SO2,S9_NO2,S9_NOX,S9_NO
1333,56.51,,,,
1334,,,,81.13,
1335,36.12,,,,
1336,,,,,17.82
1337,,,,53.5,
1338,,1.49,,,
1339,,,68.86,,
1340,,1.54,,,
1341,20.01,,,,
1342,,1.94,,,
1343,,,69.39,,
1344,,,,,11.3
1345,22.7,,,,
1346,,,,60.83,
1347,,,,,15.04
1348,25.52,,,,
1349,,,36.23,,
1350,,,,,7.28
1351,,,48.88,,
1352,,1.52,,,
1353,,,,,12.35
1354,,,,34.11,
1355,,1.74,,,
1356,,,,,6.84
1357,,,,74.08,
1358,,,,102.51,
1359,30.11,,,,
1360,,,,,29.09
1361,,,,71.89,
1362,,2.43,,,
1363,,,109.86,,
1364,,2.59,,,
1365,48.03,,,,
1366,,2.11,,,
1367,,,,,57.34
1368,44.82,,,,
1369,,,,81.7,
1370,,,,,39.86
1371,42.51,,,,
1372,,,,,13.23
1373,,,,62.56,
1374,,,,82.02,
1375,,2.03,,,
1376,,,54.07,,
1377,,2.27,,,
1378,61.62,,,,
1379,48.58,,,,
1380,,,,,10.51
1381,,,,151.26,
1382,,,,,78.9
1383,54.07,,,,
1384,,,,247.75,
1385,,,,,32.84
1386,50.93,,,,
1387,,,107.05,,
1388,,2.19,,,
1389,,,,,36.13
1390,40.39,,,,
1391,39.43,,,,
1392,,,,,8.8
1393,34.3,,,,
1394,,,,,10.89
1395,,,35.47,,
1396,,,,,6.99
1397,27.24,,,,
1398,30.46,,,,
1399,,,45.42,,
1400,,2.2,,,
1401,,,,134.41,
1402,,,,136.43,
1403,33.49,,,,
1404,,,141.7,,
1405,,,,,65.08
1406,46.0,,,,
1407,,1.78,,,
1408,,,,108.96,
1409,50.55,,,,
1410,63.6,,,,
1411,58.3,,,,
1412,,,,76.73,
1413,,,46.6,,
1414,,,,,16.83
1415,,,13.26,,
1416,,,,21.64,
1417,21.26,,,,
1418,,,,20.49,
1419,,,,,6.06
1420,20.12,,,,
1421,,,31.07,,
1422,,1.72,,,
1423,,1.6,,,
1424,,1.57,,,
1425,,,52.95,,
1426,,,,,8.3
1427,,,55.18,,
1428,,,,,4.01
1429,,1.44,,,
1430,,,,,3.93
1431,,,17.21,,
1432,,,16.53,,
1433,,1.57,,,
1434,,,,16.09,
1435,,1.62,,,
1436,,,13.71,,
1437,,,,,7.43
1438,,,,20.35,
1439,57.34,,,,
1440,,1.63,,,
1441,,1.58,,,
1442,,,,,5.69
1443,,1.61,,,
1444,,1.62,,,
1445,,1.63,,,
1446,,,,42.35,
1447,,,37.26,,
1448,,,47.98,,
1449,,,,,4.68
1450,33.68,,,,
1451,,,,,4.19
1452,35.21,,,,
1453,,,,,3.56
1454,,,,15.08,
1455,,,16.74,,
1456,,,,,8.12
1457,,,,27.01,
1458,,,20.39,,
1459,52.82,,,,
1460,61.94,,,,
1461,,,,26.18,
1462,,,35.04,,
1463,,,,67.74,
1464,,,,56.71,
1465,,,,35.46,
1466,,,,80.44,
1467,,,102.9,,
1468,,1.45,,,
1469,55.57,,,,
1470,,,47.46,,
1471,37.83,,,,
1472,,,72.67,,
1473,49.45,,,,
1474,,,55.7,,
1475,,,,,4.14
1476,,,19.99,,
1477,,,,,15.12
1478,,,43.95,,
1479,,1.23,,,
1480,,1.17,,,
1481,,,,44.81,
1482,15.08,,,,
1483,,,,44.48,
1484,,,,45.97,
1485,29.83,,,,
1486,,,54.76,,
1487,,,,,23.3
1488,,,,119.35,
1489,,,102.35,,
1490,27.63,,,,
1491,,,,164.06,
1492,33.03,,,,
1493,,,,131.45,
1494,42.64,,,,
1495,,1.3,,,
1496,,,,,11.01
1497,,,18.03,,
1498,,,,,12.48
1499,,,,,11.34
1500,,1.29,,,
1501,,,,324.43,
1502,,0.98,,,
1503,28.94,,,,
1504,26.21,,,,
1505,,,82.8,,
1506,33.46,,,,
1507,,,,,1.77
1508,,2.16,,,
1509,,,37.24,,
1510,,,,,4.03
1511,,,,,12.91
1512,,,74.01,,
1513,,,78.07,,
1514,,,67.05,,
1515,,,,,10.12
1516,,,,,6.49
1517,,,30.18,,
1518,,,34.05,,
1519,,,,,4.9
1520,,,72.05,,
1521,,2.37,,,
1522,,,,217.1,
1523,71.39,,,,
1524,,,86.5,,
1525,,,,25.36,
1526,,,16.44,,
1527,19.71,,,,
1528,,,,17.37,
1529,,2.45,,,
1530,,,26.81,,
1531,,,,,3.49
1532,,,,78.68,
1533,,,51.23,,
1534,,,,48.66,
1535,,,,72.73,
1536,46.05,,,,
1537,57.55,,,,
1538,10.34,,,,
1539,,,22.1,,
1540,,,,29.96,
1541,,1.68,,,
1542,,,,63.0,
1543,,,,,5.01
1544,24.75,,,,
1545,,,,,1.11
1546,,,,,19.36
1547,,,37.38,,
1548,,,32.77,,
1549,,,,,4.53
1550,27.66,,,,
1551,,,,,3.47
1552,,1.53,,,
1553,,,,,5.09
1554,,,,,1.55
1555,34.31,,,,
1556,,,46.97,,
1557,,,,50.49,
1558,,1.78,,,
1559,,,,,0.44
1560,,,,,0.38
1561,,,,45.46,
1562,,2.17,,,
1563,,2.24,,,
1564,,,,16.42,
1565,,,,,1.55
1566,,,18.37,,
1567,,,20.04,,
1568,,2.39,,,
1569,,2.24,,,
1570,,,89.85,,
1571,,2.35,,,
1572,,,,144.85,
1573,,,135.87,,
1574,48.4,,,,
1575,,,,135.04,
1576,,,,,5.79
1577,41.67,,,,
1578,,,,,1.13
1579,,,,49.12,
1580,,2.06,,,
1581,,,,,21.02
1582,,1.94,,,
1583,,2.01,,,
1584,,,,22.14,
1585,,2.54,,,
1586,,2.35,,,
1587,,2.44,,,
1588,,,,35.64,
1589,,,95.13,,
1590,,,,192.47,
1591,28.27,,,,
1592,,2.21,,,
1593,39.53,,,,
1594,,,45.49,,
1595,,,,,2.53
1596,34.33,,,,
1597,,,,61.74,
1598,,,82.95,,
1599,35.3,,,,
1600,,,,,83.55
1601,,,,139.6,
1602,,,53.21,,
1603,,,,84.92,
1604,,,,,12.29
1605,41.01,,,,
1606,,,,,26.42
1607,,,,,12.4
1608,32.81,1.13,47.1,52.5,5.4
1609,,,66.6,,
1610,,1.52,,,
1611,,,,63.51,
1612,,,42.02,,
1613,,1.57,,,
1614,15.31,,,,
1615,,2.07,,,
1616,,,,54.5,
1617,,,,,10.51
1618,26.54,,,,
1619,23.59,,,,
1620,20.58,,,,
1621,,,,56.04,
1622,21.5,,,,
1623,,1.73,,,
1624,,1.65,,,
1625,,1.85,,,
1626,,,84.54,,
1627,,,77.41,,
1628,,,,105.94,
1629,,,,,7.85
1630,34.59,,,,
1631,38.34,,,,
1632,46.59,,,,
1633,,1.9,,,
1634,,,42.87,,
1635,,,,,20.91
1636,,,39.07,,
1637,,1.96,,,
1638,,2.05,,,
1639,,,,,8.67
1640,,2.32,,,
1641,13.89,,,,
1642,,,19.75,,
1643,,,,24.93,
1644,,,17.68,,
1645,,,,,6.94
1646,,1.54,,,
1647,,,,,6.49
1648,,,,34.65,
1649,,1.61,,,
1650,,1.49,,,
1651,,,,112.19,
1652,,,110.43,,
1653,45.63,,,,
1654,,,,238.2,
1655,,1.82,,,
1656,,,,80.77,
1657,,1.99,,,
1658,,,,40.17,
1659,,1.88,,,
1660,,,,,6.05
1661,,,,15.84,
1662,23.11,,,,
1663,,,,56.62,
1664,,,,,10.14
1665,,1.73,,,
1666,47.14,,,,
1667,,,,,22.74
1668,,,,78.91,
1669,,,,,13.43
1670,20.31,,,,
1671,,,14.79,,
1672,,2.13,,,
1673,,,,22.55,
1674,,2.04,,,
1675,,,,,6.56
1676,,,,38.4,
1677,25.81,,,,
1678,,,,,5.84
1679,,,,91.78,
1680,,1.73,,,
1681,33.21,,,,
1682,,1.4,,,
1683,,,45.4,,
1684,,1.78,,,
1685,37.17,,,,
1686,42.43,,,,
1687,,,38.29,,
1688,34.9,,,,
1689,,1.74,,,
1690,26.63,,,,
1691,,,,,9.94
1692,,,,24.41,
1693,,,,,7.83
1694,,,16.46,,
1695,13.53,,,,
1696,,,,24.42,
1697,,,,,8.09
1698,,1.82,,,
1699,,,,,7.71
1700,,,,32.46,
1701,8.16,1.85,40.37,48.32,7.95
1702,,1.89,,,
1703,,2.09,,,
1704,,,,254.37,
1705,,,134.5,,
1706,12.8,,,,
1707,,,68.37,,
1708,,1.97,,,
1709,,,,,5.75
1710,,2.06,,,
1711,,,52.29,,
1712,,2.21,,,
1713,,,,49.11,
1714,,,,,15.12
1715,,,,,10.92
1716,,,21.93,,
1717,,2.46,,,
1718,4.82,,,,
1719,5.49,,,,
1720,,,18.46,,
1721,8.22,,,,
1722,,,,,7.61
1723,,2.28,,,
1724,,2.18,,,
1725,17.56,,,,
1726,19.64,,,,
1727,19.89,,,,
1728,,,,,42.92
1729,,1.7,,,
1730,,1.58,,,
1731,,,,183.44,
1732,,,100.58,,
1733,,,,,34.28
1734,,,,,19.18
1735,,,,,19.11
1736,,,,,17.49
1737,,,,,11.7
1738,,,,30.23,
1739,,,,,8.58
1740,,,,31.02,
1741,,1.32,,,
1742,38.56,,,,
1743,,,193.91,,
1744,,,,323.61,
1745,,,169.59,,
1746,55.15,,,,
1747,53.3,,,,
1748,49.94,,,,
1749,,1.09,,,
1750,40.69,,,,
1751,,,,33.71,
1752,,,,,5.94
1753,,,16.12,,
1754,,,,,5.34
1755,,,18.66,,
1756,,1.77,,,
1757,33.1,,,,
1758,42.83,,,,
1759,,,,63.45,
1760,,,,,5.92
1761,,,,41.34,
1762,,1.43,,,
1763,,,32.96,,
1764,,1.14,,,
1765,36.18,,,,
1766,,,38.04,,
1767,,,,,4.96
1768,,1.04,,,
1769,,,,27.65,
1770,,1.07,,,
1771,,,,36.69,
1772,,,,33.53,
1773,,,,,6.92
1774,,,,15.81,
1775,,1.06,,,
1776,,,24.35,,
1777,,,22.05,,
1778,13.61,,,,
1779,,,,27.5,
1780,,,18.59,,
1781,17.11,,,,
1782,20.27,,,,
1783,,,16.43,,
1784,,,24.4,,
1785,,,25.74,,
1786,,1.37,,,
1787,19.71,,,,
1788,,1.27,,,
1789,,1.33,,,
1790,22.48,,,,
1791,,1.35,,,
1792,,,6.25,,
1793,,,,,8.83
1794,,1.16,,,
1795,27.58,,,,
1796,,,,,4.97
1797,19.35,,,,
1798,21.93,,,,
1799,,,,15.27,
1800,,,8.81,,
1801,,,,,5.03
1802,,,10.33,,
1803,,1.4,,,
1804,14.77,,,,
1805,,1.4,,,
1806,,1.33,,,
1807,15.49,,,,
1808,11.85,,,,
1809,,,48.5,,
1810,,,,41.44,
1811,,,34.51,,
1812,,1.71,,,
1813,19.14,,,,
1814,,1.79,,,
1815,,1.69,,,
1816,,,8.63,,
1817,,,8.88,,
1818,,,8.55,,
1819,,,7.62,,
1820,,,,11.92,
1821,,,,,4.73
1822,,1.71,,,
1823,,,,,4.56
1824,11.07,,,,
1825,12.35,,,,
1826,,,,,5.11
1827,33.04,,,,
1828,34.26,,,,
1829,,,,26.1,
1830,,,,32.56,
1831,,,,,6.93
1832,,1.56,,,
1833,24.77,,,,
1834,,,,71.34,
1835,25.23,1.53,44.21,49.27,5.06
1836,,,,34.24,
1837,,,,29.18,
1838,,,,,4.09
1839,,,,19.32,
1840,28.11,2.42,16.17,20.06,3.89
1841,,,,,4.12
1842,23.24,,,,
1843,,,,,7.53
1844,25.5,,,,
1845,,2.19,,,
1846,,,,22.91,
1847,,,11.33,,
1848,,,,,4.47
1849,19.25,,,,
1850,21.35,,,,
1851,,2.74,,,
1852,,,16.7,,
1853,,,27.48,,
1854,,,,,4.99
1855,11.3,,,,
1856,,,32.92,,
1857,,2.69,,,
1858,,,,,3.71
1859,,,,,9.81
1860,41.47,,,,
1861,,,43.57,,
1862,,,,37.76,
1863,,2.24,,,
1864,,2.17,,,
1865,,,,,15.21
1866,,,45.51,,
1867,,,26.23,,
1868,29.3,,,,
1869,33.44,,,,
1870,,2.21,,,
1871,,,,34.98,
1872,,,,,5.65
1873,,,14.24,,
1874,,,15.46,,
1875,,,,23.54,
1876,,2.51,,,
1877,,,,,4.54
1878,,,30.12,,
1879,,2.27,,,
1880,,,,43.16,
1881,,,,29.63,
1882,,,,27.29,
1883,,2.15,,,
1884,31.09,,,,
1885,,,,,5.81
1886,,,,21.03,
1887,,2.19,,,
1888,,,,22.03,
1889,,,23.06,,
1890,,,23.68,,
1891,,,,23.45,
1892,,,15.92,,
1893,,2.79,,,
1894,19.81,,,,
1895,,,20.86,,
1896,,,,25.64,
1897,21.32,,,,
1898,,2.4,,,
1899,,2.51,,,
1900,,,30.09,,
1901,15.0,,,,
1902,,2.47,,,
1903,,,13.54,,
1904,,2.39,,,
1905,,,12.34,,
1906,,2.41,,,
1907,,,,21.14,
1908,18.6,2.41,15.61,21.28,5.67
1909,16.67,,,,
1910,,,,,5.97
1911,,,,20.55,
1912,,,,,6.25
1913,,,,,5.9
1914,,2.62,,,
1915,,,,,5.77
1916,,2.6,,,
1917,,,22.95,,
1918,,2.57,,,
1919,,2.54,,,
1920,39.39,,,,
1921,,2.48,,,
1922,,2.22,,,
1923,,,,,3.79
1924,,,,19.51,
1925,,2.55,,,
1926,21.98,,,,
1927,,,,,7.57
1928,,,,,7.32
1929,,2.53,,,
1930,,,9.5,,
1931,,,,,5.14
1932,,,10.7,,
1933,,,13.81,,
1934,,2.39,,,
1935,,2.49,,,
1936,,2.52,,,
1937,,2.44,,,
1938,,2.33,,,
1939,,,,,5.43
1940,,,,50.12,
1941,,,74.29,,
1942,,2.9,,,
1943,25.51,,,,
1944,,2.81,,,
1945,39.86,,,,
1946,,,,,11.78
1947,,,53.1,,
1948,,,53.81,,
1949,,,35.86,,
1950,,,,,6.25
1951,,2.99,,,
1952,,,22.92,,
1953,17.11,,,,
1954,,,,,6.1
1955,,,,,4.85
1956,,,,18.78,
1957,,,16.35,,
1958,20.99,,,,
1959,,3.26,,,
1960,,,,56.93,
1961,27.43,,,,
1962,,,,69.12,
1963,,,,75.34,
1964,29.24,,,,
1965,,,,78.99,
1966,,,,,5.16
1967,,3.12,,,
1968,41.4,,,,
1969,,,60.11,,
1970,,2.73,,,
1971,,,,,7.03
1972,,2.8,,,
1973,,,,,5.34
1974,,,,17.74,
1975,19.21,,,,
1976,,,15.58,,
1977,,2.88,,,
1978,,,,,4.48
1979,,2.84,,,
1980,,2.72,,,
1981,,,28.53,,
1982,,2.71,,,
1983,39.04,,,,
1984,41.72,,,,
1985,37.96,,,,
1986,,,31.62,,
1987,,2.33,,,
1988,,,,40.05,
1989,48.08,,,,
1990,,,,61.03,
1991,,,,,7.33
1992,17.1,,,,
1993,,,18.72,,
1994,,,,19.49,
1995,,,,21.13,
1996,6.01,,,,
1997,9.56,2.57,19.0,25.02,6.02
1998,,,,22.72,
1999,10.94,,,,
2000,,,,45.67,
2001,,,,,5.13
2002,,2.63,,,
2003,,,,84.33,
2004,,2.67,,,
2005,,,,,6.83
2006,,,,91.21,
2007,,,,81.13,
2008,,,,,4.71
2009,,,42.14,,
2010,,,,,4.8
2011,,,,,13.12
2012,,2.26,,,
2013,30.46,,,,
2014,,,,54.04,
2015,,2.36,,,
2016,16.46,,,,
2017,,2.41,,,
2018,,,,19.24,
2019,,2.77,,,
2020,,,14.26,,
2021,19.31,,,,
2022,,,,20.56,
2023,,,28.94,,
2024,,2.6,,,
2025,39.2,,,,
2026,,,79.7,,
2027,,,,,8.65
2028,,,,93.31,
2029,,,,,13.32
2030,,,58.54,,
2031,,,,,4.47
2032,36.9,,,,
2033,,1.8,,,
2034,,,,,6.49
2035,,,,18.62,
2036,25.89,,,,
2037,18.53,,,,
2038,,1.87,,,
2039,,1.92,,,
2040,,,,19.02,
2041,,1.86,,,
2042,,2.09,,,
2043,,,,29.55,
2044,,,,,5.5
2045,,,,34.73,
2046,,,43.31,,
2047,,,37.47,,
2048,33.34,,,,
2049,29.38,,,,
2050,,,40.97,,
2051,,,,,4.24
2052,,2.33,,,
2053,19.83,,,,
2054,,2.38,,,
2055,,2.01,,,
2056,37.04,,,,
2057,,,,,6.38
2058,,,,16.08,
2059,,,,14.17,
2060,,,,15.72,
2061,,2.1,,,
2062,,,,,5.24
2063,,2.3,,,
2064,,,,,5.18
2065,,,12.71,,
2066,,,15.57,,
2067,,,,28.7,
2068,,,,,5.5
2069,,,36.86,,
2070,,,36.8,,
2071,29.28,,,,
2072,32.66,,,,
2073,31.73,,,,
2074,25.36,,,,
2075,26.02,,,,
2076,,,,18.51,
2077,24.05,,,,
2078,38.06,,,,
2079,,,,,8.16
2080,,,,,9.55
2081,,,15.36,,
2082,22.0,,,,
2083,,,12.69,,
2084,,2.43,,,
2085,,,13.79,,
2086,,,,,5.65
2087,9.72,,,,
2088,,,,49.89,
2089,,2.35,,,
2090,,2.29,,,
2091,34.82,,,,
2092,,,36.11,,
2093,34.29,,,,
2094,,,,,4.28
2095,,,,,4.7
2096,,,18.87,,
2097,,,,19.17,
2098,,,,,4.06
2099,26.02,,,,
2100,,,21.13,,
2101,,,,32.51,
2102,27.45,,,,
2103,26.03,,,,
2104,,2.79,,,
2105,32.58,,,,
2106,,,,26.59,
2107,,3.03,,,
2108,,,,,5.3
2109,,,14.32,,
2110,,,,,6.45
2111,,2.69,,,
2112,,,,30.42,
2113,,2.77,,,
2114,18.53,,,,
2115,22.68,,,,
2116,,,41.64,,
2117,,,32.67,,
2118,37.23,,,,
2119,,,23.34,,
2120,50.36,,,,
2121,,2.73,,,
2122,,,,19.85,
2123,,,19.33,,
2124,,,,26.84,
2125,,,25.92,,
2126,,,25.63,,
2127,,3.14,,,
2128,,,,,7.55
2129,10.36,,,,
2130,,3.02,,,
2131,,,12.77,,
2132,,,,,6.3
2133,,,,19.82,
2134,,,,20.83,
2135,,,20.36,,
2136,29.59,,,,
2137,,,,39.96,
2138,32.45,,,,
2139,,2.69,,,
2140,32.09,2.92,36.84,42.1,5.26
2141,,,38.55,,
2142,,,,35.74,
2143,28.22,,,,
2144,33.76,,,,
2145,35.3,,,,
2146,,2.57,,,
2147,29.48,2.53,15.75,19.77,4.02
2148,29.02,,,,
2149,37.83,,,,
2150,,,,,8.57
2151,32.0,,,,
2152,,,,26.99,
2153,,,,25.51,
2154,,,,,4.52
2155,,2.51,,,
2156,,,18.29,,
2157,24.64,,,,
2158,,,,,4.41
2159,,,,,4.26
2160,30.34,,,,
2161,,,,126.91,
2162,,,,,5.95
2163,55.92,,,,
2164,,,,,7.31
2165,,3.72,,,
2166,,,104.66,,
2167,,,,,8.64
2168,,,,99.33,
2169,,,52.67,,
2170,,,,,25.12
2171,,2.83,,,
2172,,2.74,,,
2173,,,,96.33,
2174,,,38.42,,
2175,,,,,7.21
2176,38.67,,,,
2177,,,,,4.9
2178,,,,,5.39
2179,,2.72,,,
2180,,,,,5.52
2181,,,32.07,,
2182,,,,38.63,
2183,41.09,,,,
2184,,3.32,,,
2185,,,,,4.24
2186,,,39.28,,
2187,,,34.01,,
2188,,,,27.97,
2189,,,,,4.17
2190,33.77,,,,
2191,,,22.05,,
2192,,1.68,,,
2193,,,,,5.78
2194,33.49,,,,
2195,,,36.45,,
2196,,1.59,,,
2197,20.21,,,,
2198,,,,22.72,
2199,,,17.97,,
2200,,1.1,,,
2201,,1.17,,,
2202,,1.32,,,
2203,,1.38,,,
2204,,1.7,,,
2205,19.55,,,,
2206,28.21,,,,
2207,,,,,5.05
2208,,,,78.99,
2209,,,,99.32,
2210,,,,159.86,
2211,25.11,,,,
2212,,,91.85,,
2213,24.05,,,,
2214,,2.66,,,
2215,,,,,26.72
2216,,,,130.13,
2217,47.12,,,,
2218,,,,,15.42
2219,,,57.99,,
2220,,,,17.51,
2221,,1.78,,,
2222,21.67,,,,
2223,,,,16.95,
2224,,,,15.8,
2225,,,,,4.61
2226,,,,,4.74
2227,,2.12,,,
2228,,,,40.48,
2229,,,,,4.22
2230,,,,,4.14
2231,,2.25,,,
2232,,1.98,,,
2233,62.86,,,,
2234,,1.32,,,
2235,,,16.03,,
2236,17.94,1.81,15.55,21.5,5.95
2237,12.56,,,,
2238,,,,19.91,
2239,20.45,,,,
2240,,1.66,,,
2241,,1.7,,,
2242,,1.78,,,
2243,,1.94,,,
2244,,1.93,,,
2245,,,,33.79,
2246,,,,28.13,
2247,,,,,4.22
2248,,,14.98,,
2249,26.35,,,,
2250,,,,17.6,
2251,20.14,,,,
2252,,2.62,,,
2253,,,,25.75,
2254,,,,53.77,
2255,,,,,13.8
2256,24.42,,,,
2257,,,22.97,,
2258,,,18.04,,
2259,,2.78,,,
2260,,,,22.11,
2261,,,,,6.13
2262,,,,,6.34
2263,6.23,,,,
2264,15.49,,,,
2265,,,,,5.8
2266,,,,,5.4
2267,18.91,,,,
2268,,3.01,,,
2269,,,95.24,,
2270,,3.41,,,
2271,,3.03,,,
2272,,,47.68,,
2273,29.38,,,,
2274,,,,48.91,
2275,,2.85,,,
2276,,2.78,,,
2277,,,,,12.31
2278,,,,,26.42
2279,,,,,28.92
2280,,2.6,,,
2281,,,,34.35,
2282,,,24.95,,
2283,,,,,4.78
2284,,,,,5.3
2285,,,35.32,,
2286,,,59.57,,
2287,,,79.11,,
2288,,,,278.36,
2289,,,261.25,,
2290,,,250.29,,
2291,,3.88,,,
2292,,,,267.69,
2293,,2.71,,,
2294,66.0,,,,
2295,,,,,43.49
2296,64.64,,,,
2297,,,,,24.68
2298,,,,145.19,
2299,63.49,,,,
2300,,,125.16,,
2301,,1.97,,,
2302,57.98,,,,
2303,,1.96,,,
2304,,2.19,,,
2305,,,,,6.93
2306,39.18,,,,
2307,,3.42,,,
2308,,,45.71,,
2309,,1.8,,,
2310,116.32,,,,
2311,,2.25,,,
2312,,,,13.52,
2313,,2.32,,,
2314,,,,11.29,
2315,17.25,2.35,9.11,13.0,3.89
2316,12.08,,,,
2317,,,10.92,,
2318,,,,17.63,
2319,,,,,5.7
2320,,2.1,,,
2321,11.11,,,,
2322,,2.23,,,
2323,,2.46,,,
2324,16.98,,,,
2325,,,36.12,,
2326,24.44,,,,
2327,,,,59.88,
2328,,,,36.3,
2329,22.56,,,,
2330,,2.59,,,
2331,27.24,,,,
2332,28.77,,,,
2333,25.07,,,,
2334,,,15.01,,
2335,32.43,,,,
2336,,,,,4.69
2337,,,,,7.46
2338,,2.03,,,
2339,,2.32,,,
2340,20.93,,,,
2341,,2.24,,,
2342,,,,21.34,
2343,,,14.32,,
2344,,,,20.55,
2345,,,,,5.0
2346,6.52,2.63,14.68,19.27,4.59
2347,,,,22.26,
2348,,,,24.5,
2349,,,,,3.82
2350,,,,,22.8
2351,21.8,,,,
2352,,,,81.17,
2353,,2.83,,,
2354,,,39.25,,
2355,,,38.18,,
2356,,,,,4.74
2357,,,,20.17,
2358,,,15.75,,
2359,21.23,,,,
2360,,,,,4.12
2361,,,,,6.45
2362,,,,28.77,
2363,,2.75,,,
2364,,,14.23,,
2365,,,,,6.5
2366,,,11.99,,
2367,22.88,,,,
2368,16.12,,,,
2369,,,,,5.95
2370,,,16.94,,
2371,13.0,,,,
2372,,,,,6.03
2373,,,,60.19,
2374,,,,67.02,
2375,,2.9,,,
2376,,,,36.81,
2377,,,,33.7,
2378,,2.54,,,
2379,,,,,4.07
2380,,,,22.39,
2381,,,,18.49,
2382,,,,23.53,
2383,,,26.25,,
2384,,,32.64,,
2385,,,22.02,,
2386,25.96,,,,
2387,,,,21.27,
2388,22.7,,,,
2389,4.19,,,,
2390,,,,23.11,
2391,,,,42.99,
2392,,,152.12,,
2393,,,,,25.5
2394,,,,,12.04
2395,,6.0,,,
2396,,,,,7.57
2397,,,,,8.97
2398,,,,,4.58
2399,,,39.01,,
2400,,,56.08,,
2401,16.36,,,,
2402,,,,,35.8
2403,23.42,,,,
2404,,,71.51,,
2405,12.66,,,,
2406,9.38,,,,
2407,,,,,6.28
2408,,4.17,,,
2409,,,,17.99,
2410,7.54,,,,
2411,,,36.14,,
2412,10.43,,,,
2413,,,,,5.72
2414,9.76,,,,
2415,,,,,4.29
2416,,,,,4.4
2417,,,,28.01,
2418,16.5,,,,
2419,19.3,,,,
2420,14.19,,,,
2421,,,,,4.96
2422,,3.61,,,
2423,,,,,7.48
2424,23.59,,,,
2425,0.47,,,,
2426,,,,26.49,
2427,,3.23,,,
2428,,,,,6.92
2429,,,76.56,,
2430,,,111.56,,
2431,13.28,,,,
2432,,,74.15,,
2433,,,,,4.44
2434,,,,,4.9
2435,,,,44.33,
2436,10.97,,,,
2437,,,20.87,,
2438,,,,,4.46
2439,13.65,,,,
2440,,3.53,,,
2441,,,21.68,,
2442,,3.65,,,
2443,,,,26.18,
2444,,,,,5.66
2445,16.28,,,,
2446,,,,29.83,
2447,9.82,,,,
2448,,,,,35.42
2449,19.5,,,,
2450,,,,271.81,
2451,20.3,,,,
2452,,4.66,,,
2453,,4.34,,,
2454,,,,,24.43
2455,,,101.35,,
2456,,,114.12,,
2457,,,95.42,,
2458,,4.07,,,
2459,,,,,18.36
2460,,,,62.12,
2461,33.51,,,,
2462,,,,19.43,
2463,24.06,,,,
2464,,,13.82,,
2465,,,,19.42,
2466,,,,,5.31
2467,,,20.06,,
2468,,3.93,,,
2469,23.26,,,,
2470,,,,48.43,
2471,,,,,5.47
2472,,,,62.41,
2473,,,63.88,,
2474,22.19,,,,
2475,24.84,,,,
2476,,,,49.91,
2477,,4.45,,,
2478,,,,,4.54
2479,,,,53.71,
2480,32.28,,,,
2481,,3.77,,,
2482,,,42.66,,
2483,,,,48.13,
2484,,,,34.42,
2485,,,14.12,,
2486,,,,,5.43
2487,,,,,5.32
2488,,,14.39,,
2489,,4.33,,,
2490,,,,,5.3
2491,,,,32.8,
2492,,4.6,,,
2493,,4.54,,,
2494,,,,,50.48
2495,,,,,24.09
2496,18.71,,,,
2497,,3.99,,,
2498,,,,74.22,
2499,,,29.94,,
2500,,,18.8,,
2501,,,13.22,,
2502,,,,,4.36
2503,,,15.94,,
2504,,3.36,,,
2505,,,,50.11,
2506,,,,47.06,
2507,,,,35.25,
2508,,,,,6.46
2509,,,,21.78,
2510,23.31,,,,
2511,,,,22.85,
2512,,3.32,,,
2513,,,,,4.61
2514,,,,23.85,
2515,,,,22.08,
2516,20.88,,,,
2517,,,,,4.22
2518,20.78,,,,
2519,20.71,,,,
2520,,3.04,,,
2521,,,8.97,,
2522,,2.84,,,
2523,,,,12.11,
2524,,,,,4.57
2525,12.49,,,,
2526,,,,,6.25
2527,,2.53,,,
2528,,,,22.51,
2529,28.84,,,,
2530,30.45,,,,
2531,,2.61,,,
2532,,,,,5.72
2533,15.85,,,,
2534,15.18,,,,
2535,,,,62.55,
2536,25.94,,,,
2537,,,36.06,,
2538,,,,32.55,
2539,,3.65,,,
2540,,,,,4.34
2541,,,,,4.36
2542,,,,15.28,
2543,,3.52,,,
2544,,,,40.79,
2545,,,,32.86,
2546,,2.81,,,
2547,21.38,,,,
2548,,4.07,,,
2549,,,50.67,,
2550,,3.75,,,
2551,,,,,6.59
2552,33.23,,,,
2553,,,,,7.18
2554,,,,,7.16
2555,,,32.81,,
2556,14.77,,,,
2557,19.8,,,,
2558,,,,22.26,
2559,,3.28,,,
2560,,3.71,,,
2561,28.01,,,,
2562,,,22.94,,
2563,,3.85,,,
2564,,4.23,,,
2565,,,37.62,,
2566,,,,34.54,
2567,,,,,5.45
2568,,,,,5.22
2569,,,,,5.49
2570,21.76,,,,
2571,,,,,5.71
2572,,3.5,,,
2573,,,,,5.58
2574,,3.45,,,
2575,,,,23.14,
2576,,,,22.46,
2577,,3.91,,,
2578,,3.76,,,
2579,,,,47.09,
2580,,,,59.23,
2581,,,,46.41,
2582,,3.44,,,
2583,20.45,,,,
2584,,,,26.7,
2585,,,20.08,,
2586,,2.94,,,
2587,,,,25.87,
2588,13.7,,,,
2589,,2.75,,,
