,S2_PM10,S2_PM25,S2_SO2,S2_CO,S2_03,OUT
129,102.6,44.07,5.29,1780.46,7.99,4
130,102.8,44.16,4.54,1530.98,10.54,4
131,90.4,30.97,4.37,1495.47,9.98,3
132,77.2,24.72,3.89,1358.17,12.25,3
133,57.4,26.01,4.17,1206.57,12.24,2
134,41.2,18.45,4.44,1320.08,8.1,2
135,36.9,12.89,4.4,1399.95,5.63,2
136,33.7,9.04,4.61,1722.35,5.05,2
137,42.9,7.32,5.31,1996.88,5.27,3
138,51.9,11.06,5.26,2436.46,5.62,3
139,64.2,17.22,4.77,2293.35,5.28,3
140,71.2,15.17,4.6,2416.1,6.0,3
141,72.4,18.64,3.68,2182.58,5.98,3
142,73.2,22.33,3.69,1986.32,5.81,3
143,53.5,13.08,2.81,1611.0,5.72,3
144,55.3,16.6,2.45,1302.43,5.89,3
145,56.4,18.9,2.97,1231.41,5.43,2
146,47.3,13.47,2.63,1125.51,5.74,2
147,49.6,13.16,2.51,1104.35,5.66,2
148,40.9,17.7,2.63,1114.94,5.88,2
149,34.6,15.67,3.13,1126.61,6.09,2
150,44.4,23.27,3.28,1110.06,7.51,3
151,53.3,29.56,3.81,1142.42,9.15,3
152,58.3,36.63,4.39,1311.2,9.2,3
153,60.0,38.79,4.72,1279.32,11.01,3
154,64.8,30.24,4.33,1157.19,12.48,3
155,58.1,26.08,4.45,1057.31,12.81,3
156,56.0,23.58,4.62,1102.58,10.5,3
157,50.7,19.84,5.14,1317.84,6.57,3
158,51.9,13.87,5.03,1702.5,5.77,3
159,63.8,13.15,5.74,2464.19,5.74,3
160,87.5,20.69,5.64,2207.01,5.53,4
161,105.1,22.49,5.01,2219.4,5.47,4
162,109.9,26.02,4.51,2268.24,5.78,4
163,118.8,32.53,4.09,2223.21,5.62,4
164,114.4,29.08,4.18,2264.85,5.82,4
165,104.6,33.44,3.96,2205.98,5.56,4
166,103.9,31.67,3.5,1860.96,5.79,4
167,96.0,29.01,3.27,1685.4,5.48,3
168,84.7,24.18,2.88,1468.4,6.03,3
169,86.9,41.76,5.53,1635.92,11.19,3
170,77.2,35.63,5.26,1520.92,11.0,3
171,73.2,36.54,5.03,1406.91,10.66,3
172,67.5,36.24,5.03,1585.86,7.93,3
173,57.9,28.3,4.87,1803.17,5.96,3
174,61.1,23.39,5.03,2332.3,5.64,3
175,69.0,18.51,4.6,2335.86,5.73,3
176,79.1,15.48,4.6,2268.43,5.6,3
177,87.0,21.49,5.16,2726.84,5.61,4
178,105.4,26.84,4.65,2096.42,6.46,4
179,92.9,25.27,3.49,1659.97,8.32,3
180,73.3,25.07,3.23,1347.06,7.74,3
181,63.6,21.22,2.76,1107.54,9.15,2
182,45.4,17.43,3.04,1029.9,6.8,2
183,40.0,20.0,2.33,925.68,8.13,2
184,38.8,18.11,2.78,1059.17,5.65,2
185,42.5,13.6,2.56,1163.73,5.62,2
186,47.1,14.41,3.12,1322.84,5.82,3
187,54.5,16.59,3.74,1425.22,5.77,3
188,66.6,26.11,3.99,1398.31,5.93,3
189,88.3,33.23,4.82,1736.13,6.36,3
190,89.4,39.34,4.99,1529.59,8.32,3
191,82.4,32.85,4.04,1260.51,10.05,3
192,67.5,27.68,4.1,1686.41,5.69,3
193,77.5,29.43,4.86,1786.18,5.9,3
194,78.3,29.87,4.12,1878.77,5.93,3
195,82.4,29.86,4.54,2114.4,5.63,3
196,80.7,24.87,4.08,2335.28,5.86,3
197,79.9,24.01,4.15,2046.49,5.7,3
198,79.7,28.63,3.47,1692.09,5.8,3
199,75.0,22.5,3.04,1521.12,5.67,3
200,61.1,21.96,2.54,1322.9,5.88,3
201,61.3,22.43,2.7,1222.32,6.04,3
202,52.0,17.07,2.33,1199.95,5.85,2
203,46.1,16.34,2.65,1291.82,5.7,3
204,53.1,13.23,3.45,1631.88,5.76,3
205,61.3,13.72,3.73,1639.32,6.03,3
206,69.9,27.05,4.12,1671.94,6.4,3
207,81.0,36.64,4.91,1636.26,7.68,3
208,88.1,39.91,4.77,1572.88,8.62,3
209,88.9,46.3,3.85,1457.34,9.54,3
210,69.4,38.96,4.06,1413.84,9.86,3
211,64.8,40.4,4.04,1305.01,11.45,3
212,64.5,30.92,4.05,1230.41,10.84,3
213,59.3,28.69,4.37,1255.91,8.6,3
214,57.6,20.64,4.83,1928.11,6.04,3
215,61.4,19.62,5.02,2498.84,5.85,3
