,S2_PM10,S2_PM25,S2_SO2,S2_CO,S2_03,OUT
556,92.3,16.47,7.4,3583.76,6.15,4
557,118.5,27.24,6.68,3504.98,5.59,4
558,118.4,27.58,6.93,3121.23,7.66,4
559,112.6,29.77,6.2,2633.97,10.64,3
560,85.4,28.9,5.6,1914.12,10.9,3
561,76.5,23.19,6.07,1828.94,12.92,3
562,84.4,22.8,6.01,1790.17,11.39,3
563,67.6,22.74,5.91,1680.52,13.51,3
564,65.6,15.94,6.35,1844.25,8.6,3
565,64.6,11.58,6.81,2356.06,7.43,3
566,77.9,11.01,8.41,2527.1,6.67,3
567,88.0,16.03,7.38,2662.84,7.07,4
568,96.4,18.23,6.66,2818.62,6.14,4
569,95.5,19.4,6.29,2889.52,5.64,4
570,105.9,24.33,6.22,2781.33,6.14,4
571,103.2,24.42,5.59,2598.64,5.47,2
572,32.4,6.96,4.15,1883.35,7.95,2
573,38.2,5.63,4.04,1877.92,7.69,2
574,35.3,10.32,4.37,2107.44,6.51,2
575,43.3,7.64,4.55,2456.17,5.79,2
576,49.5,9.74,4.38,2629.82,6.04,3
577,65.1,14.69,4.09,2340.05,5.85,3
578,55.4,10.74,3.91,2066.06,6.04,3
579,59.9,8.98,4.17,2053.3,6.16,3
580,51.9,9.72,4.14,1966.25,5.76,2
581,44.5,7.09,3.68,1819.12,6.1,2
582,41.6,7.73,3.65,1811.59,5.91,2
583,40.2,8.68,3.51,1859.83,5.64,2
584,38.2,6.43,3.98,1788.02,6.3,2
585,39.9,8.27,3.98,1793.25,6.81,2
586,47.6,12.32,4.6,1900.2,7.74,3
587,53.3,14.67,4.38,1729.73,12.21,2
588,45.0,15.17,4.27,1551.74,12.64,2
589,47.1,19.9,4.28,1464.02,12.95,2
590,42.4,12.58,4.59,1577.14,13.15,2
591,37.4,12.12,4.77,1562.14,12.87,1
592,22.3,7.85,3.62,996.85,15.21,2
593,28.5,8.01,3.68,1226.75,10.96,2
594,39.3,6.93,4.19,1526.55,4.01,3
595,63.9,24.31,4.27,1650.16,2.58,2
596,41.3,12.99,3.01,953.01,19.23,2
597,35.5,9.35,2.87,831.72,20.25,2
598,26.6,6.58,2.68,768.46,19.34,1
599,23.8,4.97,2.72,732.72,22.59,1
600,18.4,3.59,2.76,707.22,19.53,1
601,21.4,2.64,2.67,732.74,17.9,2
602,27.6,3.27,2.79,761.4,18.31,2
603,33.7,4.8,3.06,773.74,18.72,2
604,46.6,8.23,2.97,756.01,18.22,2
605,48.0,9.25,3.04,736.78,16.53,3
606,52.0,9.2,3.25,731.05,17.5,2
607,46.2,8.74,3.18,791.88,18.56,3
608,52.3,6.69,3.28,831.98,19.37,3
609,55.7,7.59,3.18,802.95,19.53,2
610,49.9,5.71,3.18,808.35,20.03,3
611,62.5,4.85,2.86,806.58,20.36,3
612,55.6,7.77,2.75,795.75,21.97,3
613,52.6,13.0,3.08,808.97,17.48,3
614,56.4,9.1,3.11,765.54,16.26,2
615,28.2,4.93,2.73,887.03,15.61,2
616,27.0,3.56,2.83,873.03,15.03,2
617,42.0,6.97,3.4,1081.21,8.88,2
618,42.1,10.16,2.95,1031.02,11.37,2
619,41.4,6.95,2.59,953.15,9.04,2
620,31.9,4.91,3.06,1081.38,3.11,2
621,49.0,9.56,2.77,1088.04,3.05,2
622,43.8,6.69,2.7,1003.82,7.23,2
623,37.8,2.61,2.41,709.65,15.3,2
624,29.5,2.15,2.49,688.45,15.06,1
625,23.5,2.19,2.36,707.34,11.36,2
626,33.8,4.16,2.52,875.84,5.0,2
627,33.6,4.23,3.1,1242.9,2.99,2
628,43.5,12.7,3.3,1301.92,6.64,3
629,54.3,18.29,3.13,1152.36,11.85,3
630,66.8,34.85,3.23,960.29,21.73,3
631,62.9,34.31,3.58,937.69,24.24,3
632,62.9,37.63,3.61,927.08,23.33,3
633,71.9,24.2,3.73,1023.39,14.31,3
634,61.8,25.6,3.67,1006.05,16.56,3
635,54.8,20.03,4.13,1118.47,12.93,2
636,42.0,10.96,3.28,967.07,13.18,2
637,39.4,7.67,3.28,1012.5,8.62,2
638,48.9,5.66,3.09,1240.88,2.21,2
639,45.3,6.98,3.5,1385.52,2.37,3
640,51.0,7.3,2.9,1113.93,2.19,2
641,46.9,13.88,2.75,1119.13,2.04,3
642,54.1,10.38,2.81,1132.68,1.59,2
643,44.9,14.14,2.88,1166.94,1.78,2
644,46.9,11.34,2.91,1259.83,2.03,2
645,48.2,17.43,3.31,1344.14,5.62,3
646,54.4,24.95,3.31,1175.68,9.78,2
647,48.8,24.64,3.1,976.85,21.58,2
648,42.3,24.47,3.11,879.01,18.66,2
649,31.9,17.96,3.06,828.46,17.17,2
650,34.3,12.79,3.16,885.78,15.18,2
651,47.3,10.02,3.15,1014.04,16.59,2
652,39.8,9.04,2.89,938.22,15.96,2
653,31.8,6.6,2.98,835.62,17.45,2
654,26.8,4.63,2.89,930.27,11.45,1
655,20.6,3.53,2.85,977.55,7.92,1
656,21.4,5.0,2.93,973.62,3.79,1
657,19.9,4.64,2.91,976.73,4.03,1
658,20.4,6.77,2.88,955.74,4.17,1
659,15.8,7.7,2.68,931.66,4.04,1
660,16.0,5.39,2.64,843.14,6.45,1
661,12.3,3.83,2.79,769.37,8.11,1
662,13.9,3.17,2.64,761.69,5.8,1
663,10.0,2.22,2.64,731.67,5.48,1
664,7.0,1.55,2.53,681.02,7.55,1
665,5.3,1.09,2.69,604.2,8.93,1
666,5.0,0.82,2.3,748.76,5.46,1
667,5.4,1.1,2.99,832.07,5.64,1
668,18.5,5.55,2.78,824.68,4.38,2
669,27.0,14.43,3.39,880.67,7.46,2
670,38.3,17.22,3.34,994.66,5.7,2
671,43.7,19.03,3.31,1000.04,10.83,2
672,42.9,20.14,3.51,968.55,14.2,2
673,49.6,20.91,3.9,895.93,15.97,2
674,39.7,14.64,3.37,995.37,5.23,2
675,33.7,10.27,3.46,981.18,10.56,1
676,24.8,8.05,3.47,1053.43,7.27,2
677,26.1,11.32,3.41,1093.56,3.23,2
678,25.8,8.16,3.29,1143.58,3.75,2
679,27.7,6.85,3.33,1244.86,3.61,1
680,17.4,4.42,3.02,1119.44,2.15,2
681,27.1,3.65,2.87,982.48,9.51,1
682,12.0,0.87,2.76,838.64,11.85,1
683,13.8,3.4,2.86,675.29,16.29,1
684,18.2,2.07,3.3,730.16,15.43,1
685,21.0,1.52,2.99,669.17,17.46,1
686,10.5,1.17,2.97,756.95,11.63,1
687,14.5,0.82,3.19,786.18,9.71,1
688,11.3,0.57,3.18,783.58,8.05,1
689,13.4,0.4,2.93,737.59,9.82,1
690,14.4,0.41,3.01,733.24,10.21,1
691,13.9,1.43,2.6,693.94,10.22,1
692,18.2,1.33,2.68,624.38,14.7,1
693,18.4,11.24,2.72,966.73,2.67,2
694,36.4,5.92,3.54,1445.18,2.47,2
695,49.4,16.68,3.65,1187.07,12.79,2
696,47.8,23.94,3.63,986.64,18.28,2
697,42.9,15.23,4.24,717.98,24.72,2
698,35.3,10.7,5.07,765.83,18.48,2
699,34.1,4.31,4.25,787.05,10.97,2
700,30.3,8.73,3.87,868.88,5.45,2
701,26.6,9.08,3.7,941.63,4.71,2
702,33.6,6.57,3.14,911.6,5.09,2
703,30.9,4.6,3.19,998.67,2.13,2
704,29.0,3.64,3.36,1244.13,1.37,2
705,48.1,6.28,3.33,1191.13,2.03,2
706,46.2,6.5,3.27,1118.95,2.29,2
707,34.3,7.23,2.7,1043.52,1.74,2
708,39.0,10.45,3.08,1066.23,2.19,2
709,30.5,7.59,3.55,1277.91,2.48,2
710,49.1,9.05,3.37,1346.33,3.57,3
711,58.9,31.56,4.08,1309.52,9.22,3
712,46.3,34.03,4.47,890.35,21.17,1
713,23.5,14.09,5.27,846.75,19.83,2
714,28.6,10.37,5.03,918.97,13.2,4
715,96.1,35.33,5.1,1224.88,10.65,4
716,97.6,37.16,4.92,1068.57,13.4,3
717,85.2,35.22,5.08,1077.32,7.37,3
718,83.2,36.27,5.03,1091.49,7.6,3
719,60.3,15.41,4.35,885.46,10.61,3
720,56.0,10.79,3.83,752.37,12.63,2
721,43.7,7.55,3.84,909.3,3.7,2
722,47.0,5.29,4.07,1088.03,2.29,3
723,58.8,5.04,4.36,1257.89,2.09,3
724,55.0,15.1,4.22,1280.59,2.4,3
725,57.1,21.93,3.97,1224.82,2.09,3
726,60.5,21.36,3.52,1057.81,1.64,2
727,49.6,15.34,3.45,1038.9,3.11,2
728,40.5,9.09,3.69,754.24,11.79,2
729,38.5,6.82,3.32,909.26,8.96,2
730,34.2,5.58,3.46,1098.38,6.78,2
731,34.2,9.96,3.48,1042.66,2.93,2
732,28.4,9.35,3.41,1076.62,2.37,2
733,34.1,10.9,3.46,1172.41,2.22,3
734,52.6,18.61,3.47,1148.86,2.23,3
735,50.9,13.43,3.17,955.47,3.41,2
736,33.2,9.94,3.06,693.38,4.41,2
737,25.7,12.76,3.06,664.79,5.81,2
738,38.0,19.96,3.91,1051.1,3.18,2
739,41.6,14.84,3.81,1037.27,5.82,2
740,45.4,16.12,3.94,968.24,7.24,2
741,47.9,16.23,3.82,771.5,14.92,2
742,39.2,15.55,4.11,792.49,11.01,3
743,51.2,11.7,4.44,757.28,14.99,3
744,57.4,13.83,4.27,733.48,19.16,3
745,59.6,16.57,5.01,812.01,16.19,3
746,56.6,14.42,5.12,911.38,15.6,3
747,56.2,21.08,5.04,1034.98,14.85,2
748,47.6,15.94,4.72,1112.49,2.69,2
749,45.5,20.13,4.47,1166.08,4.11,3
750,52.5,28.11,3.24,895.66,1.82,3
751,61.1,29.92,3.28,929.26,2.1,3
752,51.6,34.05,3.47,928.54,4.96,3
753,56.1,31.01,3.34,827.82,13.96,3
754,60.3,22.46,3.89,783.8,18.79,3
755,62.6,22.87,3.67,685.98,30.24,3
756,50.8,22.71,4.13,504.33,29.37,2
757,37.0,16.59,4.32,483.52,28.67,2
758,33.0,13.06,4.66,465.97,28.8,2
759,35.0,15.54,5.47,554.12,24.87,2
760,31.2,15.02,5.61,608.95,26.94,2
761,29.4,12.91,5.62,734.99,19.92,1
762,22.8,9.25,5.47,726.14,17.57,2
763,46.9,10.13,5.1,1371.61,4.12,3
764,70.4,20.21,4.49,1231.49,4.56,3
765,62.6,21.53,3.68,836.15,7.4,1
766,24.9,12.12,3.26,739.7,9.18,1
767,19.0,5.95,2.91,561.84,5.73,1
768,14.3,4.87,3.02,720.92,3.1,1
769,20.1,10.08,3.16,877.85,5.31,2
770,29.1,17.55,3.06,777.78,17.08,2
771,22.3,24.79,3.15,646.73,20.01,2
772,27.0,22.09,3.58,561.33,23.59,2
773,19.6,15.71,4.04,500.05,25.3,1
774,16.7,3.55,3.24,575.19,20.18,1
775,12.0,0.48,2.65,656.17,9.86,1
776,9.9,0.34,2.36,728.49,9.47,1
777,12.0,0.24,2.5,582.42,10.89,1
778,13.5,0.12,2.57,511.96,12.65,1
779,21.7,0.06,2.64,322.19,18.33,1
780,15.6,0.04,3.09,294.78,16.09,1
781,12.3,0.03,2.37,239.93,17.44,1
782,13.5,0.09,2.76,281.96,12.41,1
783,10.9,0.48,3.16,503.78,7.92,1
784,14.9,0.61,3.03,665.78,8.09,1
785,18.5,2.47,3.03,747.55,10.24,1
786,15.3,4.71,3.32,695.95,12.47,2
787,27.7,8.95,3.02,451.3,16.48,1
788,23.1,7.2,3.3,497.48,16.06,1
789,19.8,8.16,2.69,512.34,14.62,1
790,23.0,6.25,3.44,681.02,12.23,2
791,26.6,7.55,2.98,886.69,9.37,2
792,28.6,6.2,3.22,707.24,11.66,2
793,27.3,4.34,2.92,808.26,9.97,1
794,24.8,3.49,2.86,718.25,11.18,2
795,26.4,4.99,3.18,758.58,9.12,1
796,22.7,3.5,2.29,715.96,11.5,1
797,21.4,2.45,2.93,632.42,12.08,1
798,23.7,1.71,2.5,620.6,14.21,1
799,22.3,1.2,2.65,555.42,15.37,1
800,16.1,0.84,2.68,479.79,18.1,1
801,14.4,0.59,2.53,445.82,15.56,1
802,16.1,0.41,2.35,402.24,15.0,1
803,12.9,0.37,2.8,452.47,11.45,1
804,11.8,0.74,3.16,714.12,7.34,1
805,15.2,0.52,3.26,870.42,9.82,1
806,20.2,1.27,3.6,792.76,14.43,2
807,31.1,7.03,3.73,655.42,16.79,1
808,15.8,7.92,12.06,672.71,8.51,1
809,16.6,6.59,11.71,738.4,4.64,1
810,18.1,4.61,11.71,741.33,2.35,1
811,20.2,5.3,11.33,771.44,4.46,1
812,23.7,6.97,11.14,737.8,3.36,2
813,25.9,4.55,11.35,716.51,6.59,2
814,26.8,4.78,11.6,562.38,7.62,1
815,19.9,3.64,11.12,495.24,6.74,1
816,17.1,3.73,11.14,517.07,4.82,1
817,19.1,6.83,10.65,533.7,1.74,1
818,20.2,8.75,10.83,474.76,4.41,2
819,27.9,14.19,11.5,671.57,5.57,2
820,31.8,20.36,11.57,530.78,14.63,2
821,30.8,14.96,11.64,462.08,16.39,2
822,25.2,12.57,12.17,489.72,17.62,1
823,24.4,10.18,12.08,550.16,16.7,2
824,26.3,8.75,12.19,621.54,13.48,2
825,27.4,7.22,11.91,965.48,7.44,2
826,27.7,6.65,11.99,842.89,4.11,1
827,23.3,7.11,12.1,761.41,4.35,1
828,23.9,8.74,11.86,729.08,10.48,1
829,19.4,7.4,11.96,651.19,11.01,1
830,21.2,7.05,11.68,652.38,8.95,2
831,27.5,4.82,10.61,1236.23,12.46,1
832,16.8,5.29,10.66,717.4,13.72,2
833,26.0,7.15,10.68,847.65,13.67,2
834,25.5,11.18,11.05,916.82,16.52,1
835,22.2,11.84,11.41,905.48,16.42,1
836,21.7,11.55,11.18,876.31,18.9,1
837,20.2,13.14,10.98,800.5,18.39,1
838,23.7,7.73,11.1,785.47,19.55,1
839,18.9,6.01,11.39,808.26,20.41,1
840,20.0,6.31,11.15,890.3,18.49,1
841,22.6,7.54,11.29,1045.36,16.19,1
842,20.4,5.36,11.37,1066.92,13.94,1
843,20.1,3.74,11.68,1097.05,8.41,2
844,26.8,4.32,11.32,1104.86,8.23,2
845,30.0,6.99,11.02,1073.77,9.16,2
846,29.0,7.7,10.64,940.61,23.33,1
847,23.3,1.26,10.58,1141.27,7.84,1
848,20.2,2.8,10.49,1048.09,8.08,1
849,15.1,4.76,10.3,901.14,12.85,1
850,12.9,4.03,10.21,865.26,11.62,1
851,14.7,3.74,10.25,858.04,9.92,1
852,20.5,4.22,10.14,880.02,7.53,1
853,21.8,5.2,10.48,1061.15,7.73,1
854,22.3,6.47,10.53,981.28,11.89,1
855,22.5,10.68,10.61,916.45,15.1,1
856,22.9,11.97,10.57,769.6,19.82,2
857,26.1,11.97,10.83,772.54,22.14,1
858,19.5,11.97,11.31,766.25,22.49,1
859,16.7,11.97,11.51,714.56,28.01,1
860,19.0,11.97,11.74,677.9,31.92,1
861,20.1,11.97,11.96,645.83,32.24,1
862,11.4,0.0,10.82,876.58,19.2,1
863,11.7,0.47,11.16,947.25,12.86,1
864,14.4,1.81,11.33,1102.49,12.1,1
865,16.5,1.93,11.01,1220.98,11.46,2
866,31.0,3.01,11.03,1086.23,12.75,1
867,24.5,4.02,10.68,1032.79,13.9,1
868,20.3,2.99,10.58,956.24,16.07,1
869,20.9,2.22,10.72,857.0,18.28,1
870,17.2,2.85,10.35,717.82,21.61,1
871,17.5,4.81,10.31,638.07,22.24,1
872,14.3,3.42,10.17,558.84,23.05,1
873,16.9,4.34,10.12,495.38,23.95,1
874,12.6,8.71,9.82,458.01,22.81,1
875,9.6,6.09,10.03,433.64,22.14,1
876,8.9,4.27,10.05,461.23,21.72,1
877,14.2,3.59,10.23,669.0,14.07,1
878,21.8,4.71,10.21,909.65,13.14,1
879,24.5,4.35,10.4,904.8,15.38,2
880,26.8,4.62,10.35,894.98,21.07,2
881,25.0,6.49,10.52,698.88,26.44,1
882,24.0,11.65,11.24,851.33,18.96,1
883,24.6,8.29,11.51,921.58,15.04,1
884,23.2,6.37,10.89,889.01,20.96,1
885,19.0,6.34,10.41,744.09,24.34,1
886,18.9,4.75,10.46,733.92,20.55,1
887,16.7,3.33,10.53,791.97,12.62,1
888,21.0,3.8,10.39,783.77,15.93,1
889,20.8,7.5,10.13,689.05,19.07,1
890,20.5,5.41,10.1,638.91,21.8,1
891,17.4,3.8,10.02,541.89,25.26,1
892,17.4,2.65,9.98,455.73,25.18,1
893,15.4,3.22,10.0,395.2,26.93,1
894,11.7,6.64,9.88,393.53,26.17,1
895,10.8,5.7,10.02,462.74,19.61,1
896,11.1,7.05,10.31,617.78,14.8,1
897,16.3,4.94,10.42,770.47,15.54,1
898,13.5,5.08,10.48,782.31,18.4,1
899,12.1,11.92,10.51,709.72,22.66,1
900,12.4,12.19,10.72,680.25,22.56,1
901,15.5,8.69,11.21,661.69,23.32,1
902,13.4,6.11,11.4,655.44,21.93,1
903,24.8,8.39,11.9,700.45,17.8,1
904,23.7,8.5,11.76,870.05,15.65,2
905,25.0,5.95,11.86,895.88,15.45,1
906,20.0,4.16,11.46,907.31,15.06,1
907,20.6,4.23,11.08,874.21,12.55,1
908,21.2,7.29,11.03,818.9,14.06,1
909,17.7,5.89,10.88,785.71,14.66,1
910,22.4,4.12,10.72,803.56,11.98,1
911,23.4,2.89,10.37,722.04,13.43,1
912,18.1,2.02,10.25,668.07,16.89,1
913,17.3,1.42,10.33,600.22,20.2,1
914,18.8,1.1,10.34,551.12,24.08,1
915,17.5,1.12,10.4,490.11,23.67,1
916,14.0,0.79,10.3,422.15,21.91,1
917,15.7,0.55,10.09,441.09,18.75,1
918,13.7,0.39,10.32,573.93,13.9,1
919,15.6,0.35,10.45,768.77,14.06,1
920,19.4,1.67,10.65,817.09,16.69,2
921,25.0,4.86,10.63,770.02,19.05,2
922,29.8,5.51,10.91,714.79,19.16,1
923,18.0,5.44,13.07,1136.32,11.61,1
924,18.8,4.48,12.52,1143.65,7.54,2
925,25.4,5.27,12.04,981.04,8.86,2
926,28.0,3.86,12.31,1225.07,7.13,2
927,36.7,4.03,12.37,1537.92,6.42,2
928,46.5,9.49,11.9,1722.58,6.85,3
929,58.6,15.9,11.98,1787.33,6.87,3
930,62.3,17.78,11.5,1646.89,6.8,3
931,50.4,16.62,11.44,1617.86,6.22,2
932,45.6,12.68,11.27,1420.33,6.93,2
933,39.3,9.25,11.17,1268.24,7.0,2
934,39.6,9.06,10.95,1257.49,7.33,2
935,38.4,11.5,11.25,1248.95,7.19,2
936,45.5,13.22,10.97,1097.47,10.98,2
937,49.1,19.38,11.07,1136.57,12.95,2
938,46.3,20.8,11.23,915.84,21.52,2
939,43.0,18.83,11.52,733.95,28.47,2
940,37.8,17.2,12.11,619.53,32.13,2
941,29.7,12.72,12.71,567.27,33.33,1
942,22.1,9.98,13.18,561.73,34.82,1
943,18.3,7.13,13.81,560.87,34.83,1
944,16.3,7.77,14.39,544.52,32.68,1
945,15.4,12.9,14.34,602.95,30.44,1
946,18.4,9.03,14.22,836.66,24.06,3
947,50.7,2.1,12.01,822.74,25.65,2
948,40.8,2.1,12.53,670.5,21.59,2
949,48.6,2.1,12.3,583.08,22.32,2
950,48.8,2.1,11.8,579.52,19.62,2
951,44.6,2.1,11.7,646.34,15.76,2
952,38.6,2.1,12.39,855.3,7.95,2
953,35.1,2.1,12.65,1405.23,7.05,2
954,48.7,2.1,12.6,1324.95,7.6,3
955,59.0,2.1,12.76,1431.54,7.04,3
956,68.0,2.1,12.25,1490.62,7.34,3
957,63.3,2.1,11.94,1403.48,7.55,3
958,58.7,2.1,12.18,1415.27,8.55,3
959,62.3,2.1,11.95,1265.92,6.63,3
960,63.4,2.1,11.39,863.26,16.16,2
961,43.0,2.1,11.25,814.3,10.23,2
962,37.1,2.1,11.37,870.24,7.41,2
963,43.9,1.72,11.58,874.23,7.04,2
964,48.5,1.56,11.9,1188.62,7.44,2
965,47.6,1.56,12.26,1348.74,7.48,3
966,52.2,1.56,12.0,1046.05,16.4,1
967,5.2,0.09,9.96,271.09,31.83,1
968,14.9,0.17,11.59,355.8,25.71,1
969,24.0,0.37,11.82,379.13,26.56,2
970,31.7,0.57,12.62,448.66,19.1,2
971,32.8,0.68,12.28,432.56,24.13,2
972,35.2,0.99,12.07,499.02,19.63,2
973,38.7,0.91,12.01,567.66,15.42,2
974,37.9,0.64,11.45,623.97,10.54,2
975,38.5,0.6,11.39,818.89,7.23,2
976,35.0,0.61,11.43,926.01,8.02,2
977,31.8,1.11,11.46,1169.65,7.63,2
978,32.3,2.85,11.5,1205.86,7.49,2
979,34.4,3.73,11.32,1218.59,7.32,2
980,36.6,4.93,11.16,1088.98,9.28,2
981,30.6,9.15,10.98,820.79,7.81,2
982,27.6,6.56,10.78,844.86,7.78,2
983,29.9,6.4,10.82,890.98,6.99,2
984,32.4,6.5,10.82,794.32,8.13,2
985,33.8,4.55,11.09,925.2,7.93,2
986,37.8,6.17,10.97,910.82,9.81,2
987,34.5,7.98,11.2,717.58,16.27,2
988,35.3,11.14,11.2,626.08,21.27,2
989,39.4,14.9,11.57,591.47,22.75,2
990,39.2,10.64,12.12,598.5,24.27,2
991,42.6,7.65,12.52,595.11,27.61,2
992,43.8,5.65,13.04,581.21,24.89,2
993,38.2,5.07,13.28,574.1,26.88,2
994,41.2,6.15,13.16,565.55,22.71,2
995,44.4,5.93,12.91,673.76,23.3,2
996,37.5,4.29,12.54,742.07,21.37,2
997,36.2,3.77,12.11,739.35,21.78,2
998,39.3,3.49,12.08,828.02,12.62,2
999,39.0,2.46,11.86,884.15,9.49,2
1000,42.1,1.72,11.82,809.0,14.97,2
1001,41.0,3.62,11.09,741.73,13.2,2
1002,37.6,5.6,10.95,615.69,20.24,2
1003,32.5,3.93,10.96,505.62,24.13,2
1004,27.6,2.75,10.78,484.4,21.2,2
1005,27.9,2.35,10.66,460.14,13.29,2
1006,26.0,2.22,10.82,423.94,15.44,1
1007,24.4,3.07,10.71,328.87,23.28,1
1008,21.2,4.67,10.68,332.03,15.66,1
1009,22.9,6.18,10.99,400.22,14.72,2
1010,29.4,9.31,10.83,458.37,14.98,2
1011,28.6,10.36,11.27,487.06,19.21,2
1012,32.4,11.74,11.6,515.89,18.96,2
1013,34.0,17.42,11.51,489.08,21.49,2
1014,27.9,20.31,11.67,542.54,23.45,2
1015,25.1,16.96,11.55,523.78,25.87,2
1016,26.2,13.73,11.64,533.02,25.24,1
1017,24.8,13.25,11.46,516.58,26.77,1
1018,21.2,12.82,11.56,432.58,27.74,1
1019,19.6,10.93,11.86,433.74,27.52,1
1020,15.6,9.62,11.94,480.35,21.34,1
1021,16.6,6.71,11.65,428.73,20.9,1
1022,16.3,4.7,11.42,392.8,23.38,1
1023,12.6,3.29,11.21,391.91,19.97,1
1024,13.5,3.25,11.2,469.85,15.73,1
1025,18.1,4.14,10.87,509.46,11.39,1
1026,17.8,5.0,10.46,491.62,12.55,1
1027,15.0,5.27,10.68,442.02,15.25,1
1028,18.5,4.43,10.6,375.55,20.71,1
1029,19.4,3.88,10.78,330.38,18.72,1
1030,18.0,2.72,10.51,264.01,23.86,1
1031,19.5,1.9,10.35,247.7,19.67,1
1032,17.7,1.33,10.26,243.87,23.85,1
1033,17.9,2.05,10.23,226.91,24.67,1
1034,17.4,3.13,10.16,200.12,25.8,1
1035,15.1,5.26,10.31,182.66,28.06,1
1036,13.5,8.89,10.44,167.95,24.76,1
1037,12.4,11.47,10.76,165.34,25.98,1
1038,9.2,10.5,10.92,174.86,27.3,1
1039,7.9,8.86,11.31,207.83,27.08,1
1040,8.4,6.37,11.45,240.98,27.91,1
1041,8.3,5.31,11.59,258.33,26.29,1
1042,7.8,4.76,12.36,298.93,25.87,1
1043,7.5,3.35,12.45,271.3,23.77,1
1044,5.5,2.35,11.88,285.12,24.41,1
1045,6.4,1.64,11.22,354.8,18.91,1
1046,7.8,2.99,11.38,369.26,19.25,1
1047,9.6,4.49,10.88,381.64,19.68,1
1048,15.4,3.15,11.02,378.18,23.12,1
1049,16.6,2.2,10.49,303.23,25.25,1
1050,13.0,1.54,10.82,333.38,16.99,1
1051,12.4,2.68,10.55,299.08,23.1,1
1052,11.5,3.92,10.29,268.0,24.25,1
1053,13.8,2.75,10.46,251.45,25.6,1
1054,17.4,2.93,10.58,228.7,24.04,1
1055,12.8,3.97,10.34,247.82,23.75,1
1056,14.8,4.17,10.31,233.37,23.55,1
1057,18.5,4.55,10.4,195.91,29.8,1
1058,14.4,4.96,10.59,169.76,31.84,1
1059,12.9,6.94,10.83,160.33,31.74,1
1060,12.4,10.2,10.97,125.81,33.97,1
1061,9.6,10.0,11.3,130.42,33.38,1
1062,9.1,8.16,11.39,131.44,34.76,1
1063,8.8,6.5,11.92,172.19,35.35,1
1064,6.8,5.3,12.22,207.91,34.42,1
1065,8.0,6.74,12.35,243.93,32.29,1
1066,12.7,8.62,12.19,245.1,35.0,1
1067,15.5,7.86,12.18,269.62,30.2,1
1068,15.7,5.79,12.17,385.18,17.89,1
1069,19.2,4.05,11.85,429.48,10.23,2
1070,26.8,4.39,12.09,524.35,11.61,2
1071,29.2,7.69,12.02,601.6,10.42,2
1072,29.1,9.92,11.2,505.68,15.92,2
1073,29.2,7.18,11.45,607.72,8.65,2
1074,29.9,8.06,11.53,718.81,9.49,2
1075,28.9,9.14,11.12,597.17,11.74,2
1076,26.7,7.33,10.88,516.78,15.37,2
1077,28.8,6.51,10.62,462.31,16.74,2
1078,25.0,5.25,10.87,407.42,17.79,2
1079,25.7,4.48,10.97,379.06,21.21,2
1080,26.4,4.81,10.88,326.96,22.28,1
1081,21.6,6.86,11.05,285.83,21.03,2
1082,25.6,10.31,11.14,319.69,22.78,2
1083,25.7,7.38,11.29,321.84,17.46,1
1084,24.3,5.19,10.56,336.66,17.91,1
1085,24.8,4.58,10.58,329.19,23.13,1
1086,22.6,7.14,10.74,317.77,25.26,1
1087,20.3,11.16,11.26,372.72,24.47,1
1088,21.7,11.17,11.47,418.65,23.33,1
1089,22.1,8.38,11.39,458.18,20.94,1
1090,23.5,6.59,11.18,468.66,16.47,1
1091,20.9,4.61,10.91,535.87,13.1,1
1092,15.5,3.23,10.95,569.19,14.41,1
1093,12.8,2.26,10.92,558.97,18.76,1
1094,11.7,1.58,10.47,524.54,16.48,1
1095,12.3,1.15,10.59,562.96,8.41,1
1096,16.2,0.96,10.65,552.92,9.59,1
1097,16.4,0.9,10.53,466.39,14.29,1
1098,13.5,1.91,10.58,409.35,16.79,1
1099,9.5,2.99,10.53,334.41,17.53,1
1100,10.5,2.57,10.34,306.96,15.82,1
1101,12.8,2.12,10.52,317.51,14.94,1
1102,15.0,3.07,10.67,424.13,14.93,1
1103,21.5,4.57,11.1,570.73,13.84,2
1104,27.4,5.4,10.94,571.91,20.7,2
1105,27.8,7.67,11.0,506.72,22.44,2
1106,25.7,11.45,11.4,415.31,26.63,2
1107,27.2,13.23,11.45,339.19,29.21,1
1108,21.0,9.91,10.32,214.64,28.64,1
1109,21.2,7.34,11.24,255.92,24.34,2
1110,26.7,7.88,11.75,277.22,27.27,2
1111,25.2,9.16,12.57,309.17,24.42,1
1112,21.7,6.6,12.67,422.26,21.3,2
1113,25.3,7.52,12.29,452.56,21.25,2
1114,29.7,8.98,12.21,529.64,16.85,1
1115,24.0,6.28,12.2,721.55,10.03,1
1116,19.3,5.59,11.8,943.1,7.08,1
1117,21.7,6.74,11.92,1006.45,7.06,2
1118,29.7,9.1,11.93,1152.64,7.95,2
1119,34.8,9.85,11.28,978.16,8.26,2
1120,33.9,7.57,11.2,774.5,11.86,2
1121,33.0,6.99,10.97,699.89,8.57,2
1122,31.1,8.55,10.94,660.31,7.85,2
1123,29.8,9.56,10.64,533.53,9.54,2
1124,27.4,7.25,10.69,483.53,8.69,1
1125,23.1,5.39,10.94,541.79,7.7,1
