,S1_PM10,S1_PM25,S1_SO2,S1_NO2,S1_NOX,S1_NO
1071,,,,46.04,,
1072,23.77,,,,,
1073,,,,86.06,,
1074,28.38,,,,,
1075,23.5,,,,,
1076,,13.08,,,,
1077,,,,32.98,,
1078,16.71,,,,,
1079,,,4.8,,,
1080,,,5.3,,,
1081,21.53,,,,,
1082,22.95,,,,,
1083,30.79,,,,,
1084,,,6.22,,,
1085,,12.9,,,,
1086,13.41,,,,,
1087,,17.4,,,,
1088,20.66,,,,,
1089,,,,23.84,,
1090,,,,23.14,,
1091,7.46,,,,,
1092,6.37,,,,,
1093,,,,,40.7,
1094,,5.11,,,,
1095,8.44,,,,,
1096,,,3.77,,,
1097,,15.1,,,,
1098,,,,45.92,,
1099,10.91,,,,,
1100,,11.82,,,,
1101,,,,,,6.37
1102,,,,,35.57,
1103,,,,27.21,,
1104,,,,55.54,,
1105,,,,,101.18,
1106,,,6.23,,,
1107,,,5.69,,,
1108,,,4.92,,,
1109,,,,,,7.71
1110,,,4.07,,,
1111,22.44,,,,,
1112,15.43,,,,,
1113,,,,,27.0,
1114,,6.37,,,,
1115,,,,,32.26,
1116,18.68,,,,,
1117,27.7,,,,,
1118,,5.18,,,,
1119,,,3.7,,,
1120,,,,122.87,,
1121,,,,,,30.74
1122,58.97,,,,,
1123,,,,101.07,,
1124,71.48,,,,,
1125,,,,47.16,,
1126,,,5.44,,,
1127,,,3.69,,,
1128,,18.34,,,,
1129,,,,,,7.83
1130,,,,,23.46,
1131,,,,16.99,,
1132,,3.7,,,,
1133,,,,,34.84,
1134,,,,26.7,,
1135,,,,31.11,,
1136,16.16,,,,,
1137,13.06,,,,,
1138,,,3.22,,,
1139,,,,32.67,,
1140,,,,,,5.31
1141,,,,,58.77,
1142,,,,,,6.38
1143,,,,,42.52,
1144,17.03,,,,,
1145,,3.49,,,,
1146,14.06,,,,,
1147,,,,,,5.34
1148,,,,,50.7,
1149,,18.94,,,,
1150,,,,,,13.0
1151,,15.34,,,,
1152,,,,16.5,,
1153,,,,,30.79,
1154,,,,,,7.55
1155,,,3.53,,,
1156,,,,,,7.24
1157,,,,,62.87,
1158,,,3.68,,,
1159,59.0,12.68,4.29,122.32,190.66,68.34
1160,,,3.83,,,
1161,,,,,104.19,
1162,,,,,,16.65
1163,54.6,,,,,
1164,,37.51,,,,
1165,,,2.16,,,
1166,21.45,,,,,
1167,,,,38.36,,
1168,,8.14,,,,
1169,,,2.38,,,
1170,31.21,,,,,
1171,,,,,,6.48
1172,,,,22.07,,
1173,,,,33.99,,
1174,,,,,,8.22
1175,39.72,,,,,
1176,,9.63,,,,
1177,,9.14,,,,
1178,,,,,66.94,
1179,,,,,27.45,
1180,,,1.81,,,
1181,,,,27.89,,
1182,23.78,,,,,
1183,,,,,,4.81
1184,19.44,,,,,
1185,16.66,,,,,
1186,,,,,86.31,
1187,21.16,,,,,
1188,,23.1,,,,
1189,,,,,117.91,
1190,32.0,,,,,
1191,,14.86,,,,
1192,,,2.31,,,
1193,,8.42,,,,
1194,,7.22,,,,
1195,,,,,,7.81
1196,,,,14.91,,
1197,,,,15.5,,
1198,,,,,,8.44
1199,,14.4,,,,
1200,,,,,38.15,
1201,,,,,66.49,
1202,43.88,,,,,
1203,,16.31,,,,
1204,,,,,75.92,
1205,,,,,,7.09
1206,,,1.75,,,
1207,,8.11,,,,
1208,44.8,,,,,
1209,,8.9,,,,
1210,,,,,23.27,
1211,44.88,,,,,
1212,28.01,,,,,
1213,,,,,,8.63
1214,,,1.92,,,
1215,,,2.33,,,
1216,,14.15,,,,
1217,,,,44.4,,
1218,,6.57,,,,
1219,,,2.54,,,
1220,,,2.55,,,
1221,,,,,,6.11
1222,29.04,,,,,
1223,,,3.27,,,
1224,,,2.96,,,
1225,,,3.05,,,
1226,,,,,202.72,
1227,,,,100.13,,
1228,,,,105.63,,
1229,,,,,,27.42
