,S1_PM10,S1_PM25,S1_SO2,S1_NO2,S1_NOX,S1_NO
121,9.87,49.69,11.23,192.04,421.37,229.33
122,93.66,40.7,16.69,89.85,145.52,55.67
123,93.31,41.48,16.79,83.02,127.8,44.78
124,72.83,29.6,12.57,65.99,92.44,26.45
125,54.33,22.26,10.51,75.51,117.7,42.19
126,46.09,14.08,11.46,96.75,178.64,81.89
127,55.37,13.65,12.04,111.17,221.91,110.74
128,65.0,11.02,13.87,124.72,259.49,134.77
129,55.18,24.68,24.38,132.99,272.38,139.39
130,83.75,62.81,39.08,140.51,258.27,117.76
131,22.34,75.53,23.31,146.2,252.93,106.73
132,21.84,61.12,18.39,119.63,187.85,68.22
133,82.28,37.53,16.1,75.5,129.34,53.84
134,62.2,19.97,10.97,82.22,111.13,28.91
135,68.89,11.65,7.5,48.31,63.14,14.83
136,61.82,7.28,7.26,31.6,36.13,4.53
137,46.17,5.22,9.65,90.33,108.97,18.64
138,44.83,5.24,11.54,115.57,168.29,52.72
139,87.34,4.64,11.3,150.92,268.35,117.43
140,82.51,5.33,11.44,197.91,406.27,208.36
141,77.81,17.87,11.46,251.12,559.9,308.78
142,3.88,39.64,11.79,194.06,410.91,216.85
143,5.13,31.95,10.54,75.82,108.82,33.0
144,69.93,32.6,12.21,92.84,150.15,57.31
145,65.64,26.52,11.27,89.13,141.39,52.26
146,48.92,35.41,9.72,76.16,110.83,34.67
147,61.7,20.31,9.09,67.42,93.57,26.15
148,47.34,12.85,9.38,75.49,113.74,38.25
149,41.64,18.51,8.55,95.22,170.89,75.67
150,52.06,26.54,8.84,108.69,206.36,97.67
151,41.26,29.1,9.22,123.17,249.6,126.43
152,57.27,32.32,15.06,127.81,250.61,122.8
153,55.85,34.29,19.63,146.0,275.8,129.8
154,79.22,29.16,16.57,91.59,200.53,108.94
155,68.12,34.49,13.16,120.34,189.37,69.03
156,54.2,20.91,10.68,89.2,127.59,38.39
157,44.79,12.43,9.33,57.11,72.17,15.06
158,34.75,8.84,8.38,42.96,50.93,7.97
159,39.36,5.58,8.39,52.25,63.51,11.26
160,59.11,4.08,10.18,149.04,284.74,135.7
161,74.22,2.5,13.39,217.59,451.85,234.26
162,93.66,7.35,10.63,152.37,280.34,127.97
163,81.06,12.52,9.86,188.62,386.97,198.35
164,78.5,27.3,9.87,164.12,316.29,152.17
165,83.06,35.97,9.11,134.02,250.19,116.17
166,74.66,53.41,14.05,125.9,234.83,108.93
167,79.93,47.0,14.05,98.44,160.89,62.45
168,67.51,26.1,11.5,76.6,105.95,29.35
169,18.14,46.64,20.15,117.72,190.96,73.24
170,13.63,44.3,15.6,87.27,125.17,37.9
171,87.54,42.16,15.64,56.39,76.17,19.78
172,61.46,23.57,14.51,44.3,59.28,14.98
173,56.09,20.24,12.01,34.8,42.51,7.71
174,28.72,15.35,10.81,37.83,45.38,7.55
175,24.71,14.5,10.67,67.71,79.04,11.33
176,26.75,12.29,11.24,99.29,129.63,30.34
177,49.82,12.48,10.79,96.45,144.87,48.42
178,45.03,17.6,9.8,150.23,295.03,144.8
179,61.25,23.55,11.94,164.25,321.15,156.9
180,87.69,42.59,11.86,111.67,179.52,67.85
181,81.9,32.74,11.15,91.67,139.88,48.21
182,66.32,35.31,9.72,87.53,128.01,40.48
183,58.83,31.4,10.03,64.16,78.95,14.79
184,51.87,40.71,8.13,46.59,52.64,6.05
185,44.36,23.61,7.71,48.93,57.03,8.1
186,32.91,34.47,7.34,44.09,51.58,7.49
187,33.1,18.99,7.02,40.99,48.51,7.52
188,40.6,29.86,9.04,90.95,159.98,69.03
189,50.18,40.96,10.48,113.59,217.78,104.19
190,49.66,39.36,13.53,137.92,279.55,141.63
191,67.99,35.58,17.52,77.43,120.22,42.79
192,30.29,13.4,7.69,24.88,30.69,5.81
193,24.22,11.9,8.15,56.08,66.87,10.79
194,40.05,11.21,8.64,127.3,211.17,83.87
195,59.64,21.51,8.07,103.29,170.79,67.5
196,69.7,24.84,8.22,137.48,259.53,122.05
197,79.31,29.52,7.37,102.72,178.61,75.89
198,67.8,38.0,6.97,109.97,198.37,88.4
199,58.08,40.4,6.81,95.06,160.09,65.03
200,57.4,30.98,6.26,58.35,76.52,18.17
201,53.29,31.91,6.07,53.64,68.38,14.74
202,42.15,20.51,6.45,53.5,67.07,13.57
203,37.42,35.4,8.03,55.39,71.26,15.87
204,43.53,30.08,11.9,68.53,99.88,31.35
205,32.29,35.14,18.59,97.74,165.75,68.01
206,48.68,41.96,13.51,111.28,208.31,97.03
207,57.62,43.62,15.54,121.93,239.04,117.11
208,62.55,45.0,33.42,103.25,185.07,81.82
209,73.98,50.66,23.95,134.21,242.15,107.94
210,40.0,77.75,18.95,122.82,214.33,91.51
211,94.58,57.93,13.72,111.98,182.51,70.53
212,65.11,29.7,11.46,77.9,111.5,33.6
213,51.12,16.95,10.93,57.74,82.53,24.79
214,53.36,18.71,9.82,74.57,99.16,24.59
215,41.87,13.93,10.2,82.95,106.13,23.18
216,43.6,11.98,11.65,106.72,142.18,35.46
217,53.43,23.68,12.84,167.98,297.91,129.93
218,99.79,28.04,10.62,197.4,401.84,204.44
219,91.34,29.52,9.73,141.33,263.17,121.84
220,8.11,42.6,12.63,141.72,264.52,122.8
221,15.98,60.54,17.96,116.88,204.79,87.91
222,96.93,34.98,19.19,135.39,254.7,119.31
223,91.01,50.17,16.64,118.33,208.92,90.59
224,9.7,40.8,22.2,88.57,128.81,40.24
225,80.74,37.38,17.87,106.2,174.62,68.42
226,75.58,32.23,12.56,90.83,141.78,50.95
227,63.42,27.11,9.89,100.58,172.3,71.72
228,48.79,33.56,10.41,94.11,156.74,62.63
229,60.6,33.05,10.06,121.97,235.93,113.96
230,59.92,30.62,11.35,161.53,338.96,177.43
231,66.51,29.41,13.27,179.68,382.71,203.03
232,90.0,53.94,18.52,169.04,347.43,178.39
233,18.36,63.57,19.67,127.16,230.22,103.06
234,35.37,54.9,16.96,111.86,184.76,72.9
235,16.0,46.18,18.08,111.46,179.31,67.85
236,20.89,45.21,15.09,124.75,204.01,79.26
237,14.87,32.56,10.26,86.84,108.59,21.75
238,92.12,28.41,10.67,103.81,142.58,38.77
239,92.15,15.16,10.98,123.96,192.98,69.02
240,8.97,15.68,5.9,39.36,56.67,17.31
241,15.15,7.88,5.75,92.78,130.65,37.87
242,14.91,5.01,6.32,150.66,267.46,116.8
243,29.55,8.99,6.55,149.12,271.76,122.64
244,18.02,12.21,7.97,141.46,260.54,119.08
245,25.82,16.5,10.53,97.5,155.41,57.91
246,13.75,10.71,9.32,48.36,64.81,16.45
247,8.12,6.03,8.88,44.83,58.52,13.69
248,5.63,5.54,8.9,34.31,42.49,8.18
249,3.81,3.99,7.73,27.38,34.36,6.98
250,7.57,3.04,6.93,22.55,25.48,2.93
251,12.65,3.44,7.43,35.53,39.69,4.16
252,16.09,13.76,5.58,24.7,29.68,4.98
253,10.27,9.49,5.85,31.8,39.19,7.39
254,8.36,5.84,6.26,37.7,49.62,11.92
255,4.55,5.0,6.43,36.14,44.92,8.78
256,12.38,2.69,6.43,58.47,81.73,23.26
257,9.43,4.42,6.34,71.44,109.75,38.31
258,13.96,13.81,6.62,44.15,59.7,15.55
259,23.45,25.42,8.96,37.53,49.04,11.51
260,31.18,17.48,10.46,35.42,48.69,13.27
261,21.91,11.84,9.65,28.67,39.52,10.85
262,21.33,10.15,6.66,16.39,21.7,5.31
263,18.21,6.87,6.91,17.64,21.98,4.34
264,13.1,6.39,7.09,20.7,25.61,4.91
265,13.97,6.04,7.27,27.22,32.84,5.62
266,15.16,5.89,6.91,31.53,35.88,4.35
267,26.66,16.66,6.63,49.62,55.58,5.96
268,30.71,10.44,6.29,50.35,57.78,7.43
269,29.15,13.07,7.83,60.56,70.86,10.3
270,7.91,90.77,9.04,57.32,72.21,14.89
271,70.23,50.56,9.06,47.08,54.77,7.69
272,43.0,41.37,7.02,41.22,46.62,5.4
273,37.96,23.14,7.28,38.05,42.82,4.77
274,31.34,22.94,6.48,34.91,38.08,3.17
275,16.4,12.56,6.7,29.67,32.21,2.54
276,10.59,9.85,6.82,27.99,30.43,2.44
277,8.38,7.78,7.12,28.06,30.39,2.33
278,8.88,5.42,6.44,38.9,45.82,6.92
279,9.03,4.44,7.52,52.87,63.83,10.96
280,12.04,8.63,8.69,50.04,60.72,10.68
281,10.79,6.87,10.95,46.72,60.84,14.12
282,12.88,11.01,10.54,30.85,43.18,12.33
283,10.22,4.6,10.82,23.24,33.13,9.89
284,2.99,10.49,9.19,27.49,37.3,9.81
285,2.6,6.28,8.55,37.26,48.39,11.13
286,2.48,5.89,8.79,48.83,62.5,13.67
287,1.78,9.97,8.04,67.92,87.17,19.25
288,2.09,24.98,7.34,58.18,70.72,12.54
289,1.84,34.93,7.15,48.9,57.76,8.86
290,20.73,6.1,2.16,25.92,32.24,6.32
291,14.18,5.19,1.53,24.12,29.18,5.06
292,9.07,4.0,1.18,25.51,31.04,5.53
293,6.46,5.08,1.23,25.02,30.42,5.4
294,6.64,6.6,1.58,32.36,37.07,4.71
295,6.2,5.87,1.31,22.84,26.25,3.41
296,5.95,3.72,1.36,25.55,29.13,3.58
297,4.57,3.15,2.14,30.88,34.23,3.35
298,14.53,3.51,5.54,35.82,38.86,3.04
299,12.94,3.14,1.74,20.99,23.41,2.42
300,7.76,4.62,1.38,17.42,19.55,2.13
